🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
👱🏿	orang berambut perang, orang berambut perang: ton kulit gelap, rambut perang, ton kulit gelap
👱🏻‍♂	lelaki, lelaki berambut perang muda, lelaki berambut perang muda: ton kulit cerah, rambut perang muda, ton kulit cerah
👱🏼‍♂	lelaki, lelaki berambut perang muda, lelaki berambut perang muda: ton kulit sederhana cerah, rambut perang muda, ton kulit sederhana cerah
👱🏽‍♂	lelaki, lelaki berambut perang muda, lelaki berambut perang muda: ton kulit sederhana, rambut perang muda, ton kulit sederhana
👱🏾‍♂	lelaki, lelaki berambut perang muda, lelaki berambut perang muda: ton kulit sederhana gelap, rambut perang muda, ton kulit sederhana gelap
👱🏿‍♂	lelaki, lelaki berambut perang muda, lelaki berambut perang muda: ton kulit gelap, rambut perang muda, ton kulit gelap
👱🏻‍♀	perempuan, perempuan berambut perang muda, perempuan berambut perang muda: ton kulit cerah, rambut perang muda, ton kulit cerah, wanita
👱🏼‍♀	perempuan, perempuan berambut perang muda, perempuan berambut perang muda: ton kulit sederhana cerah, rambut perang muda, ton kulit sederhana cerah, wanita
👱🏽‍♀	perempuan, perempuan berambut perang muda, perempuan berambut perang muda: ton kulit sederhana, rambut perang muda, ton kulit sederhana, wanita
👱🏾‍♀	perempuan, perempuan berambut perang muda, perempuan berambut perang muda: ton kulit sederhana gelap, rambut perang muda, ton kulit sederhana gelap, wanita
👱🏿‍♀	perempuan, perempuan berambut perang muda, perempuan berambut perang muda: ton kulit gelap, rambut perang muda, ton kulit gelap, wanita
🤵🏻	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit cerah, pengantin, ton kulit cerah, tuksedo
🤵🏼	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit sederhana cerah, pengantin, ton kulit sederhana cerah, tuksedo
🤵🏽	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit sederhana, pengantin, ton kulit sederhana, tuksedo
🤵🏾	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit sederhana gelap, pengantin, ton kulit sederhana gelap, tuksedo
🤵🏿	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit gelap, pengantin, ton kulit gelap, tuksedo
👰🏻	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit cerah, perkahwinan, ton kulit cerah, vel
👰🏼	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit sederhana cerah, perkahwinan, ton kulit sederhana cerah, vel
👰🏽	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit sederhana, perkahwinan, ton kulit sederhana, vel
👰🏾	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit sederhana gelap, perkahwinan, ton kulit sederhana gelap, vel
👰🏿	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit gelap, perkahwinan, ton kulit gelap, vel
🤰🏻	hamil, mengandung, ton kulit cerah, wanita, wanita hamil: ton kulit cerah
🤰🏼	hamil, mengandung, ton kulit sederhana cerah, wanita, wanita hamil: ton kulit sederhana cerah
🤰🏽	hamil, mengandung, ton kulit sederhana, wanita, wanita hamil: ton kulit sederhana
🤰🏾	hamil, mengandung, ton kulit sederhana gelap, wanita, wanita hamil: ton kulit sederhana gelap
🤰🏿	hamil, mengandung, ton kulit gelap, wanita, wanita hamil: ton kulit gelap
🤱🏻	bayi, menyusu, menyusu badan, menyusu badan: ton kulit cerah, payu dara, ton kulit cerah
🤱🏼	bayi, menyusu, menyusu badan, menyusu badan: ton kulit sederhana cerah, payu dara, ton kulit sederhana cerah
🤱🏽	bayi, menyusu, menyusu badan, menyusu badan: ton kulit sederhana, payu dara, ton kulit sederhana
🤱🏾	bayi, menyusu, menyusu badan, menyusu badan: ton kulit sederhana gelap, payu dara, ton kulit sederhana gelap
🤱🏿	bayi, menyusu, menyusu badan, menyusu badan: ton kulit gelap, payu dara, ton kulit gelap
👼🏻	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit cerah, ton kulit cerah
👼🏼	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit sederhana cerah, ton kulit sederhana cerah
👼🏽	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit sederhana, ton kulit sederhana
👼🏾	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit sederhana gelap, ton kulit sederhana gelap
👼🏿	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit gelap, ton kulit gelap
🎅🏻	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit cerah, ton kulit cerah
🎅🏼	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit sederhana cerah, ton kulit sederhana cerah
🎅🏽	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit sederhana, ton kulit sederhana
🎅🏾	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit sederhana gelap, ton kulit sederhana gelap
🎅🏿	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit gelap, ton kulit gelap
🤶🏻	Pn. Claus, Pn. Claus: ton kulit cerah, ibu, krismas, puan claus, ton kulit cerah
🤶🏼	Pn. Claus, Pn. Claus: ton kulit sederhana cerah, ibu, krismas, puan claus, ton kulit sederhana cerah
🤶🏽	Pn. Claus, Pn. Claus: ton kulit sederhana, ibu, krismas, puan claus, ton kulit sederhana
🤶🏾	Pn. Claus, Pn. Claus: ton kulit sederhana gelap, ibu, krismas, puan claus, ton kulit sederhana gelap
🤶🏿	Pn. Claus, Pn. Claus: ton kulit gelap, ibu, krismas, puan claus, ton kulit gelap
🧙🏻	ahli sihir, ahli silap mata, ahli silap mata: ton kulit cerah, dukun sihir, ton kulit cerah
🧙🏼	ahli sihir, ahli silap mata, ahli silap mata: ton kulit sederhana cerah, dukun sihir, ton kulit sederhana cerah
🧙🏽	ahli sihir, ahli silap mata, ahli silap mata: ton kulit sederhana, dukun sihir, ton kulit sederhana
🧙🏾	ahli sihir, ahli silap mata, ahli silap mata: ton kulit sederhana gelap, dukun sihir, ton kulit sederhana gelap
🧙🏿	ahli sihir, ahli silap mata, ahli silap mata: ton kulit gelap, dukun sihir, ton kulit gelap
🧙🏻‍♀	ahli sihir wanita, ahli sihir wanita: ton kulit cerah, dukun sihir wanita, ton kulit cerah
🧙🏼‍♀	ahli sihir wanita, ahli sihir wanita: ton kulit sederhana cerah, dukun sihir wanita, ton kulit sederhana cerah
🧙🏽‍♀	ahli sihir wanita, ahli sihir wanita: ton kulit sederhana, dukun sihir wanita, ton kulit sederhana
🧙🏾‍♀	ahli sihir wanita, ahli sihir wanita: ton kulit sederhana gelap, dukun sihir wanita, ton kulit sederhana gelap
🧙🏿‍♀	ahli sihir wanita, ahli sihir wanita: ton kulit gelap, dukun sihir wanita, ton kulit gelap
🧙🏻‍♂	ahli sihir lelaki, ahli sihir lelaki: ton kulit cerah, dukun sihir lelaki, ton kulit cerah
🧙🏼‍♂	ahli sihir lelaki, ahli sihir lelaki: ton kulit sederhana cerah, dukun sihir lelaki, ton kulit sederhana cerah
🧙🏽‍♂	ahli sihir lelaki, ahli sihir lelaki: ton kulit sederhana, dukun sihir lelaki, ton kulit sederhana
🧙🏾‍♂	ahli sihir lelaki, ahli sihir lelaki: ton kulit sederhana gelap, dukun sihir lelaki, ton kulit sederhana gelap
🧙🏿‍♂	ahli sihir lelaki, ahli sihir lelaki: ton kulit gelap, dukun sihir lelaki, ton kulit gelap
🧚🏻	Oberon, Puck, Titania, pari-pari, pari-pari: ton kulit cerah, ton kulit cerah
🧚🏼	Oberon, Puck, Titania, pari-pari, pari-pari: ton kulit sederhana cerah, ton kulit sederhana cerah
🧚🏽	Oberon, Puck, Titania, pari-pari, pari-pari: ton kulit sederhana, ton kulit sederhana
🧚🏾	Oberon, Puck, Titania, pari-pari, pari-pari: ton kulit sederhana gelap, ton kulit sederhana gelap
🧚🏿	Oberon, Puck, Titania, pari-pari, pari-pari: ton kulit gelap, ton kulit gelap
🧚🏻‍♀	Titania, pari-pari wanita, pari-pari wanita: ton kulit cerah, ton kulit cerah
🧚🏼‍♀	Titania, pari-pari wanita, pari-pari wanita: ton kulit sederhana cerah, ton kulit sederhana cerah
🧚🏽‍♀	Titania, pari-pari wanita, pari-pari wanita: ton kulit sederhana, ton kulit sederhana
🧚🏾‍♀	Titania, pari-pari wanita, pari-pari wanita: ton kulit sederhana gelap, ton kulit sederhana gelap
🧚🏿‍♀	Titania, pari-pari wanita, pari-pari wanita: ton kulit gelap, ton kulit gelap
🧚🏻‍♂	Oberon, Puck, pari-pari lelaki, pari-pari lelaki: ton kulit cerah, ton kulit cerah
🧚🏼‍♂	Oberon, Puck, pari-pari lelaki, pari-pari lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
🧚🏽‍♂	Oberon, Puck, pari-pari lelaki, pari-pari lelaki: ton kulit sederhana, ton kulit sederhana
🧚🏾‍♂	Oberon, Puck, pari-pari lelaki, pari-pari lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
🧚🏿‍♂	Oberon, Puck, pari-pari lelaki, pari-pari lelaki: ton kulit gelap, ton kulit gelap
🧛🏻	Dracula, mayat hidup, puntianak, puntianak: ton kulit cerah, ton kulit cerah
🧛🏼	Dracula, mayat hidup, puntianak, puntianak: ton kulit sederhana cerah, ton kulit sederhana cerah
🧛🏽	Dracula, mayat hidup, puntianak, puntianak: ton kulit sederhana, ton kulit sederhana
🧛🏾	Dracula, mayat hidup, puntianak, puntianak: ton kulit sederhana gelap, ton kulit sederhana gelap
🧛🏿	Dracula, mayat hidup, puntianak, puntianak: ton kulit gelap, ton kulit gelap
🧛🏻‍♀	mayat hidup, puntianak wanita, puntianak wanita: ton kulit cerah, ton kulit cerah
🧛🏼‍♀	mayat hidup, puntianak wanita, puntianak wanita: ton kulit sederhana cerah, ton kulit sederhana cerah
🧛🏽‍♀	mayat hidup, puntianak wanita, puntianak wanita: ton kulit sederhana, ton kulit sederhana
🧛🏾‍♀	mayat hidup, puntianak wanita, puntianak wanita: ton kulit sederhana gelap, ton kulit sederhana gelap
🧛🏿‍♀	mayat hidup, puntianak wanita, puntianak wanita: ton kulit gelap, ton kulit gelap
🧛🏻‍♂	Dracula, mayat hidup, puntianak lelaki, puntianak lelaki: ton kulit cerah, ton kulit cerah
🧛🏼‍♂	Dracula, mayat hidup, puntianak lelaki, puntianak lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
🧛🏽‍♂	Dracula, mayat hidup, puntianak lelaki, puntianak lelaki: ton kulit sederhana, ton kulit sederhana
🧛🏾‍♂	Dracula, mayat hidup, puntianak lelaki, puntianak lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
🧛🏿‍♂	Dracula, mayat hidup, puntianak lelaki, puntianak lelaki: ton kulit gelap, ton kulit gelap
🧜🏻	duyung betina, duyung jantan, ikan duyung, manusia duyung, manusia duyung: ton kulit cerah, ton kulit cerah
🧜🏼	duyung betina, duyung jantan, ikan duyung, manusia duyung, manusia duyung: ton kulit sederhana cerah, ton kulit sederhana cerah
🧜🏽	duyung betina, duyung jantan, ikan duyung, manusia duyung, manusia duyung: ton kulit sederhana, ton kulit sederhana
🧜🏾	duyung betina, duyung jantan, ikan duyung, manusia duyung, manusia duyung: ton kulit sederhana gelap, ton kulit sederhana gelap
🧜🏿	duyung betina, duyung jantan, ikan duyung, manusia duyung, manusia duyung: ton kulit gelap, ton kulit gelap
🧜🏻‍♀	duyung jantan, ikan duyung, ikan duyung: ton kulit cerah, ton kulit cerah
🧜🏼‍♀	duyung jantan, ikan duyung, ikan duyung: ton kulit sederhana cerah, ton kulit sederhana cerah
🧜🏽‍♀	duyung jantan, ikan duyung, ikan duyung: ton kulit sederhana, ton kulit sederhana
🧜🏾‍♀	duyung jantan, ikan duyung, ikan duyung: ton kulit sederhana gelap, ton kulit sederhana gelap
🧜🏿‍♀	duyung jantan, ikan duyung, ikan duyung: ton kulit gelap, ton kulit gelap
🧜🏻‍♂	Triton, duyung jantan, duyung jantan: ton kulit cerah, ton kulit cerah
🧜🏼‍♂	Triton, duyung jantan, duyung jantan: ton kulit sederhana cerah, ton kulit sederhana cerah
🧜🏽‍♂	Triton, duyung jantan, duyung jantan: ton kulit sederhana, ton kulit sederhana
🧜🏾‍♂	Triton, duyung jantan, duyung jantan: ton kulit sederhana gelap, ton kulit sederhana gelap
🧜🏿‍♂	Triton, duyung jantan, duyung jantan: ton kulit gelap, ton kulit gelap
🧝🏻	ajaib, orang halus, orang halus: ton kulit cerah, ton kulit cerah
🧝🏼	ajaib, orang halus, orang halus: ton kulit sederhana cerah, ton kulit sederhana cerah
🧝🏽	ajaib, orang halus, orang halus: ton kulit sederhana, ton kulit sederhana
🧝🏾	ajaib, orang halus, orang halus: ton kulit sederhana gelap, ton kulit sederhana gelap
🧝🏿	ajaib, orang halus, orang halus: ton kulit gelap, ton kulit gelap
🧝🏻‍♀	ajaib, orang halus wanita, orang halus wanita: ton kulit cerah, ton kulit cerah
🧝🏼‍♀	ajaib, orang halus wanita, orang halus wanita: ton kulit sederhana cerah, ton kulit sederhana cerah
🧝🏽‍♀	ajaib, orang halus wanita, orang halus wanita: ton kulit sederhana, ton kulit sederhana
🧝🏾‍♀	ajaib, orang halus wanita, orang halus wanita: ton kulit sederhana gelap, ton kulit sederhana gelap
🧝🏿‍♀	ajaib, orang halus wanita, orang halus wanita: ton kulit gelap, ton kulit gelap
🧝🏻‍♂	ajaib, orang halus lelaki, orang halus lelaki: ton kulit cerah, ton kulit cerah
🧝🏼‍♂	ajaib, orang halus lelaki, orang halus lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
🧝🏽‍♂	ajaib, orang halus lelaki, orang halus lelaki: ton kulit sederhana, ton kulit sederhana
🧝🏾‍♂	ajaib, orang halus lelaki, orang halus lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
🧝🏿‍♂	ajaib, orang halus lelaki, orang halus lelaki: ton kulit gelap, ton kulit gelap
🙍🏻	berkerut, isyarat, orang berkerut dahi, orang berkerut dahi: ton kulit cerah, ton kulit cerah
🙍🏼	berkerut, isyarat, orang berkerut dahi, orang berkerut dahi: ton kulit sederhana cerah, ton kulit sederhana cerah
🙍🏽	berkerut, isyarat, orang berkerut dahi, orang berkerut dahi: ton kulit sederhana, ton kulit sederhana
🙍🏾	berkerut, isyarat, orang berkerut dahi, orang berkerut dahi: ton kulit sederhana gelap, ton kulit sederhana gelap
🙍🏿	berkerut, isyarat, orang berkerut dahi, orang berkerut dahi: ton kulit gelap, ton kulit gelap
🙍🏻‍♂	gerak isyarat, lelaki, lelaki berkerut dahi, lelaki berkerut dahi: ton kulit cerah, mengerut dahi, ton kulit cerah
🙍🏼‍♂	gerak isyarat, lelaki, lelaki berkerut dahi, lelaki berkerut dahi: ton kulit sederhana cerah, mengerut dahi, ton kulit sederhana cerah
🙍🏽‍♂	gerak isyarat, lelaki, lelaki berkerut dahi, lelaki berkerut dahi: ton kulit sederhana, mengerut dahi, ton kulit sederhana
🙍🏾‍♂	gerak isyarat, lelaki, lelaki berkerut dahi, lelaki berkerut dahi: ton kulit sederhana gelap, mengerut dahi, ton kulit sederhana gelap
🙍🏿‍♂	gerak isyarat, lelaki, lelaki berkerut dahi, lelaki berkerut dahi: ton kulit gelap, mengerut dahi, ton kulit gelap
🙍🏻‍♀	gerak isyarat, mengerut dahi, perempuan, perempuan berkerut dahi, perempuan berkerut dahi: ton kulit cerah, ton kulit cerah, wanita
🙍🏼‍♀	gerak isyarat, mengerut dahi, perempuan, perempuan berkerut dahi, perempuan berkerut dahi: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🙍🏽‍♀	gerak isyarat, mengerut dahi, perempuan, perempuan berkerut dahi, perempuan berkerut dahi: ton kulit sederhana, ton kulit sederhana, wanita
🙍🏾‍♀	gerak isyarat, mengerut dahi, perempuan, perempuan berkerut dahi, perempuan berkerut dahi: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🙍🏿‍♀	gerak isyarat, mengerut dahi, perempuan, perempuan berkerut dahi, perempuan berkerut dahi: ton kulit gelap, ton kulit gelap, wanita
🙎🏻	isyarat, mulut muncung, orang mencebik, orang mencebik: ton kulit cerah, ton kulit cerah
🙎🏼	isyarat, mulut muncung, orang mencebik, orang mencebik: ton kulit sederhana cerah, ton kulit sederhana cerah
🙎🏽	isyarat, mulut muncung, orang mencebik, orang mencebik: ton kulit sederhana, ton kulit sederhana
🙎🏾	isyarat, mulut muncung, orang mencebik, orang mencebik: ton kulit sederhana gelap, ton kulit sederhana gelap
🙎🏿	isyarat, mulut muncung, orang mencebik, orang mencebik: ton kulit gelap, ton kulit gelap
🙎🏻‍♂	gerak isyarat, lelaki, lelaki mencebik, lelaki mencebik: ton kulit cerah, memuncungkan mulut, ton kulit cerah
🙎🏼‍♂	gerak isyarat, lelaki, lelaki mencebik, lelaki mencebik: ton kulit sederhana cerah, memuncungkan mulut, ton kulit sederhana cerah
🙎🏽‍♂	gerak isyarat, lelaki, lelaki mencebik, lelaki mencebik: ton kulit sederhana, memuncungkan mulut, ton kulit sederhana
🙎🏾‍♂	gerak isyarat, lelaki, lelaki mencebik, lelaki mencebik: ton kulit sederhana gelap, memuncungkan mulut, ton kulit sederhana gelap
🙎🏿‍♂	gerak isyarat, lelaki, lelaki mencebik, lelaki mencebik: ton kulit gelap, memuncungkan mulut, ton kulit gelap
🙎🏻‍♀	gerak isyarat, memuncungkan mulut, perempuan, perempuan mencebik, perempuan mencebik: ton kulit cerah, ton kulit cerah, wanita
🙎🏼‍♀	gerak isyarat, memuncungkan mulut, perempuan, perempuan mencebik, perempuan mencebik: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🙎🏽‍♀	gerak isyarat, memuncungkan mulut, perempuan, perempuan mencebik, perempuan mencebik: ton kulit sederhana, ton kulit sederhana, wanita
🙎🏾‍♀	gerak isyarat, memuncungkan mulut, perempuan, perempuan mencebik, perempuan mencebik: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🙎🏿‍♀	gerak isyarat, memuncungkan mulut, perempuan, perempuan mencebik, perempuan mencebik: ton kulit gelap, ton kulit gelap, wanita
🙅🏻	bukan, gerak isyarat tidak, gerak isyarat tidak: ton kulit cerah, isyarat, larang, tangan, tegah, tidak, ton kulit cerah
🙅🏼	bukan, gerak isyarat tidak, gerak isyarat tidak: ton kulit sederhana cerah, isyarat, larang, tangan, tegah, tidak, ton kulit sederhana cerah
🙅🏽	bukan, gerak isyarat tidak, gerak isyarat tidak: ton kulit sederhana, isyarat, larang, tangan, tegah, tidak, ton kulit sederhana
🙅🏾	bukan, gerak isyarat tidak, gerak isyarat tidak: ton kulit sederhana gelap, isyarat, larang, tangan, tegah, tidak, ton kulit sederhana gelap
🙅🏿	bukan, gerak isyarat tidak, gerak isyarat tidak: ton kulit gelap, isyarat, larang, tangan, tegah, tidak, ton kulit gelap
🙅🏻‍♂	dilarang, gerak isyarat, lelaki, lelaki memberi isyarat tidak ok, lelaki memberi isyarat tidak ok: ton kulit cerah, tangan, tidak, tidak ok, ton kulit cerah
🙅🏼‍♂	dilarang, gerak isyarat, lelaki, lelaki memberi isyarat tidak ok, lelaki memberi isyarat tidak ok: ton kulit sederhana cerah, tangan, tidak, tidak ok, ton kulit sederhana cerah
🙅🏽‍♂	dilarang, gerak isyarat, lelaki, lelaki memberi isyarat tidak ok, lelaki memberi isyarat tidak ok: ton kulit sederhana, tangan, tidak, tidak ok, ton kulit sederhana
🙅🏾‍♂	dilarang, gerak isyarat, lelaki, lelaki memberi isyarat tidak ok, lelaki memberi isyarat tidak ok: ton kulit sederhana gelap, tangan, tidak, tidak ok, ton kulit sederhana gelap
🙅🏿‍♂	dilarang, gerak isyarat, lelaki, lelaki memberi isyarat tidak ok, lelaki memberi isyarat tidak ok: ton kulit gelap, tangan, tidak, tidak ok, ton kulit gelap
🙅🏻‍♀	dilarang, gerak isyarat, perempuan, perempuan memberi isyarat TIDAK, perempuan memberi isyarat tidak ok, perempuan memberi isyarat tidak ok: ton kulit cerah, tangan, ton kulit cerah
🙅🏼‍♀	dilarang, gerak isyarat, perempuan, perempuan memberi isyarat TIDAK, perempuan memberi isyarat tidak ok, perempuan memberi isyarat tidak ok: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🙅🏽‍♀	dilarang, gerak isyarat, perempuan, perempuan memberi isyarat TIDAK, perempuan memberi isyarat tidak ok, perempuan memberi isyarat tidak ok: ton kulit sederhana, tangan, ton kulit sederhana
🙅🏾‍♀	dilarang, gerak isyarat, perempuan, perempuan memberi isyarat TIDAK, perempuan memberi isyarat tidak ok, perempuan memberi isyarat tidak ok: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🙅🏿‍♀	dilarang, gerak isyarat, perempuan, perempuan memberi isyarat TIDAK, perempuan memberi isyarat tidak ok, perempuan memberi isyarat tidak ok: ton kulit gelap, tangan, ton kulit gelap
🙆🏻	gerak isyarat okey, gerak isyarat okey: ton kulit cerah, isyarat, okey, tangan, ton kulit cerah
🙆🏼	gerak isyarat okey, gerak isyarat okey: ton kulit sederhana cerah, isyarat, okey, tangan, ton kulit sederhana cerah
🙆🏽	gerak isyarat okey, gerak isyarat okey: ton kulit sederhana, isyarat, okey, tangan, ton kulit sederhana
🙆🏾	gerak isyarat okey, gerak isyarat okey: ton kulit sederhana gelap, isyarat, okey, tangan, ton kulit sederhana gelap
🙆🏿	gerak isyarat okey, gerak isyarat okey: ton kulit gelap, isyarat, okey, tangan, ton kulit gelap
🙆🏻‍♂	gerak isyarat, lelaki, lelaki memberi isyarat ok, lelaki memberi isyarat ok: ton kulit cerah, ok, tangan, ton kulit cerah
🙆🏼‍♂	gerak isyarat, lelaki, lelaki memberi isyarat ok, lelaki memberi isyarat ok: ton kulit sederhana cerah, ok, tangan, ton kulit sederhana cerah
🙆🏽‍♂	gerak isyarat, lelaki, lelaki memberi isyarat ok, lelaki memberi isyarat ok: ton kulit sederhana, ok, tangan, ton kulit sederhana
🙆🏾‍♂	gerak isyarat, lelaki, lelaki memberi isyarat ok, lelaki memberi isyarat ok: ton kulit sederhana gelap, ok, tangan, ton kulit sederhana gelap
🙆🏿‍♂	gerak isyarat, lelaki, lelaki memberi isyarat ok, lelaki memberi isyarat ok: ton kulit gelap, ok, tangan, ton kulit gelap
🙆🏻‍♀	gerak isyarat, ok, perempuan, perempuan memberi isyarat ok, perempuan memberi isyarat ok: ton kulit cerah, tangan, ton kulit cerah, wanita
🙆🏼‍♀	gerak isyarat, ok, perempuan, perempuan memberi isyarat ok, perempuan memberi isyarat ok: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, wanita
🙆🏽‍♀	gerak isyarat, ok, perempuan, perempuan memberi isyarat ok, perempuan memberi isyarat ok: ton kulit sederhana, tangan, ton kulit sederhana, wanita
🙆🏾‍♀	gerak isyarat, ok, perempuan, perempuan memberi isyarat ok, perempuan memberi isyarat ok: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, wanita
🙆🏿‍♀	gerak isyarat, ok, perempuan, perempuan memberi isyarat ok, perempuan memberi isyarat ok: ton kulit gelap, tangan, ton kulit gelap, wanita
💁🏻	bantu, berani, maklumat, pegawai kaunter pertanyaan, pegawai kaunter pertanyaan: ton kulit cerah, tangan, ton kulit cerah
💁🏼	bantu, berani, maklumat, pegawai kaunter pertanyaan, pegawai kaunter pertanyaan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
💁🏽	bantu, berani, maklumat, pegawai kaunter pertanyaan, pegawai kaunter pertanyaan: ton kulit sederhana, tangan, ton kulit sederhana
💁🏾	bantu, berani, maklumat, pegawai kaunter pertanyaan, pegawai kaunter pertanyaan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
💁🏿	bantu, berani, maklumat, pegawai kaunter pertanyaan, pegawai kaunter pertanyaan: ton kulit gelap, tangan, ton kulit gelap
💁🏻‍♂	lelaki, lelaki menadah tangan, lelaki menadah tangan: ton kulit cerah, menadah tangan, ton kulit cerah
💁🏼‍♂	lelaki, lelaki menadah tangan, lelaki menadah tangan: ton kulit sederhana cerah, menadah tangan, ton kulit sederhana cerah
💁🏽‍♂	lelaki, lelaki menadah tangan, lelaki menadah tangan: ton kulit sederhana, menadah tangan, ton kulit sederhana
💁🏾‍♂	lelaki, lelaki menadah tangan, lelaki menadah tangan: ton kulit sederhana gelap, menadah tangan, ton kulit sederhana gelap
💁🏿‍♂	lelaki, lelaki menadah tangan, lelaki menadah tangan: ton kulit gelap, menadah tangan, ton kulit gelap
💁🏻‍♀	menadah tangan, perempuan, perempuan menadah tangan, perempuan menadah tangan: ton kulit cerah, ton kulit cerah, wanita
💁🏼‍♀	menadah tangan, perempuan, perempuan menadah tangan, perempuan menadah tangan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
💁🏽‍♀	menadah tangan, perempuan, perempuan menadah tangan, perempuan menadah tangan: ton kulit sederhana, ton kulit sederhana, wanita
💁🏾‍♀	menadah tangan, perempuan, perempuan menadah tangan, perempuan menadah tangan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
💁🏿‍♀	menadah tangan, perempuan, perempuan menadah tangan, perempuan menadah tangan: ton kulit gelap, ton kulit gelap, wanita
🙋🏻	angkat, gembira, isyarat, orang gembira mengangkat tangan, orang gembira mengangkat tangan: ton kulit cerah, tangan, ton kulit cerah
🙋🏼	angkat, gembira, isyarat, orang gembira mengangkat tangan, orang gembira mengangkat tangan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🙋🏽	angkat, gembira, isyarat, orang gembira mengangkat tangan, orang gembira mengangkat tangan: ton kulit sederhana, tangan, ton kulit sederhana
🙋🏾	angkat, gembira, isyarat, orang gembira mengangkat tangan, orang gembira mengangkat tangan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🙋🏿	angkat, gembira, isyarat, orang gembira mengangkat tangan, orang gembira mengangkat tangan: ton kulit gelap, tangan, ton kulit gelap
🙋🏻‍♂	gerak isyarat, lelaki, lelaki mengangkat tangan, lelaki mengangkat tangan: ton kulit cerah, mengangkat tangan, ton kulit cerah
🙋🏼‍♂	gerak isyarat, lelaki, lelaki mengangkat tangan, lelaki mengangkat tangan: ton kulit sederhana cerah, mengangkat tangan, ton kulit sederhana cerah
🙋🏽‍♂	gerak isyarat, lelaki, lelaki mengangkat tangan, lelaki mengangkat tangan: ton kulit sederhana, mengangkat tangan, ton kulit sederhana
🙋🏾‍♂	gerak isyarat, lelaki, lelaki mengangkat tangan, lelaki mengangkat tangan: ton kulit sederhana gelap, mengangkat tangan, ton kulit sederhana gelap
🙋🏿‍♂	gerak isyarat, lelaki, lelaki mengangkat tangan, lelaki mengangkat tangan: ton kulit gelap, mengangkat tangan, ton kulit gelap
🙋🏻‍♀	gerak isyarat, mengangkat tangan, perempuan, perempuan mengangkat tangan, perempuan mengangkat tangan: ton kulit cerah, ton kulit cerah, wanita
🙋🏼‍♀	gerak isyarat, mengangkat tangan, perempuan, perempuan mengangkat tangan, perempuan mengangkat tangan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🙋🏽‍♀	gerak isyarat, mengangkat tangan, perempuan, perempuan mengangkat tangan, perempuan mengangkat tangan: ton kulit sederhana, ton kulit sederhana, wanita
