‾	верхняя рыса
👩🏻‍❤‍👨🏿	жанчына, закаханая пара, закаханая пара: жанчына мужчына светлы тон скуры цёмны тон скуры, каханне, мужчына, пара, светлы тон скуры, сэрца, цёмны тон скуры
👩🏼‍❤‍👨🏻	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэднясветлы тон скуры светлы тон скуры, каханне, мужчына, пара, светлы тон скуры, сэрца, сярэднясветлы тон скуры
👩🏼‍❤‍👨🏼	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэднясветлы тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры
👩🏼‍❤‍👨🏽	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэднясветлы тон скуры сярэдні тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры, сярэдні тон скуры
👩🏼‍❤‍👨🏾	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэднясветлы тон скуры сярэдняцёмны тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры, сярэдняцёмны тон скуры
👩🏼‍❤‍👨🏿	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэднясветлы тон скуры цёмны тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры, цёмны тон скуры
👩🏽‍❤‍👨🏻	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдні тон скуры светлы тон скуры, каханне, мужчына, пара, светлы тон скуры, сэрца, сярэдні тон скуры
👩🏽‍❤‍👨🏼	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдні тон скуры сярэднясветлы тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры, сярэдні тон скуры
👩🏽‍❤‍👨🏽	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдні тон скуры, каханне, мужчына, пара, сэрца, сярэдні тон скуры
👩🏽‍❤‍👨🏾	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдні тон скуры сярэдняцёмны тон скуры, каханне, мужчына, пара, сэрца, сярэдняцёмны тон скуры, сярэдні тон скуры
👩🏽‍❤‍👨🏿	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдні тон скуры цёмны тон скуры, каханне, мужчына, пара, сэрца, сярэдні тон скуры, цёмны тон скуры
👩🏾‍❤‍👨🏻	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдняцёмны тон скуры светлы тон скуры, каханне, мужчына, пара, светлы тон скуры, сэрца, сярэдняцёмны тон скуры
👩🏾‍❤‍👨🏼	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдняцёмны тон скуры сярэднясветлы тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры, сярэдняцёмны тон скуры
👩🏾‍❤‍👨🏽	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдняцёмны тон скуры сярэдні тон скуры, каханне, мужчына, пара, сэрца, сярэдняцёмны тон скуры, сярэдні тон скуры
👩🏾‍❤‍👨🏾	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдняцёмны тон скуры, каханне, мужчына, пара, сэрца, сярэдняцёмны тон скуры
👩🏾‍❤‍👨🏿	жанчына, закаханая пара, закаханая пара: жанчына мужчына сярэдняцёмны тон скуры цёмны тон скуры, каханне, мужчына, пара, сэрца, сярэдняцёмны тон скуры, цёмны тон скуры
👩🏿‍❤‍👨🏻	жанчына, закаханая пара, закаханая пара: жанчына мужчына цёмны тон скуры светлы тон скуры, каханне, мужчына, пара, светлы тон скуры, сэрца, цёмны тон скуры
👩🏿‍❤‍👨🏼	жанчына, закаханая пара, закаханая пара: жанчына мужчына цёмны тон скуры сярэднясветлы тон скуры, каханне, мужчына, пара, сэрца, сярэднясветлы тон скуры, цёмны тон скуры
👩🏿‍❤‍👨🏽	жанчына, закаханая пара, закаханая пара: жанчына мужчына цёмны тон скуры сярэдні тон скуры, каханне, мужчына, пара, сэрца, сярэдні тон скуры, цёмны тон скуры
👩🏿‍❤‍👨🏾	жанчына, закаханая пара, закаханая пара: жанчына мужчына цёмны тон скуры сярэдняцёмны тон скуры, каханне, мужчына, пара, сэрца, сярэдняцёмны тон скуры, цёмны тон скуры
👩🏿‍❤‍👨🏿	жанчына, закаханая пара, закаханая пара: жанчына мужчына цёмны тон скуры, каханне, мужчына, пара, сэрца, цёмны тон скуры
👩🏻‍❤‍👩🏻	жанчына, закаханая пара, закаханая пара: жанчына жанчына светлы тон скуры, каханне, пара, светлы тон скуры, сэрца
👩🏻‍❤‍👩🏼	жанчына, закаханая пара, закаханая пара: жанчына жанчына светлы тон скуры сярэднясветлы тон скуры, каханне, пара, светлы тон скуры, сэрца, сярэднясветлы тон скуры
👩🏻‍❤‍👩🏽	жанчына, закаханая пара, закаханая пара: жанчына жанчына светлы тон скуры сярэдні тон скуры, каханне, пара, светлы тон скуры, сэрца, сярэдні тон скуры
👩🏻‍❤‍👩🏾	жанчына, закаханая пара, закаханая пара: жанчына жанчына светлы тон скуры сярэдняцёмны тон скуры, каханне, пара, светлы тон скуры, сэрца, сярэдняцёмны тон скуры
👩🏻‍❤‍👩🏿	жанчына, закаханая пара, закаханая пара: жанчына жанчына светлы тон скуры цёмны тон скуры, каханне, пара, светлы тон скуры, сэрца, цёмны тон скуры
👩🏼‍❤‍👩🏻	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэднясветлы тон скуры светлы тон скуры, каханне, пара, светлы тон скуры, сэрца, сярэднясветлы тон скуры
👩🏼‍❤‍👩🏼	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэднясветлы тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры
👩🏼‍❤‍👩🏽	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэднясветлы тон скуры сярэдні тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры, сярэдні тон скуры
👩🏼‍❤‍👩🏾	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэднясветлы тон скуры сярэдняцёмны тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры, сярэдняцёмны тон скуры
👩🏼‍❤‍👩🏿	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэднясветлы тон скуры цёмны тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры, цёмны тон скуры
👩🏽‍❤‍👩🏻	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдні тон скуры светлы тон скуры, каханне, пара, светлы тон скуры, сэрца, сярэдні тон скуры
👩🏽‍❤‍👩🏼	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдні тон скуры сярэднясветлы тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры, сярэдні тон скуры
👩🏽‍❤‍👩🏽	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдні тон скуры, каханне, пара, сэрца, сярэдні тон скуры
👩🏽‍❤‍👩🏾	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдні тон скуры сярэдняцёмны тон скуры, каханне, пара, сэрца, сярэдняцёмны тон скуры, сярэдні тон скуры
👩🏽‍❤‍👩🏿	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдні тон скуры цёмны тон скуры, каханне, пара, сэрца, сярэдні тон скуры, цёмны тон скуры
👩🏾‍❤‍👩🏻	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдняцёмны тон скуры светлы тон скуры, каханне, пара, светлы тон скуры, сэрца, сярэдняцёмны тон скуры
👩🏾‍❤‍👩🏼	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдняцёмны тон скуры сярэднясветлы тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры, сярэдняцёмны тон скуры
👩🏾‍❤‍👩🏽	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдняцёмны тон скуры сярэдні тон скуры, каханне, пара, сэрца, сярэдняцёмны тон скуры, сярэдні тон скуры
👩🏾‍❤‍👩🏾	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдняцёмны тон скуры, каханне, пара, сэрца, сярэдняцёмны тон скуры
👩🏾‍❤‍👩🏿	жанчына, закаханая пара, закаханая пара: жанчына жанчына сярэдняцёмны тон скуры цёмны тон скуры, каханне, пара, сэрца, сярэдняцёмны тон скуры, цёмны тон скуры
👩🏿‍❤‍👩🏻	жанчына, закаханая пара, закаханая пара: жанчына жанчына цёмны тон скуры светлы тон скуры, каханне, пара, светлы тон скуры, сэрца, цёмны тон скуры
👩🏿‍❤‍👩🏼	жанчына, закаханая пара, закаханая пара: жанчына жанчына цёмны тон скуры сярэднясветлы тон скуры, каханне, пара, сэрца, сярэднясветлы тон скуры, цёмны тон скуры
👩🏿‍❤‍👩🏽	жанчына, закаханая пара, закаханая пара: жанчына жанчына цёмны тон скуры сярэдні тон скуры, каханне, пара, сэрца, сярэдні тон скуры, цёмны тон скуры
👩🏿‍❤‍👩🏾	жанчына, закаханая пара, закаханая пара: жанчына жанчына цёмны тон скуры сярэдняцёмны тон скуры, каханне, пара, сэрца, сярэдняцёмны тон скуры, цёмны тон скуры
👩🏿‍❤‍👩🏿	жанчына, закаханая пара, закаханая пара: жанчына жанчына цёмны тон скуры, каханне, пара, сэрца, цёмны тон скуры
👩‍🦰	жанчына, жанчына: рыжыя валасы, рыжыя валасы
👩🏻‍🦰	жанчына, жанчына: светлы тон скуры рыжыя валасы, рыжыя валасы, светлы тон скуры
👩🏼‍🦰	жанчына, жанчына: сярэднясветлы тон скуры рыжыя валасы, рыжыя валасы, сярэднясветлы тон скуры
👩🏽‍🦰	жанчына, жанчына: сярэдні тон скуры рыжыя валасы, рыжыя валасы, сярэдні тон скуры
👩🏾‍🦰	жанчына, жанчына: сярэдняцёмны тон скуры рыжыя валасы, рыжыя валасы, сярэдняцёмны тон скуры
👩🏿‍🦰	жанчына, жанчына: цёмны тон скуры рыжыя валасы, рыжыя валасы, цёмны тон скуры
👩‍🦱	жанчына, жанчына: курчавыя валасы, курчавыя валасы
👩🏻‍🦱	жанчына, жанчына: светлы тон скуры курчавыя валасы, курчавыя валасы, светлы тон скуры
👩🏼‍🦱	жанчына, жанчына: сярэднясветлы тон скуры курчавыя валасы, курчавыя валасы, сярэднясветлы тон скуры
👩🏽‍🦱	жанчына, жанчына: сярэдні тон скуры курчавыя валасы, курчавыя валасы, сярэдні тон скуры
👩🏾‍🦱	жанчына, жанчына: сярэдняцёмны тон скуры курчавыя валасы, курчавыя валасы, сярэдняцёмны тон скуры
👩🏿‍🦱	жанчына, жанчына: цёмны тон скуры курчавыя валасы, курчавыя валасы, цёмны тон скуры
👩‍🦳	жанчына, жанчына: сівыя валасы, сівыя валасы
👩🏻‍🦳	жанчына, жанчына: светлы тон скуры сівыя валасы, светлы тон скуры, сівыя валасы
👩🏼‍🦳	жанчына, жанчына: сярэднясветлы тон скуры сівыя валасы, сярэднясветлы тон скуры, сівыя валасы
👩🏽‍🦳	жанчына, жанчына: сярэдні тон скуры сівыя валасы, сярэдні тон скуры, сівыя валасы
👩🏾‍🦳	жанчына, жанчына: сярэдняцёмны тон скуры сівыя валасы, сярэдняцёмны тон скуры, сівыя валасы
👩🏿‍🦳	жанчына, жанчына: цёмны тон скуры сівыя валасы, сівыя валасы, цёмны тон скуры
👩‍🦲	жанчына, жанчына: лысы, лысы
👩🏻‍🦲	жанчына, жанчына: светлы тон скуры лысы, лысы, светлы тон скуры
👩🏼‍🦲	жанчына, жанчына: сярэднясветлы тон скуры лысы, лысы, сярэднясветлы тон скуры
👩🏽‍🦲	жанчына, жанчына: сярэдні тон скуры лысы, лысы, сярэдні тон скуры
👩🏾‍🦲	жанчына, жанчына: сярэдняцёмны тон скуры лысы, лысы, сярэдняцёмны тон скуры
👩🏿‍🦲	жанчына, жанчына: цёмны тон скуры лысы, лысы, цёмны тон скуры
🧓	няпэўнага полу, у гадах, чалавек сталага ўзросту
🧓🏻	няпэўнага полу, светлы тон скуры, у гадах, у гадах: светлы тон скуры, чалавек сталага ўзросту
🧓🏼	няпэўнага полу, сярэднясветлы тон скуры, у гадах, у гадах: сярэднясветлы тон скуры, чалавек сталага ўзросту
🧓🏽	няпэўнага полу, сярэдні тон скуры, у гадах, у гадах: сярэдні тон скуры, чалавек сталага ўзросту
🧓🏾	няпэўнага полу, сярэдняцёмны тон скуры, у гадах, у гадах: сярэдняцёмны тон скуры, чалавек сталага ўзросту
🧓🏿	няпэўнага полу, у гадах, у гадах: цёмны тон скуры, цёмны тон скуры, чалавек сталага ўзросту
👴	дзядуля, мужчына, стары
👴🏻	дзядуля, дзядуля: светлы тон скуры, мужчына, светлы тон скуры, стары
👴🏼	дзядуля, дзядуля: сярэднясветлы тон скуры, мужчына, стары, сярэднясветлы тон скуры
👴🏽	дзядуля, дзядуля: сярэдні тон скуры, мужчына, стары, сярэдні тон скуры
👴🏾	дзядуля, дзядуля: сярэдняцёмны тон скуры, мужчына, стары, сярэдняцёмны тон скуры
👴🏿	дзядуля, дзядуля: цёмны тон скуры, мужчына, стары, цёмны тон скуры
👵	бабуля, жанчына, старая
👵🏻	бабуля, бабуля: светлы тон скуры, жанчына, светлы тон скуры, старая
👵🏼	бабуля, бабуля: сярэднясветлы тон скуры, жанчына, старая, сярэднясветлы тон скуры
👵🏽	бабуля, бабуля: сярэдні тон скуры, жанчына, старая, сярэдні тон скуры
👵🏾	бабуля, бабуля: сярэдняцёмны тон скуры, жанчына, старая, сярэдняцёмны тон скуры
👵🏿	бабуля, бабуля: цёмны тон скуры, жанчына, старая, цёмны тон скуры
🙍	жэст, засмуціцца, засмучаны чалавек
🙍🏻	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: светлы тон скуры, светлы тон скуры
🙍🏼	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🙍🏽	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: сярэдні тон скуры, сярэдні тон скуры
🙍🏾	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🙍🏿	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: цёмны тон скуры, цёмны тон скуры
🙍‍♂	жэст, засмучаны, засмучаны мужчына, мужчына
🙍🏻‍♂	жэст, засмучаны, засмучаны мужчына: светлы тон скуры, мужчына, светлы тон скуры
🙍🏼‍♂	жэст, засмучаны, засмучаны мужчына: сярэднясветлы тон скуры, мужчына, сярэднясветлы тон скуры
🙍🏽‍♂	жэст, засмучаны, засмучаны мужчына: сярэдні тон скуры, мужчына, сярэдні тон скуры
🙍🏾‍♂	жэст, засмучаны, засмучаны мужчына: сярэдняцёмны тон скуры, мужчына, сярэдняцёмны тон скуры
🙍🏿‍♂	жэст, засмучаны, засмучаны мужчына: цёмны тон скуры, мужчына, цёмны тон скуры
🙍‍♀	жанчына, жэст, засмучаная, засмучаная жанчына
🙍🏻‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: светлы тон скуры, светлы тон скуры
🙍🏼‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🙍🏽‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: сярэдні тон скуры, сярэдні тон скуры
🙍🏾‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🙍🏿‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: цёмны тон скуры, цёмны тон скуры
🙎	жэст, крыўда, надзьмуты, надзьмуты чалавек
🙎🏻	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: светлы тон скуры, светлы тон скуры
🙎🏼	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🙎🏽	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: сярэдні тон скуры, сярэдні тон скуры
🙎🏾	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🙎🏿	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: цёмны тон скуры, цёмны тон скуры
🙎‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына
🙎🏻‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: светлы тон скуры, светлы тон скуры
🙎🏼‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🙎🏽‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: сярэдні тон скуры, сярэдні тон скуры
🙎🏾‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🙎🏿‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: цёмны тон скуры, цёмны тон скуры
🙎‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына
🙎🏻‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: светлы тон скуры, светлы тон скуры
🙎🏼‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🙎🏽‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: сярэдні тон скуры, сярэдні тон скуры
🙎🏾‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🙎🏿‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: цёмны тон скуры, цёмны тон скуры
🙅	жэст, забаронена, рука, супраць, чалавек супраць
🙅🏻	жэст, забаронена, рука, светлы тон скуры, супраць, чалавек супраць, чалавек супраць: светлы тон скуры
🙅🏼	жэст, забаронена, рука, супраць, сярэднясветлы тон скуры, чалавек супраць, чалавек супраць: сярэднясветлы тон скуры
🙅🏽	жэст, забаронена, рука, супраць, сярэдні тон скуры, чалавек супраць, чалавек супраць: сярэдні тон скуры
🙅🏾	жэст, забаронена, рука, супраць, сярэдняцёмны тон скуры, чалавек супраць, чалавек супраць: сярэдняцёмны тон скуры
🙅🏿	жэст, забаронена, рука, супраць, цёмны тон скуры, чалавек супраць, чалавек супраць: цёмны тон скуры
🙅‍♂	жэст, мужчына, мужчына супраць, нязгода, супраць
🙅🏻‍♂	жэст, мужчына, мужчына супраць: светлы тон скуры, нязгода, светлы тон скуры, супраць
🙅🏼‍♂	жэст, мужчына, мужчына супраць: сярэднясветлы тон скуры, нязгода, супраць, сярэднясветлы тон скуры
🙅🏽‍♂	жэст, мужчына, мужчына супраць: сярэдні тон скуры, нязгода, супраць, сярэдні тон скуры
🙅🏾‍♂	жэст, мужчына, мужчына супраць: сярэдняцёмны тон скуры, нязгода, супраць, сярэдняцёмны тон скуры
🙅🏿‍♂	жэст, мужчына, мужчына супраць: цёмны тон скуры, нязгода, супраць, цёмны тон скуры
🙅‍♀	жанчына, жанчына супраць, жэст, нязгода, супраць
🙅🏻‍♀	жанчына, жанчына супраць: светлы тон скуры, жэст, нязгода, светлы тон скуры, супраць
🙅🏼‍♀	жанчына, жанчына супраць: сярэднясветлы тон скуры, жэст, нязгода, супраць, сярэднясветлы тон скуры
🙅🏽‍♀	жанчына, жанчына супраць: сярэдні тон скуры, жэст, нязгода, супраць, сярэдні тон скуры
🙅🏾‍♀	жанчына, жанчына супраць: сярэдняцёмны тон скуры, жэст, нязгода, супраць, сярэдняцёмны тон скуры
🙅🏿‍♀	жанчына, жанчына супраць: цёмны тон скуры, жэст, нязгода, супраць, цёмны тон скуры
🙆	добра, жэст, згода, ок, чалавек за, чалавек паказвае згоду
🙆🏻	добра, жэст, згода, ок, светлы тон скуры, чалавек за, чалавек паказвае згоду, чалавек паказвае згоду: светлы тон скуры
🙆🏼	добра, жэст, згода, ок, сярэднясветлы тон скуры, чалавек за, чалавек паказвае згоду, чалавек паказвае згоду: сярэднясветлы тон скуры
🙆🏽	добра, жэст, згода, ок, сярэдні тон скуры, чалавек за, чалавек паказвае згоду, чалавек паказвае згоду: сярэдні тон скуры
🙆🏾	добра, жэст, згода, ок, сярэдняцёмны тон скуры, чалавек за, чалавек паказвае згоду, чалавек паказвае згоду: сярэдняцёмны тон скуры
🙆🏿	добра, жэст, згода, ок, цёмны тон скуры, чалавек за, чалавек паказвае згоду, чалавек паказвае згоду: цёмны тон скуры
🙆‍♂	добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, ок
🙆🏻‍♂	добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, мужчына паказвае згоду: светлы тон скуры, ок, светлы тон скуры
🙆🏼‍♂	добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, мужчына паказвае згоду: сярэднясветлы тон скуры, ок, сярэднясветлы тон скуры
🙆🏽‍♂	добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, мужчына паказвае згоду: сярэдні тон скуры, ок, сярэдні тон скуры
🙆🏾‍♂	добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, мужчына паказвае згоду: сярэдняцёмны тон скуры, ок, сярэдняцёмны тон скуры
🙆🏿‍♂	добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, мужчына паказвае згоду: цёмны тон скуры, ок, цёмны тон скуры
🙆‍♀	добра, жанчына, жанчына за, жанчына паказвае згоду, жэст, ок
🙆🏻‍♀	добра, жанчына, жанчына за, жанчына паказвае згоду, жанчына паказвае згоду: светлы тон скуры, жэст, ок, светлы тон скуры
🙆🏼‍♀	добра, жанчына, жанчына за, жанчына паказвае згоду, жанчына паказвае згоду: сярэднясветлы тон скуры, жэст, ок, сярэднясветлы тон скуры
🙆🏽‍♀	добра, жанчына, жанчына за, жанчына паказвае згоду, жанчына паказвае згоду: сярэдні тон скуры, жэст, ок, сярэдні тон скуры
🙆🏾‍♀	добра, жанчына, жанчына за, жанчына паказвае згоду, жанчына паказвае згоду: сярэдняцёмны тон скуры, жэст, ок, сярэдняцёмны тон скуры
🙆🏿‍♀	добра, жанчына, жанчына за, жанчына паказвае згоду, жанчына паказвае згоду: цёмны тон скуры, жэст, ок, цёмны тон скуры
💁	бойкі, дапамога, рука, чалавек трасе рукой, інфармацыя
💁🏻	бойкі, дапамога, рука, светлы тон скуры, чалавек трасе рукой, чалавек трасе рукой: светлы тон скуры, інфармацыя
💁🏼	бойкі, дапамога, рука, сярэднясветлы тон скуры, чалавек трасе рукой, чалавек трасе рукой: сярэднясветлы тон скуры, інфармацыя
💁🏽	бойкі, дапамога, рука, сярэдні тон скуры, чалавек трасе рукой, чалавек трасе рукой: сярэдні тон скуры, інфармацыя
💁🏾	бойкі, дапамога, рука, сярэдняцёмны тон скуры, чалавек трасе рукой, чалавек трасе рукой: сярэдняцёмны тон скуры, інфармацыя
💁🏿	бойкі, дапамога, рука, цёмны тон скуры, чалавек трасе рукой, чалавек трасе рукой: цёмны тон скуры, інфармацыя
💁‍♂	бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, трасе рукой
💁🏻‍♂	бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, мужчына трасе рукой: светлы тон скуры, светлы тон скуры, трасе рукой
💁🏼‍♂	бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, мужчына трасе рукой: сярэднясветлы тон скуры, сярэднясветлы тон скуры, трасе рукой
💁🏽‍♂	бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, мужчына трасе рукой: сярэдні тон скуры, сярэдні тон скуры, трасе рукой
💁🏾‍♂	бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, мужчына трасе рукой: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, трасе рукой
💁🏿‍♂	бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, мужчына трасе рукой: цёмны тон скуры, трасе рукой, цёмны тон скуры
💁‍♀	бойкая, жанчына, жанчына трасе рукой, жанчына цягне руку, трасе рукой
💁🏻‍♀	бойкая, жанчына, жанчына трасе рукой, жанчына трасе рукой: светлы тон скуры, жанчына цягне руку, светлы тон скуры, трасе рукой
💁🏼‍♀	бойкая, жанчына, жанчына трасе рукой, жанчына трасе рукой: сярэднясветлы тон скуры, жанчына цягне руку, сярэднясветлы тон скуры, трасе рукой
💁🏽‍♀	бойкая, жанчына, жанчына трасе рукой, жанчына трасе рукой: сярэдні тон скуры, жанчына цягне руку, сярэдні тон скуры, трасе рукой
💁🏾‍♀	бойкая, жанчына, жанчына трасе рукой, жанчына трасе рукой: сярэдняцёмны тон скуры, жанчына цягне руку, сярэдняцёмны тон скуры, трасе рукой
💁🏿‍♀	бойкая, жанчына, жанчына трасе рукой, жанчына трасе рукой: цёмны тон скуры, жанчына цягне руку, трасе рукой, цёмны тон скуры
🙋	жэст, паднятая рука, радасны, рука, чалавек цягне руку
🙋🏻	жэст, паднятая рука, радасны, рука, светлы тон скуры, чалавек цягне руку, чалавек цягне руку: светлы тон скуры
🙋🏼	жэст, паднятая рука, радасны, рука, сярэднясветлы тон скуры, чалавек цягне руку, чалавек цягне руку: сярэднясветлы тон скуры
🙋🏽	жэст, паднятая рука, радасны, рука, сярэдні тон скуры, чалавек цягне руку, чалавек цягне руку: сярэдні тон скуры
🙋🏾	жэст, паднятая рука, радасны, рука, сярэдняцёмны тон скуры, чалавек цягне руку, чалавек цягне руку: сярэдняцёмны тон скуры
🙋🏿	жэст, паднятая рука, радасны, рука, цёмны тон скуры, чалавек цягне руку, чалавек цягне руку: цёмны тон скуры
🙋‍♂	жэст, мужчына, мужчына цягне руку, цягне руку
🙋🏻‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: светлы тон скуры, светлы тон скуры, цягне руку
🙋🏼‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: сярэднясветлы тон скуры, сярэднясветлы тон скуры, цягне руку
🙋🏽‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: сярэдні тон скуры, сярэдні тон скуры, цягне руку
🙋🏾‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, цягне руку
🙋🏿‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: цёмны тон скуры, цягне руку, цёмны тон скуры
🙋‍♀	жанчына, жанчына цягне руку, жэст, цягне руку
🙋🏻‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: светлы тон скуры, жэст, светлы тон скуры, цягне руку
🙋🏼‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: сярэднясветлы тон скуры, жэст, сярэднясветлы тон скуры, цягне руку
🙋🏽‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: сярэдні тон скуры, жэст, сярэдні тон скуры, цягне руку
🙋🏾‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: сярэдняцёмны тон скуры, жэст, сярэдняцёмны тон скуры, цягне руку
🙋🏿‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: цёмны тон скуры, жэст, цягне руку, цёмны тон скуры
🧏	вуха, глухі, глухі чалавек, даступнасць, слых
🧏🏻	вуха, глухі, глухі чалавек, глухі чалавек: светлы тон скуры, даступнасць, светлы тон скуры, слых
🧏🏼	вуха, глухі, глухі чалавек, глухі чалавек: сярэднясветлы тон скуры, даступнасць, слых, сярэднясветлы тон скуры
🧏🏽	вуха, глухі, глухі чалавек, глухі чалавек: сярэдні тон скуры, даступнасць, слых, сярэдні тон скуры
🧏🏾	вуха, глухі, глухі чалавек, глухі чалавек: сярэдняцёмны тон скуры, даступнасць, слых, сярэдняцёмны тон скуры
