🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
🕵🏽	κατάσκοπος, μεσαίος τόνος δέρματος, ντετέκτιβ, ντετέκτιβ: μεσαίος τόνος δέρματος, πράκτορας
🕵🏾	κατάσκοπος, μεσαίος-σκούρος τόνος δέρματος, ντετέκτιβ, ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος, πράκτορας
🕵🏿	κατάσκοπος, ντετέκτιβ, ντετέκτιβ: σκούρος τόνος δέρματος, πράκτορας, σκούρος τόνος δέρματος
🕵🏻‍♂	άντρας, άντρας ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏼‍♂	άντρας, άντρας ντετέκτιβ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏽‍♂	άντρας, άντρας ντετέκτιβ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏾‍♂	άντρας, άντρας ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏿‍♂	άντρας, άντρας ντετέκτιβ: σκούρος τόνος δέρματος, ντετέκτιβ, πράκτορας, σκούρος τόνος δέρματος
🕵🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏼‍♀	γυναίκα, γυναίκα ντετέκτιβ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏽‍♀	γυναίκα, γυναίκα ντετέκτιβ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏾‍♀	γυναίκα, γυναίκα ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ντετέκτιβ, πράκτορας
🕵🏿‍♀	γυναίκα, γυναίκα ντετέκτιβ: σκούρος τόνος δέρματος, ντετέκτιβ, πράκτορας, σκούρος τόνος δέρματος
💂🏻	ανοιχτόχρωμος τόνος δέρματος, υπεύθυνος φρουράς, υπεύθυνος φρουράς: ανοιχτόχρωμος τόνος δέρματος, φρουρά, φύλακας
💂🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, υπεύθυνος φρουράς, υπεύθυνος φρουράς: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, φρουρά, φύλακας
💂🏽	μεσαίος τόνος δέρματος, υπεύθυνος φρουράς, υπεύθυνος φρουράς: μεσαίος τόνος δέρματος, φρουρά, φύλακας
💂🏾	μεσαίος-σκούρος τόνος δέρματος, υπεύθυνος φρουράς, υπεύθυνος φρουράς: μεσαίος-σκούρος τόνος δέρματος, φρουρά, φύλακας
💂🏿	σκούρος τόνος δέρματος, υπεύθυνος φρουράς, υπεύθυνος φρουράς: σκούρος τόνος δέρματος, φρουρά, φύλακας
💂🏻‍♂	άντρας, άντρας φρουρός: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, φρουρός, φύλακας
💂🏼‍♂	άντρας, άντρας φρουρός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, φρουρός, φύλακας
💂🏽‍♂	άντρας, άντρας φρουρός: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, φρουρός, φύλακας
💂🏾‍♂	άντρας, άντρας φρουρός: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, φρουρός, φύλακας
💂🏿‍♂	άντρας, άντρας φρουρός: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, φρουρός, φύλακας
💂🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα φρουρός: ανοιχτόχρωμος τόνος δέρματος, φρουρός, φύλακας
💂🏼‍♀	γυναίκα, γυναίκα φρουρός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, φρουρός, φύλακας
💂🏽‍♀	γυναίκα, γυναίκα φρουρός: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, φρουρός, φύλακας
💂🏾‍♀	γυναίκα, γυναίκα φρουρός: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, φρουρός, φύλακας
💂🏿‍♀	γυναίκα, γυναίκα φρουρός: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, φρουρός, φύλακας
👷🏻	ανοιχτόχρωμος τόνος δέρματος, εργάτης, καπέλο, κατασκευή, οικοδόμος, οικοδόμος: ανοιχτόχρωμος τόνος δέρματος
👷🏼	εργάτης, καπέλο, κατασκευή, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, οικοδόμος, οικοδόμος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👷🏽	εργάτης, καπέλο, κατασκευή, μεσαίος τόνος δέρματος, οικοδόμος, οικοδόμος: μεσαίος τόνος δέρματος
👷🏾	εργάτης, καπέλο, κατασκευή, μεσαίος-σκούρος τόνος δέρματος, οικοδόμος, οικοδόμος: μεσαίος-σκούρος τόνος δέρματος
👷🏿	εργάτης, καπέλο, κατασκευή, οικοδόμος, οικοδόμος: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👷🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, εργάτης, εργάτης οικοδομής, εργάτης οικοδομής: ανοιχτόχρωμος τόνος δέρματος, οικοδομή
👷🏼‍♂	άντρας, εργάτης, εργάτης οικοδομής, εργάτης οικοδομής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, οικοδομή
👷🏽‍♂	άντρας, εργάτης, εργάτης οικοδομής, εργάτης οικοδομής: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, οικοδομή
👷🏾‍♂	άντρας, εργάτης, εργάτης οικοδομής, εργάτης οικοδομής: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, οικοδομή
👷🏿‍♂	άντρας, εργάτης, εργάτης οικοδομής, εργάτης οικοδομής: σκούρος τόνος δέρματος, οικοδομή, σκούρος τόνος δέρματος
👷🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: ανοιχτόχρωμος τόνος δέρματος, οικοδομή
👷🏼‍♀	γυναίκα, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, οικοδομή
👷🏽‍♀	γυναίκα, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, οικοδομή
👷🏾‍♀	γυναίκα, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, οικοδομή
👷🏿‍♀	γυναίκα, εργάτρια, εργάτρια οικοδομής, εργάτρια οικοδομής: σκούρος τόνος δέρματος, οικοδομή, σκούρος τόνος δέρματος
🤴🏻	ανοιχτόχρωμος τόνος δέρματος, πρίγκιπας, πρίγκιπας: ανοιχτόχρωμος τόνος δέρματος
🤴🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πρίγκιπας, πρίγκιπας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤴🏽	μεσαίος τόνος δέρματος, πρίγκιπας, πρίγκιπας: μεσαίος τόνος δέρματος
🤴🏾	μεσαίος-σκούρος τόνος δέρματος, πρίγκιπας, πρίγκιπας: μεσαίος-σκούρος τόνος δέρματος
🤴🏿	πρίγκιπας, πρίγκιπας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👸🏻	ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: ανοιχτόχρωμος τόνος δέρματος, φαντασία
👸🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, φαντασία
👸🏽	μεσαίος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: μεσαίος τόνος δέρματος, φαντασία
👸🏾	μεσαίος-σκούρος τόνος δέρματος, παραμύθι, πριγκίπισσα, πριγκίπισσα: μεσαίος-σκούρος τόνος δέρματος, φαντασία
👸🏿	παραμύθι, πριγκίπισσα, πριγκίπισσα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, φαντασία
👳🏻	άνδρας, άτομο με τουρμπάνι, άτομο με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, τουρμπάνι
👳🏼	άνδρας, άτομο με τουρμπάνι, άτομο με τουρμπάνι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τουρμπάνι
👳🏽	άνδρας, άτομο με τουρμπάνι, άτομο με τουρμπάνι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τουρμπάνι
👳🏾	άνδρας, άτομο με τουρμπάνι, άτομο με τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τουρμπάνι
👳🏿	άνδρας, άτομο με τουρμπάνι, άτομο με τουρμπάνι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τουρμπάνι
👳🏻‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏼‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏽‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏾‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏿‍♂	άντρας, άντρας με τουρμπάνι, άντρας με τουρμπάνι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏼‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏽‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏾‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👳🏿‍♀	γυναίκα, γυναίκα με τουρμπάνι, γυναίκα με τουρμπάνι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τιρμπάν, τουρμπάν, τουρμπάνι
👲🏻	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, καπέλο, κινέζικο καπέλο
👲🏼	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καπέλο, κινέζικο καπέλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👲🏽	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: μεσαίος τόνος δέρματος, καπέλο, κινέζικο καπέλο, μεσαίος τόνος δέρματος
👲🏾	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: μεσαίος-σκούρος τόνος δέρματος, καπέλο, κινέζικο καπέλο, μεσαίος-σκούρος τόνος δέρματος
👲🏿	άνδρας, άντρας με κινέζικο καπέλο, άντρας με κινέζικο καπέλο: σκούρος τόνος δέρματος, καπέλο, κινέζικο καπέλο, σκούρος τόνος δέρματος
🧕🏻	ανοιχτόχρωμος τόνος δέρματος, γυναίκα με μαντίλα, γυναίκα με μαντίλα: ανοιχτόχρωμος τόνος δέρματος, μαντίλα, χιτζάμπ
🧕🏼	γυναίκα με μαντίλα, γυναίκα με μαντίλα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μαντίλα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χιτζάμπ
🧕🏽	γυναίκα με μαντίλα, γυναίκα με μαντίλα: μεσαίος τόνος δέρματος, μαντίλα, μεσαίος τόνος δέρματος, χιτζάμπ
🧕🏾	γυναίκα με μαντίλα, γυναίκα με μαντίλα: μεσαίος-σκούρος τόνος δέρματος, μαντίλα, μεσαίος-σκούρος τόνος δέρματος, χιτζάμπ
🧕🏿	γυναίκα με μαντίλα, γυναίκα με μαντίλα: σκούρος τόνος δέρματος, μαντίλα, σκούρος τόνος δέρματος, χιτζάμπ
🧔🏻	άτομο με μούσι, άτομο με μούσι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μούσι
🧔🏼	άτομο με μούσι, άτομο με μούσι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούσι
🧔🏽	άτομο με μούσι, άτομο με μούσι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μούσι
🧔🏾	άτομο με μούσι, άτομο με μούσι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μούσι
🧔🏿	άτομο με μούσι, άτομο με μούσι: σκούρος τόνος δέρματος, μούσι, σκούρος τόνος δέρματος
👱🏻	ανοιχτόχρωμος τόνος δέρματος, ξανθός, ξανθός άνθρωπος, ξανθός άνθρωπος: ανοιχτόχρωμος τόνος δέρματος
👱🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθός, ξανθός άνθρωπος, ξανθός άνθρωπος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👱🏽	μεσαίος τόνος δέρματος, ξανθός, ξανθός άνθρωπος, ξανθός άνθρωπος: μεσαίος τόνος δέρματος
👱🏾	μεσαίος-σκούρος τόνος δέρματος, ξανθός, ξανθός άνθρωπος, ξανθός άνθρωπος: μεσαίος-σκούρος τόνος δέρματος
👱🏿	ξανθός, ξανθός άνθρωπος, ξανθός άνθρωπος: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👱🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, ξανθός, ξανθός: ανοιχτόχρωμος τόνος δέρματος
👱🏼‍♂	άντρας, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθός, ξανθός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👱🏽‍♂	άντρας, μεσαίος τόνος δέρματος, ξανθός, ξανθός: μεσαίος τόνος δέρματος
👱🏾‍♂	άντρας, μεσαίος-σκούρος τόνος δέρματος, ξανθός, ξανθός: μεσαίος-σκούρος τόνος δέρματος
👱🏿‍♂	άντρας, ξανθός, ξανθός: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👱🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, ξανθιά, ξανθιά: ανοιχτόχρωμος τόνος δέρματος
👱🏼‍♀	γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθιά, ξανθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👱🏽‍♀	γυναίκα, μεσαίος τόνος δέρματος, ξανθιά, ξανθιά: μεσαίος τόνος δέρματος
👱🏾‍♀	γυναίκα, μεσαίος-σκούρος τόνος δέρματος, ξανθιά, ξανθιά: μεσαίος-σκούρος τόνος δέρματος
👱🏿‍♀	γυναίκα, ξανθιά, ξανθιά: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🤵🏻	άντρας, άντρας με σμόκιν, άντρας με σμόκιν: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γαμπρός, σμόκιν
🤵🏼	άντρας, άντρας με σμόκιν, άντρας με σμόκιν: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γαμπρός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σμόκιν
🤵🏽	άντρας, άντρας με σμόκιν, άντρας με σμόκιν: μεσαίος τόνος δέρματος, γαμπρός, μεσαίος τόνος δέρματος, σμόκιν
🤵🏾	άντρας, άντρας με σμόκιν, άντρας με σμόκιν: μεσαίος-σκούρος τόνος δέρματος, γαμπρός, μεσαίος-σκούρος τόνος δέρματος, σμόκιν
🤵🏿	άντρας, άντρας με σμόκιν, άντρας με σμόκιν: σκούρος τόνος δέρματος, γαμπρός, σκούρος τόνος δέρματος, σμόκιν
👰🏻	ανοιχτόχρωμος τόνος δέρματος, γάμος, νύφη, νύφη με πέπλο, νύφη με πέπλο: ανοιχτόχρωμος τόνος δέρματος, πέπλο
👰🏼	γάμος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νύφη, νύφη με πέπλο, νύφη με πέπλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πέπλο
👰🏽	γάμος, μεσαίος τόνος δέρματος, νύφη, νύφη με πέπλο, νύφη με πέπλο: μεσαίος τόνος δέρματος, πέπλο
👰🏾	γάμος, μεσαίος-σκούρος τόνος δέρματος, νύφη, νύφη με πέπλο, νύφη με πέπλο: μεσαίος-σκούρος τόνος δέρματος, πέπλο
👰🏿	γάμος, νύφη, νύφη με πέπλο, νύφη με πέπλο: σκούρος τόνος δέρματος, πέπλο, σκούρος τόνος δέρματος
🤰🏻	έγκυος, έγκυος: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γυναίκα
🤰🏼	έγκυος, έγκυος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤰🏽	έγκυος, έγκυος: μεσαίος τόνος δέρματος, γυναίκα, μεσαίος τόνος δέρματος
🤰🏾	έγκυος, έγκυος: μεσαίος-σκούρος τόνος δέρματος, γυναίκα, μεσαίος-σκούρος τόνος δέρματος
🤰🏿	έγκυος, έγκυος: σκούρος τόνος δέρματος, γυναίκα, σκούρος τόνος δέρματος
🤱🏻	ανοιχτόχρωμος τόνος δέρματος, θηλάζω, θηλασμός, θηλασμός: ανοιχτόχρωμος τόνος δέρματος, μωρό, στήθος
🤱🏼	θηλάζω, θηλασμός, θηλασμός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μωρό, στήθος
🤱🏽	θηλάζω, θηλασμός, θηλασμός: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μωρό, στήθος
🤱🏾	θηλάζω, θηλασμός, θηλασμός: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μωρό, στήθος
🤱🏿	θηλάζω, θηλασμός, θηλασμός: σκούρος τόνος δέρματος, μωρό, σκούρος τόνος δέρματος, στήθος
👼🏻	άγγελος, ανοιχτόχρωμος τόνος δέρματος, μωρό, μωρό άγγελος: ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πρόσωπο, φαντασία
👼🏼	άγγελος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μωρό, μωρό άγγελος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πρόσωπο, φαντασία
👼🏽	άγγελος, μεσαίος τόνος δέρματος, μωρό, μωρό άγγελος: μεσαίος τόνος δέρματος, παραμύθι, πρόσωπο, φαντασία
👼🏾	άγγελος, μεσαίος-σκούρος τόνος δέρματος, μωρό, μωρό άγγελος: μεσαίος-σκούρος τόνος δέρματος, παραμύθι, πρόσωπο, φαντασία
👼🏿	άγγελος, μωρό, μωρό άγγελος: σκούρος τόνος δέρματος, παραμύθι, πρόσωπο, σκούρος τόνος δέρματος, φαντασία
🎅🏻	Άη Βασίλης, Άη Βασίλης: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γιορτή, παραμύθι, πατέρας, φαντασία, χριστούγεννα
🎅🏼	Άη Βασίλης, Άη Βασίλης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γιορτή, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παραμύθι, πατέρας, φαντασία, χριστούγεννα
🎅🏽	Άη Βασίλης, Άη Βασίλης: μεσαίος τόνος δέρματος, γιορτή, μεσαίος τόνος δέρματος, παραμύθι, πατέρας, φαντασία, χριστούγεννα
🎅🏾	Άη Βασίλης, Άη Βασίλης: μεσαίος-σκούρος τόνος δέρματος, γιορτή, μεσαίος-σκούρος τόνος δέρματος, παραμύθι, πατέρας, φαντασία, χριστούγεννα
🎅🏿	Άη Βασίλης, Άη Βασίλης: σκούρος τόνος δέρματος, γιορτή, παραμύθι, πατέρας, σκούρος τόνος δέρματος, φαντασία, χριστούγεννα
🤶🏻	Κυρία Άη Βασίλη, Κυρία Άη Βασίλη: ανοιχτόχρωμος τόνος δέρματος, άι βασίλης, ανοιχτόχρωμος τόνος δέρματος, γιορτές, χριστούγεννα
🤶🏼	Κυρία Άη Βασίλη, Κυρία Άη Βασίλη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άι βασίλης, γιορτές, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χριστούγεννα
🤶🏽	Κυρία Άη Βασίλη, Κυρία Άη Βασίλη: μεσαίος τόνος δέρματος, άι βασίλης, γιορτές, μεσαίος τόνος δέρματος, χριστούγεννα
🤶🏾	Κυρία Άη Βασίλη, Κυρία Άη Βασίλη: μεσαίος-σκούρος τόνος δέρματος, άι βασίλης, γιορτές, μεσαίος-σκούρος τόνος δέρματος, χριστούγεννα
🤶🏿	Κυρία Άη Βασίλη, Κυρία Άη Βασίλη: σκούρος τόνος δέρματος, άι βασίλης, γιορτές, σκούρος τόνος δέρματος, χριστούγεννα
🧙🏻	ανοιχτόχρωμος τόνος δέρματος, μάγισσα, μάγος, μάγος: ανοιχτόχρωμος τόνος δέρματος
🧙🏼	μάγισσα, μάγος, μάγος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧙🏽	μάγισσα, μάγος, μάγος: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧙🏾	μάγισσα, μάγος, μάγος: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧙🏿	μάγισσα, μάγος, μάγος: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧙🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, μάγισσα, μάγισσα: ανοιχτόχρωμος τόνος δέρματος
🧙🏼‍♀	μάγισσα, μάγισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧙🏽‍♀	μάγισσα, μάγισσα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧙🏾‍♀	μάγισσα, μάγισσα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧙🏿‍♀	μάγισσα, μάγισσα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧙🏻‍♂	άντρας μάγος, άντρας μάγος: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μάγος
🧙🏼‍♂	άντρας μάγος, άντρας μάγος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μάγος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧙🏽‍♂	άντρας μάγος, άντρας μάγος: μεσαίος τόνος δέρματος, μάγος, μεσαίος τόνος δέρματος
🧙🏾‍♂	άντρας μάγος, άντρας μάγος: μεσαίος-σκούρος τόνος δέρματος, μάγος, μεσαίος-σκούρος τόνος δέρματος
🧙🏿‍♂	άντρας μάγος, άντρας μάγος: σκούρος τόνος δέρματος, μάγος, σκούρος τόνος δέρματος
🧚🏻	Oberon, Puck, Titania, ανοιχτόχρωμος τόνος δέρματος, νεράιδα, νεράιδα: ανοιχτόχρωμος τόνος δέρματος
🧚🏼	Oberon, Puck, Titania, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νεράιδα, νεράιδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧚🏽	Oberon, Puck, Titania, μεσαίος τόνος δέρματος, νεράιδα, νεράιδα: μεσαίος τόνος δέρματος
🧚🏾	Oberon, Puck, Titania, μεσαίος-σκούρος τόνος δέρματος, νεράιδα, νεράιδα: μεσαίος-σκούρος τόνος δέρματος
🧚🏿	Oberon, Puck, Titania, νεράιδα, νεράιδα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧚🏻‍♀	Titania, ανοιχτόχρωμος τόνος δέρματος, γυναίκα νεράιδα, γυναίκα νεράιδα: ανοιχτόχρωμος τόνος δέρματος
🧚🏼‍♀	Titania, γυναίκα νεράιδα, γυναίκα νεράιδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧚🏽‍♀	Titania, γυναίκα νεράιδα, γυναίκα νεράιδα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🧚🏾‍♀	Titania, γυναίκα νεράιδα, γυναίκα νεράιδα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🧚🏿‍♀	Titania, γυναίκα νεράιδα, γυναίκα νεράιδα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧚🏻‍♂	Oberon, Puck, ανοιχτόχρωμος τόνος δέρματος, νεράιδος, νεράιδος: ανοιχτόχρωμος τόνος δέρματος
🧚🏼‍♂	Oberon, Puck, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νεράιδος, νεράιδος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧚🏽‍♂	Oberon, Puck, μεσαίος τόνος δέρματος, νεράιδος, νεράιδος: μεσαίος τόνος δέρματος
🧚🏾‍♂	Oberon, Puck, μεσαίος-σκούρος τόνος δέρματος, νεράιδος, νεράιδος: μεσαίος-σκούρος τόνος δέρματος
🧚🏿‍♂	Oberon, Puck, νεράιδος, νεράιδος: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🧛🏻	Δράκουλας, ανοιχτόχρωμος τόνος δέρματος, απέθαντος, βρυκόλακας, βρυκόλακας: ανοιχτόχρωμος τόνος δέρματος
