🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
👩🏿‍🔬	bioložka, chemička, fyzička, inženýrka, matematička, tmavý odstín pleti, věda, vědkyně, vědkyně: tmavý odstín pleti, žena
👨🏻‍💻	kodér, muž, notebook, počítač, programování, programátor, programátor: světlý odstín pleti, software, světlý odstín pleti, technologie, vynálezce, vývoj, vývojář
👨🏼‍💻	kodér, muž, notebook, počítač, programování, programátor, programátor: středně světlý odstín pleti, software, středně světlý odstín pleti, technologie, vynálezce, vývoj, vývojář
👨🏽‍💻	kodér, muž, notebook, počítač, programování, programátor, programátor: střední odstín pleti, software, střední odstín pleti, technologie, vynálezce, vývoj, vývojář
👨🏾‍💻	kodér, muž, notebook, počítač, programování, programátor, programátor: středně tmavý odstín pleti, software, středně tmavý odstín pleti, technologie, vynálezce, vývoj, vývojář
👨🏿‍💻	kodér, muž, notebook, počítač, programování, programátor, programátor: tmavý odstín pleti, software, technologie, tmavý odstín pleti, vynálezce, vývoj, vývojář
👩🏻‍💻	kodérka, notebook, počítač, programování, programátorka, programátorka: světlý odstín pleti, software, světlý odstín pleti, technologie, vynálezkyně, vývoj, vývojářka, žena
👩🏼‍💻	kodérka, notebook, počítač, programování, programátorka, programátorka: středně světlý odstín pleti, software, středně světlý odstín pleti, technologie, vynálezkyně, vývoj, vývojářka, žena
👩🏽‍💻	kodérka, notebook, počítač, programování, programátorka, programátorka: střední odstín pleti, software, střední odstín pleti, technologie, vynálezkyně, vývoj, vývojářka, žena
👩🏾‍💻	kodérka, notebook, počítač, programování, programátorka, programátorka: středně tmavý odstín pleti, software, středně tmavý odstín pleti, technologie, vynálezkyně, vývoj, vývojářka, žena
👩🏿‍💻	kodérka, notebook, počítač, programování, programátorka, programátorka: tmavý odstín pleti, software, technologie, tmavý odstín pleti, vynálezkyně, vývoj, vývojářka, žena
👨🏻‍🎤	bavič, herec, hvězda, muž, rock, rocker, světlý odstín pleti, zpěvák, zpěvák: světlý odstín pleti, zábava
👨🏼‍🎤	bavič, herec, hvězda, muž, rock, rocker, středně světlý odstín pleti, zpěvák, zpěvák: středně světlý odstín pleti, zábava
👨🏽‍🎤	bavič, herec, hvězda, muž, rock, rocker, střední odstín pleti, zpěvák, zpěvák: střední odstín pleti, zábava
👨🏾‍🎤	bavič, herec, hvězda, muž, rock, rocker, středně tmavý odstín pleti, zpěvák, zpěvák: středně tmavý odstín pleti, zábava
👨🏿‍🎤	bavič, herec, hvězda, muž, rock, rocker, tmavý odstín pleti, zpěvák, zpěvák: tmavý odstín pleti, zábava
👩🏻‍🎤	bavička, herečka, hvězda, rock, rockerka, světlý odstín pleti, zpěvačka, zpěvačka: světlý odstín pleti, zábava, žena
👩🏼‍🎤	bavička, herečka, hvězda, rock, rockerka, středně světlý odstín pleti, zpěvačka, zpěvačka: středně světlý odstín pleti, zábava, žena
👩🏽‍🎤	bavička, herečka, hvězda, rock, rockerka, střední odstín pleti, zpěvačka, zpěvačka: střední odstín pleti, zábava, žena
👩🏾‍🎤	bavička, herečka, hvězda, rock, rockerka, středně tmavý odstín pleti, zpěvačka, zpěvačka: středně tmavý odstín pleti, zábava, žena
👩🏿‍🎤	bavička, herečka, hvězda, rock, rockerka, tmavý odstín pleti, zpěvačka, zpěvačka: tmavý odstín pleti, zábava, žena
👨🏻‍🎨	malíř, malíř: světlý odstín pleti, muž, paleta, světlý odstín pleti, umělec, umění
👨🏼‍🎨	malíř, malíř: středně světlý odstín pleti, muž, paleta, středně světlý odstín pleti, umělec, umění
👨🏽‍🎨	malíř, malíř: střední odstín pleti, muž, paleta, střední odstín pleti, umělec, umění
👨🏾‍🎨	malíř, malíř: středně tmavý odstín pleti, muž, paleta, středně tmavý odstín pleti, umělec, umění
👨🏿‍🎨	malíř, malíř: tmavý odstín pleti, muž, paleta, tmavý odstín pleti, umělec, umění
👩🏻‍🎨	malířka, malířka: světlý odstín pleti, paleta, světlý odstín pleti, umělkyně, umění, žena
👩🏼‍🎨	malířka, malířka: středně světlý odstín pleti, paleta, středně světlý odstín pleti, umělkyně, umění, žena
👩🏽‍🎨	malířka, malířka: střední odstín pleti, paleta, střední odstín pleti, umělkyně, umění, žena
👩🏾‍🎨	malířka, malířka: středně tmavý odstín pleti, paleta, středně tmavý odstín pleti, umělkyně, umění, žena
👩🏿‍🎨	malířka, malířka: tmavý odstín pleti, paleta, tmavý odstín pleti, umělkyně, umění, žena
👨🏻‍✈	letadlo, muž, pilot, pilot: světlý odstín pleti, světlý odstín pleti
👨🏼‍✈	letadlo, muž, pilot, pilot: středně světlý odstín pleti, středně světlý odstín pleti
👨🏽‍✈	letadlo, muž, pilot, pilot: střední odstín pleti, střední odstín pleti
👨🏾‍✈	letadlo, muž, pilot, pilot: středně tmavý odstín pleti, středně tmavý odstín pleti
👨🏿‍✈	letadlo, muž, pilot, pilot: tmavý odstín pleti, tmavý odstín pleti
👩🏻‍✈	letadlo, pilotka, pilotka: světlý odstín pleti, světlý odstín pleti, žena
👩🏼‍✈	letadlo, pilotka, pilotka: středně světlý odstín pleti, středně světlý odstín pleti, žena
👩🏽‍✈	letadlo, pilotka, pilotka: střední odstín pleti, střední odstín pleti, žena
👩🏾‍✈	letadlo, pilotka, pilotka: středně tmavý odstín pleti, středně tmavý odstín pleti, žena
👩🏿‍✈	letadlo, pilotka, pilotka: tmavý odstín pleti, tmavý odstín pleti, žena
👨🏻‍🚀	astronaut, kosmonaut, kosmonaut: světlý odstín pleti, muž, raketa, světlý odstín pleti, vesmír
👨🏼‍🚀	astronaut, kosmonaut, kosmonaut: středně světlý odstín pleti, muž, raketa, středně světlý odstín pleti, vesmír
👨🏽‍🚀	astronaut, kosmonaut, kosmonaut: střední odstín pleti, muž, raketa, střední odstín pleti, vesmír
👨🏾‍🚀	astronaut, kosmonaut, kosmonaut: středně tmavý odstín pleti, muž, raketa, středně tmavý odstín pleti, vesmír
👨🏿‍🚀	astronaut, kosmonaut, kosmonaut: tmavý odstín pleti, muž, raketa, tmavý odstín pleti, vesmír
👩🏻‍🚀	astronautka, kosmonautka, kosmonautka: světlý odstín pleti, raketa, světlý odstín pleti, vesmír, žena
👩🏼‍🚀	astronautka, kosmonautka, kosmonautka: středně světlý odstín pleti, raketa, středně světlý odstín pleti, vesmír, žena
👩🏽‍🚀	astronautka, kosmonautka, kosmonautka: střední odstín pleti, raketa, střední odstín pleti, vesmír, žena
👩🏾‍🚀	astronautka, kosmonautka, kosmonautka: středně tmavý odstín pleti, raketa, středně tmavý odstín pleti, vesmír, žena
👩🏿‍🚀	astronautka, kosmonautka, kosmonautka: tmavý odstín pleti, raketa, tmavý odstín pleti, vesmír, žena
👨🏻‍🚒	hasič, hasič: světlý odstín pleti, hasičské auto, muž, požár, požárník, stříkačka, světlý odstín pleti
👨🏼‍🚒	hasič, hasič: středně světlý odstín pleti, hasičské auto, muž, požár, požárník, středně světlý odstín pleti, stříkačka
👨🏽‍🚒	hasič, hasič: střední odstín pleti, hasičské auto, muž, požár, požárník, střední odstín pleti, stříkačka
👨🏾‍🚒	hasič, hasič: středně tmavý odstín pleti, hasičské auto, muž, požár, požárník, středně tmavý odstín pleti, stříkačka
👨🏿‍🚒	hasič, hasič: tmavý odstín pleti, hasičské auto, muž, požár, požárník, stříkačka, tmavý odstín pleti
👩🏻‍🚒	hasička, hasička: světlý odstín pleti, hasičské auto, požár, požárnice, stříkačka, světlý odstín pleti, žena
👩🏼‍🚒	hasička, hasička: středně světlý odstín pleti, hasičské auto, požár, požárnice, středně světlý odstín pleti, stříkačka, žena
👩🏽‍🚒	hasička, hasička: střední odstín pleti, hasičské auto, požár, požárnice, střední odstín pleti, stříkačka, žena
👩🏾‍🚒	hasička, hasička: středně tmavý odstín pleti, hasičské auto, požár, požárnice, středně tmavý odstín pleti, stříkačka, žena
👩🏿‍🚒	hasička, hasička: tmavý odstín pleti, hasičské auto, požár, požárnice, stříkačka, tmavý odstín pleti, žena
👮🏻	policajt, policie, policista, strážník, strážník: světlý odstín pleti, světlý odstín pleti
👮🏼	policajt, policie, policista, strážník, strážník: středně světlý odstín pleti, středně světlý odstín pleti
👮🏽	policajt, policie, policista, strážník, strážník: střední odstín pleti, střední odstín pleti
👮🏾	policajt, policie, policista, strážník, strážník: středně tmavý odstín pleti, středně tmavý odstín pleti
👮🏿	policajt, policie, policista, strážník, strážník: tmavý odstín pleti, tmavý odstín pleti
👮🏻‍♂	muž, policajt, policie, policista, policista: světlý odstín pleti, strážník, světlý odstín pleti
👮🏼‍♂	muž, policajt, policie, policista, policista: středně světlý odstín pleti, strážník, středně světlý odstín pleti
👮🏽‍♂	muž, policajt, policie, policista, policista: střední odstín pleti, strážník, střední odstín pleti
👮🏾‍♂	muž, policajt, policie, policista, policista: středně tmavý odstín pleti, strážník, středně tmavý odstín pleti
👮🏿‍♂	muž, policajt, policie, policista, policista: tmavý odstín pleti, strážník, tmavý odstín pleti
👮🏻‍♀	policajtka, policie, policistka, policistka: světlý odstín pleti, strážnice, světlý odstín pleti, žena
👮🏼‍♀	policajtka, policie, policistka, policistka: středně světlý odstín pleti, strážnice, středně světlý odstín pleti, žena
👮🏽‍♀	policajtka, policie, policistka, policistka: střední odstín pleti, strážnice, střední odstín pleti, žena
👮🏾‍♀	policajtka, policie, policistka, policistka: středně tmavý odstín pleti, strážnice, středně tmavý odstín pleti, žena
👮🏿‍♀	policajtka, policie, policistka, policistka: tmavý odstín pleti, strážnice, tmavý odstín pleti, žena
🕵🏻	agent, detektiv, detektiv: světlý odstín pleti, inspektor, očko, světlý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏼	agent, detektiv, detektiv: středně světlý odstín pleti, inspektor, očko, středně světlý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏽	agent, detektiv, detektiv: střední odstín pleti, inspektor, očko, střední odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏾	agent, detektiv, detektiv: středně tmavý odstín pleti, inspektor, očko, středně tmavý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏿	agent, detektiv, detektiv: tmavý odstín pleti, inspektor, očko, tmavý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏻‍♂	agent, detektiv, inspektor, kriminální inspektor, kriminální inspektor: světlý odstín pleti, muž, očko, světlý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏼‍♂	agent, detektiv, inspektor, kriminální inspektor, kriminální inspektor: středně světlý odstín pleti, muž, očko, středně světlý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏽‍♂	agent, detektiv, inspektor, kriminální inspektor, kriminální inspektor: střední odstín pleti, muž, očko, střední odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏾‍♂	agent, detektiv, inspektor, kriminální inspektor, kriminální inspektor: středně tmavý odstín pleti, muž, očko, středně tmavý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏿‍♂	agent, detektiv, inspektor, kriminální inspektor, kriminální inspektor: tmavý odstín pleti, muž, očko, tmavý odstín pleti, vyšetřovatel, čmuchal, špeh, špión
🕵🏻‍♀	agentka, detektivka, inspektorka, kriminální inspektorka, kriminální inspektorka: světlý odstín pleti, očko, světlý odstín pleti, vyšetřovatelka, čmuchalka, špehyně, špiónka, žena
🕵🏼‍♀	agentka, detektivka, inspektorka, kriminální inspektorka, kriminální inspektorka: středně světlý odstín pleti, očko, středně světlý odstín pleti, vyšetřovatelka, čmuchalka, špehyně, špiónka, žena
🕵🏽‍♀	agentka, detektivka, inspektorka, kriminální inspektorka, kriminální inspektorka: střední odstín pleti, očko, střední odstín pleti, vyšetřovatelka, čmuchalka, špehyně, špiónka, žena
🕵🏾‍♀	agentka, detektivka, inspektorka, kriminální inspektorka, kriminální inspektorka: středně tmavý odstín pleti, očko, středně tmavý odstín pleti, vyšetřovatelka, čmuchalka, špehyně, špiónka, žena
🕵🏿‍♀	agentka, detektivka, inspektorka, kriminální inspektorka, kriminální inspektorka: tmavý odstín pleti, očko, tmavý odstín pleti, vyšetřovatelka, čmuchalka, špehyně, špiónka, žena
💂🏻	gardista, gardista: světlý odstín pleti, stráž, světlý odstín pleti
💂🏼	gardista, gardista: středně světlý odstín pleti, stráž, středně světlý odstín pleti
💂🏽	gardista, gardista: střední odstín pleti, stráž, střední odstín pleti
💂🏾	gardista, gardista: středně tmavý odstín pleti, stráž, středně tmavý odstín pleti
💂🏿	gardista, gardista: tmavý odstín pleti, stráž, tmavý odstín pleti
💂🏻‍♂	muž, stráž, strážce, strážce: světlý odstín pleti, světlý odstín pleti
💂🏼‍♂	muž, stráž, strážce, strážce: středně světlý odstín pleti, středně světlý odstín pleti
💂🏽‍♂	muž, stráž, strážce, strážce: střední odstín pleti, střední odstín pleti
💂🏾‍♂	muž, stráž, strážce, strážce: středně tmavý odstín pleti, středně tmavý odstín pleti
💂🏿‍♂	muž, stráž, strážce, strážce: tmavý odstín pleti, tmavý odstín pleti
💂🏻‍♀	stráž, strážkyně, strážkyně: světlý odstín pleti, světlý odstín pleti, žena
💂🏼‍♀	stráž, strážkyně, strážkyně: středně světlý odstín pleti, středně světlý odstín pleti, žena
💂🏽‍♀	stráž, strážkyně, strážkyně: střední odstín pleti, střední odstín pleti, žena
💂🏾‍♀	stráž, strážkyně, strážkyně: středně tmavý odstín pleti, středně tmavý odstín pleti, žena
💂🏿‍♀	stráž, strážkyně, strážkyně: tmavý odstín pleti, tmavý odstín pleti, žena
👷🏻	dělník na stavbě, dělník na stavbě: světlý odstín pleti, helma, stavba, světlý odstín pleti
👷🏼	dělník na stavbě, dělník na stavbě: středně světlý odstín pleti, helma, stavba, středně světlý odstín pleti
👷🏽	dělník na stavbě, dělník na stavbě: střední odstín pleti, helma, stavba, střední odstín pleti
👷🏾	dělník na stavbě, dělník na stavbě: středně tmavý odstín pleti, helma, stavba, středně tmavý odstín pleti
👷🏿	dělník na stavbě, dělník na stavbě: tmavý odstín pleti, helma, stavba, tmavý odstín pleti
👷🏻‍♂	dělník, muž, stavař, stavba, stavební dělník, stavební dělník: světlý odstín pleti, světlý odstín pleti
👷🏼‍♂	dělník, muž, stavař, stavba, stavební dělník, stavební dělník: středně světlý odstín pleti, středně světlý odstín pleti
👷🏽‍♂	dělník, muž, stavař, stavba, stavební dělník, stavební dělník: střední odstín pleti, střední odstín pleti
👷🏾‍♂	dělník, muž, stavař, stavba, stavební dělník, stavební dělník: středně tmavý odstín pleti, středně tmavý odstín pleti
👷🏿‍♂	dělník, muž, stavař, stavba, stavební dělník, stavební dělník: tmavý odstín pleti, tmavý odstín pleti
👷🏻‍♀	dělnice, stavařka, stavba, stavební dělnice, stavební dělnice: světlý odstín pleti, světlý odstín pleti, žena
👷🏼‍♀	dělnice, stavařka, stavba, stavební dělnice, stavební dělnice: středně světlý odstín pleti, středně světlý odstín pleti, žena
👷🏽‍♀	dělnice, stavařka, stavba, stavební dělnice, stavební dělnice: střední odstín pleti, střední odstín pleti, žena
👷🏾‍♀	dělnice, stavařka, stavba, stavební dělnice, stavební dělnice: středně tmavý odstín pleti, středně tmavý odstín pleti, žena
👷🏿‍♀	dělnice, stavařka, stavba, stavební dělnice, stavební dělnice: tmavý odstín pleti, tmavý odstín pleti, žena
🤴🏻	fantasy, pohádka, princ, princ: světlý odstín pleti, světlý odstín pleti
🤴🏼	fantasy, pohádka, princ, princ: středně světlý odstín pleti, středně světlý odstín pleti
🤴🏽	fantasy, pohádka, princ, princ: střední odstín pleti, střední odstín pleti
🤴🏾	fantasy, pohádka, princ, princ: středně tmavý odstín pleti, středně tmavý odstín pleti
🤴🏿	fantasy, pohádka, princ, princ: tmavý odstín pleti, tmavý odstín pleti
👸🏻	fantasy, pohádka, princezna, princezna: světlý odstín pleti, světlý odstín pleti
👸🏼	fantasy, pohádka, princezna, princezna: středně světlý odstín pleti, středně světlý odstín pleti
👸🏽	fantasy, pohádka, princezna, princezna: střední odstín pleti, střední odstín pleti
👸🏾	fantasy, pohádka, princezna, princezna: středně tmavý odstín pleti, středně tmavý odstín pleti
👸🏿	fantasy, pohádka, princezna, princezna: tmavý odstín pleti, tmavý odstín pleti
👳🏻	světlý odstín pleti, turban, člověk s turbanem, člověk s turbanem: světlý odstín pleti
👳🏼	středně světlý odstín pleti, turban, člověk s turbanem, člověk s turbanem: středně světlý odstín pleti
👳🏽	střední odstín pleti, turban, člověk s turbanem, člověk s turbanem: střední odstín pleti
👳🏾	středně tmavý odstín pleti, turban, člověk s turbanem, člověk s turbanem: středně tmavý odstín pleti
👳🏿	tmavý odstín pleti, turban, člověk s turbanem, člověk s turbanem: tmavý odstín pleti
👳🏻‍♂	muž, muž s turbanem, muž s turbanem: světlý odstín pleti, světlý odstín pleti, turban
👳🏼‍♂	muž, muž s turbanem, muž s turbanem: středně světlý odstín pleti, středně světlý odstín pleti, turban
👳🏽‍♂	muž, muž s turbanem, muž s turbanem: střední odstín pleti, střední odstín pleti, turban
👳🏾‍♂	muž, muž s turbanem, muž s turbanem: středně tmavý odstín pleti, středně tmavý odstín pleti, turban
👳🏿‍♂	muž, muž s turbanem, muž s turbanem: tmavý odstín pleti, tmavý odstín pleti, turban
👳🏻‍♀	světlý odstín pleti, turban, žena, žena s turbanem, žena s turbanem: světlý odstín pleti
👳🏼‍♀	středně světlý odstín pleti, turban, žena, žena s turbanem, žena s turbanem: středně světlý odstín pleti
👳🏽‍♀	střední odstín pleti, turban, žena, žena s turbanem, žena s turbanem: střední odstín pleti
👳🏾‍♀	středně tmavý odstín pleti, turban, žena, žena s turbanem, žena s turbanem: středně tmavý odstín pleti
👳🏿‍♀	tmavý odstín pleti, turban, žena, žena s turbanem, žena s turbanem: tmavý odstín pleti
👲🏻	gua pi mao, kua pchi mao, muž, muž s čínskou čepicí, muž s čínskou čepicí: světlý odstín pleti, světlý odstín pleti, čepice
👲🏼	gua pi mao, kua pchi mao, muž, muž s čínskou čepicí, muž s čínskou čepicí: středně světlý odstín pleti, středně světlý odstín pleti, čepice
👲🏽	gua pi mao, kua pchi mao, muž, muž s čínskou čepicí, muž s čínskou čepicí: střední odstín pleti, střední odstín pleti, čepice
👲🏾	gua pi mao, kua pchi mao, muž, muž s čínskou čepicí, muž s čínskou čepicí: středně tmavý odstín pleti, středně tmavý odstín pleti, čepice
👲🏿	gua pi mao, kua pchi mao, muž, muž s čínskou čepicí, muž s čínskou čepicí: tmavý odstín pleti, tmavý odstín pleti, čepice
🧕🏻	hidžáb, světlý odstín pleti, závoj, šátek, žena v šátku, žena v šátku: světlý odstín pleti
🧕🏼	hidžáb, středně světlý odstín pleti, závoj, šátek, žena v šátku, žena v šátku: středně světlý odstín pleti
🧕🏽	hidžáb, střední odstín pleti, závoj, šátek, žena v šátku, žena v šátku: střední odstín pleti
🧕🏾	hidžáb, středně tmavý odstín pleti, závoj, šátek, žena v šátku, žena v šátku: středně tmavý odstín pleti
🧕🏿	hidžáb, tmavý odstín pleti, závoj, šátek, žena v šátku, žena v šátku: tmavý odstín pleti
🧔🏻	muž s plnovousem, muž s plnovousem: světlý odstín pleti, plnovous, světlý odstín pleti, vous, vousáč
🧔🏼	muž s plnovousem, muž s plnovousem: středně světlý odstín pleti, plnovous, středně světlý odstín pleti, vous, vousáč
🧔🏽	muž s plnovousem, muž s plnovousem: střední odstín pleti, plnovous, střední odstín pleti, vous, vousáč
🧔🏾	muž s plnovousem, muž s plnovousem: středně tmavý odstín pleti, plnovous, středně tmavý odstín pleti, vous, vousáč
🧔🏿	muž s plnovousem, muž s plnovousem: tmavý odstín pleti, plnovous, tmavý odstín pleti, vous, vousáč
👱🏻	blond, světlé vlasy, světlý odstín pleti, člověk s blond vlasy, člověk s blond vlasy: světlý odstín pleti
👱🏼	blond, středně světlý odstín pleti, světlé vlasy, člověk s blond vlasy, člověk s blond vlasy: středně světlý odstín pleti
👱🏽	blond, střední odstín pleti, světlé vlasy, člověk s blond vlasy, člověk s blond vlasy: střední odstín pleti
👱🏾	blond, středně tmavý odstín pleti, světlé vlasy, člověk s blond vlasy, člověk s blond vlasy: středně tmavý odstín pleti
👱🏿	blond, světlé vlasy, tmavý odstín pleti, člověk s blond vlasy, člověk s blond vlasy: tmavý odstín pleti
👱🏻‍♂	blond, blonďák, blonďák: světlý odstín pleti, muž, plavovlasý, světlovlasý, světlý odstín pleti
👱🏼‍♂	blond, blonďák, blonďák: středně světlý odstín pleti, muž, plavovlasý, středně světlý odstín pleti, světlovlasý
👱🏽‍♂	blond, blonďák, blonďák: střední odstín pleti, muž, plavovlasý, střední odstín pleti, světlovlasý
👱🏾‍♂	blond, blonďák, blonďák: středně tmavý odstín pleti, muž, plavovlasý, středně tmavý odstín pleti, světlovlasý
👱🏿‍♂	blond, blonďák, blonďák: tmavý odstín pleti, muž, plavovlasý, světlovlasý, tmavý odstín pleti
👱🏻‍♀	blond, blondýna, blondýna: světlý odstín pleti, blondýnka, plavovláska, světlovláska, světlý odstín pleti, žena
👱🏼‍♀	blond, blondýna, blondýna: středně světlý odstín pleti, blondýnka, plavovláska, středně světlý odstín pleti, světlovláska, žena
👱🏽‍♀	blond, blondýna, blondýna: střední odstín pleti, blondýnka, plavovláska, střední odstín pleti, světlovláska, žena
👱🏾‍♀	blond, blondýna, blondýna: středně tmavý odstín pleti, blondýnka, plavovláska, středně tmavý odstín pleti, světlovláska, žena
👱🏿‍♀	blond, blondýna, blondýna: tmavý odstín pleti, blondýnka, plavovláska, světlovláska, tmavý odstín pleti, žena
🤵🏻	muž, muž ve smokingu, muž ve smokingu: světlý odstín pleti, smoking, světlý odstín pleti, ženich
🤵🏼	muž, muž ve smokingu, muž ve smokingu: středně světlý odstín pleti, smoking, středně světlý odstín pleti, ženich
🤵🏽	muž, muž ve smokingu, muž ve smokingu: střední odstín pleti, smoking, střední odstín pleti, ženich
🤵🏾	muž, muž ve smokingu, muž ve smokingu: středně tmavý odstín pleti, smoking, středně tmavý odstín pleti, ženich
🤵🏿	muž, muž ve smokingu, muž ve smokingu: tmavý odstín pleti, smoking, tmavý odstín pleti, ženich
👰🏻	nevěsta, nevěsta se závojem, nevěsta se závojem: světlý odstín pleti, svatba, světlý odstín pleti, závoj
👰🏼	nevěsta, nevěsta se závojem, nevěsta se závojem: středně světlý odstín pleti, středně světlý odstín pleti, svatba, závoj
👰🏽	nevěsta, nevěsta se závojem, nevěsta se závojem: střední odstín pleti, střední odstín pleti, svatba, závoj
👰🏾	nevěsta, nevěsta se závojem, nevěsta se závojem: středně tmavý odstín pleti, středně tmavý odstín pleti, svatba, závoj
👰🏿	nevěsta, nevěsta se závojem, nevěsta se závojem: tmavý odstín pleti, svatba, tmavý odstín pleti, závoj
🤰🏻	světlý odstín pleti, těhotenství, těhotná, těhotná žena: světlý odstín pleti, žena
🤰🏼	středně světlý odstín pleti, těhotenství, těhotná, těhotná žena: středně světlý odstín pleti, žena
🤰🏽	střední odstín pleti, těhotenství, těhotná, těhotná žena: střední odstín pleti, žena
🤰🏾	středně tmavý odstín pleti, těhotenství, těhotná, těhotná žena: středně tmavý odstín pleti, žena
🤰🏿	tmavý odstín pleti, těhotenství, těhotná, těhotná žena: tmavý odstín pleti, žena
🤱🏻	dítě, kojenec, kojení, kojení: světlý odstín pleti, kojit, krmení, prsa, prso, světlý odstín pleti
🤱🏼	dítě, kojenec, kojení, kojení: středně světlý odstín pleti, kojit, krmení, prsa, prso, středně světlý odstín pleti
🤱🏽	dítě, kojenec, kojení, kojení: střední odstín pleti, kojit, krmení, prsa, prso, střední odstín pleti
🤱🏾	dítě, kojenec, kojení, kojení: středně tmavý odstín pleti, kojit, krmení, prsa, prso, středně tmavý odstín pleti
🤱🏿	dítě, kojenec, kojení, kojení: tmavý odstín pleti, kojit, krmení, prsa, prso, tmavý odstín pleti
👼🏻	andílek, andílek: světlý odstín pleti, anděl, dítě, fantasy, pohádka, smajlík, světlý odstín pleti, tvář, výraz
👼🏼	andílek, andílek: středně světlý odstín pleti, anděl, dítě, fantasy, pohádka, smajlík, středně světlý odstín pleti, tvář, výraz
👼🏽	andílek, andílek: střední odstín pleti, anděl, dítě, fantasy, pohádka, smajlík, střední odstín pleti, tvář, výraz
👼🏾	andílek, andílek: středně tmavý odstín pleti, anděl, dítě, fantasy, pohádka, smajlík, středně tmavý odstín pleti, tvář, výraz
👼🏿	andílek, andílek: tmavý odstín pleti, anděl, dítě, fantasy, pohádka, smajlík, tmavý odstín pleti, tvář, výraz
🎅🏻	Santa Claus, Santa Claus: světlý odstín pleti, fantasy, oslava, otec, pohádka, santa, světlý odstín pleti, vánoce
🎅🏼	Santa Claus, Santa Claus: středně světlý odstín pleti, fantasy, oslava, otec, pohádka, santa, středně světlý odstín pleti, vánoce
🎅🏽	Santa Claus, Santa Claus: střední odstín pleti, fantasy, oslava, otec, pohádka, santa, střední odstín pleti, vánoce
🎅🏾	Santa Claus, Santa Claus: středně tmavý odstín pleti, fantasy, oslava, otec, pohádka, santa, středně tmavý odstín pleti, vánoce
🎅🏿	Santa Claus, Santa Claus: tmavý odstín pleti, fantasy, oslava, otec, pohádka, santa, tmavý odstín pleti, vánoce
🤶🏻	Santa Clausová, Santa Clausová: světlý odstín pleti, fantasy, matka, oslava, pohádka, santa, světlý odstín pleti, vánoce
🤶🏼	Santa Clausová, Santa Clausová: středně světlý odstín pleti, fantasy, matka, oslava, pohádka, santa, středně světlý odstín pleti, vánoce
🤶🏽	Santa Clausová, Santa Clausová: střední odstín pleti, fantasy, matka, oslava, pohádka, santa, střední odstín pleti, vánoce
🤶🏾	Santa Clausová, Santa Clausová: středně tmavý odstín pleti, fantasy, matka, oslava, pohádka, santa, středně tmavý odstín pleti, vánoce
🤶🏿	Santa Clausová, Santa Clausová: tmavý odstín pleti, fantasy, matka, oslava, pohádka, santa, tmavý odstín pleti, vánoce
🧙🏻	kouzelník, mág, mág: světlý odstín pleti, světlý odstín pleti, čaroděj, čarodějník
🧙🏼	kouzelník, mág, mág: středně světlý odstín pleti, středně světlý odstín pleti, čaroděj, čarodějník
🧙🏽	kouzelník, mág, mág: střední odstín pleti, střední odstín pleti, čaroděj, čarodějník
🧙🏾	kouzelník, mág, mág: středně tmavý odstín pleti, středně tmavý odstín pleti, čaroděj, čarodějník
🧙🏿	kouzelník, mág, mág: tmavý odstín pleti, tmavý odstín pleti, čaroděj, čarodějník
🧙🏻‍♀	kouzelnice, mágyně, světlý odstín pleti, vědma, čarodějka, čarodějka: světlý odstín pleti, čarodějnice
🧙🏼‍♀	kouzelnice, mágyně, středně světlý odstín pleti, vědma, čarodějka, čarodějka: středně světlý odstín pleti, čarodějnice
🧙🏽‍♀	kouzelnice, mágyně, střední odstín pleti, vědma, čarodějka, čarodějka: střední odstín pleti, čarodějnice
🧙🏾‍♀	kouzelnice, mágyně, středně tmavý odstín pleti, vědma, čarodějka, čarodějka: středně tmavý odstín pleti, čarodějnice
🧙🏿‍♀	kouzelnice, mágyně, tmavý odstín pleti, vědma, čarodějka, čarodějka: tmavý odstín pleti, čarodějnice
🧙🏻‍♂	kouzelník, mág, světlý odstín pleti, čaroděj, čaroděj: světlý odstín pleti, čarodějník
🧙🏼‍♂	kouzelník, mág, středně světlý odstín pleti, čaroděj, čaroděj: středně světlý odstín pleti, čarodějník
🧙🏽‍♂	kouzelník, mág, střední odstín pleti, čaroděj, čaroděj: střední odstín pleti, čarodějník
🧙🏾‍♂	kouzelník, mág, středně tmavý odstín pleti, čaroděj, čaroděj: středně tmavý odstín pleti, čarodějník
🧙🏿‍♂	kouzelník, mág, tmavý odstín pleti, čaroděj, čaroděj: tmavý odstín pleti, čarodějník
🧚🏻	duch, oberon, puk, skřítek, světlý odstín pleti, titánie, víla, víla: světlý odstín pleti
