🏻	白皮膚, 膚色
📘	書本, 藍色的書本
📙	書本, 橘色的書本
📓	筆記本
📒	帳本, 帳簿
📃	文件檔, 文書
📜	捲軸, 文書
📄	文件, 文書, 文檔
📰	報紙, 新聞
🗞	報紙, 捲好的報紙, 新聞
📑	標籤, 頁籤
🔖	書籤
💴	日幣, 貨幣, 鈔票, 錢
💵	美金, 貨幣, 鈔票, 錢
💶	歐元, 貨幣, 鈔票, 錢
💷	英鎊, 貨幣, 鈔票, 錢
💸	沒錢了, 錢飛了
🧾	收執聯, 收據, 發票, 紙本, 證明
💹	上揚, 圖表, 市場走向, 貨幣升值
💱	換匯, 貨幣兌換
💲	貨幣, 貨幣符號, 錢
📧	email, 郵件, 電子郵件
📨	信件, 信封, 接收, 收到郵件, 郵件
📩	信件, 信封, 寄出郵件, 發送, 郵件
📮	信箱
📝	備忘錄, 備註
💼	公事包
📁	資料夾
📂	打開資料夾
📅	行事曆
📆	撕日曆, 日曆
📇	索引卡
📈	上升, 上漲, 圖表, 漲
📉	下跌, 下降, 圖表, 跌
📊	圖表, 直方圖
📌	圖釘
📍	圓圖釘, 圖釘
📎	迴紋針
📏	尺, 直尺
📐	三角尺, 尺
🔏	鋼筆, 鋼筆和鎖, 鎖
🔐	鎖, 鑰匙, 鑰匙和鎖
🔑	密碼, 鎖, 鑰匙
🔨	鎚子
🔫	手槍, 槍
🏹	射手, 弓箭
🔧	扳手
🔩	螺栓, 螺絲
🔗	連結, 鏈結
🧰	器具, 工具, 工具箱, 箱子
🧲	五金, 磁力, 磁鐵
🧪	化學, 實驗, 科學, 試管
🧫	培養皿, 基因, 實驗, 生物學家, 細菌
🧬	DNA, 基因, 演化, 生命, 生物學家
🔬	顯微鏡
🔭	望遠鏡, 觀測
📡	天線, 衛星天線
💉	注射器, 針筒
💊	藥, 藥丸
🚪	門
🚽	廁所, 馬桶
🚿	淋浴, 蓮蓬頭
🛁	浴盆, 澡盆
🧴	乳液, 乳液瓶, 保濕, 洗髮精, 防曬
🧷	安全別針, 尿布, 龐克搖滾
🧹	巫婆, 掃, 掃帚, 清潔
🧺	洗衣, 種植, 籃子, 野餐
🧻	捲筒衛生紙, 紙巾, 衛生紙
🧼	泡沫, 洗澡, 清潔, 肥皂, 肥皂盤
🧽	吸水, 海綿, 清潔, 透氣
🧯	撲滅, 滅火, 滅火器
🛒	推車, 購物, 購物車
🚬	吸煙, 抽煙
🗿	復活島石像, 復活節島
🏧	提款機
🚮	垃圾桶
🚰	飲用水
🚻	洗手間
🚾	廁所, 盥洗室
🛂	護照, 護照查驗
🛃	海關
🛄	提取行李
🛅	寄存行李, 寄物
🚸	小心兒童, 當心兒童
🚫	禁止, 禁止通行
🚳	禁止通行, 禁行自行車
🚯	禁止亂丟垃圾, 請勿亂丟垃圾
🚱	不得生飲, 非飲用水
🚷	禁止行人通行, 禁止通行
📵	禁用手機
🔞	18 禁, 未成年人不宜
🔃	順時針, 順時針方向
🔄	逆時針
🔙	返回
🔚	結束
🔛	ON
🔜	馬上
🔝	置頂
🛐	祈禱, 祝禱
🕎	猶太燭台
🔯	六芒星加圓點, 六角星
⛎	星座, 蛇夫座
🔀	交叉, 隨機播放
🔁	重複播放, 順時針
🔂	重複目前單曲
▶	按鈕, 播放
⏩	向前快轉, 按鈕
⏭	下一首, 按鈕
⏯	按鈕, 播放或暫停
◀	倒轉, 按鈕
⏪	向後快轉, 按鈕
⏮	上一首, 最後一首
🔼	向上, 按鈕, 紅
⏫	向上箭頭, 快速向上
🔽	向下, 按鈕, 紅
⏬	向下箭頭, 快速向下
🎦	戲院, 電影院
🔅	低亮度, 微亮
🔆	明亮, 高亮度
📶	訊號強弱, 訊號格數
📳	震動模式
📴	手機關機
⚜	鳶尾花
🔱	三叉戟
📛	名牌, 胸牌
🔰	新手, 日本初學者符號
✅	勾號, 白色勾勾
❌	叉
❎	叉, 叉叉
➕	加, 加號
➖	減, 減號
➗	除, 除號
➰	單環, 日本單環標誌
➿	免費電話, 日本免費電話標誌
❔	標點, 白色問號
❕	標點, 白色驚嘆號
💯	100分, 滿分
🔠	大寫, 大寫字母鍵, 字母, 輸入
🔡	字母, 小寫, 小寫字母鍵, 輸入
🔢	123, 數字, 數字鍵, 輸入
🔣	符號鍵, 輸入
🔤	拉丁字母鍵
🆎	AB型, 血型
🆑	CL
🆒	酷
🆓	免費
🆔	ID, 身分
🆕	新
🆖	NG
🆗	可以, 好的, 沒問題
🆘	救命, 求救
🆙	UP, up, 向上
🆚	vs, 對戰, 比
🈁	koko, 日文KOKO, 日語, 片假名
🈷	月
🈶	有
🈯	指
🉐	得
🈹	割
🈚	免費, 無
🈲	禁
🉑	可
🈸	申
🈴	合
🈳	空, 空的
🈺	營
🈵	滿
🔴	圓形, 大紅色圓形
🔵	圓形, 大藍色圓形
🔶	大橙色菱形, 菱形
🔷	大藍色菱形, 菱形
🔸	小橙色菱形, 菱形
🔹	小藍色菱形, 菱形
🔺	三角形, 向上紅色三角
🔻	三角形, 向下紅色三角
💠	菱形加圓點, 鑽石
🔘	圓鈕, 按鈕
🔲	按鈕, 黑色方按鈕
🔳	按鈕, 白色方按鈕
🏁	格子旗, 終點旗
🚩	三角旗
🎌	旗, 日本, 紀念日
🏴	黑旗
🏳‍🌈	彩虹旗
🏴‍☠	寶藏, 掠奪, 海盜, 海盜旗, 骷髏旗
©️	版權
®️	註冊
‼️	標點, 雙驚嘆號
⁉️	標點, 驚嘆號加問號
™️	商標
ℹ️	資訊
↔️	左右箭頭
↕️	上下箭頭
↖️	左上箭頭, 方向
↗️	右上箭頭, 方向
↘️	右下箭頭, 方向
↙️	左下箭頭, 方向
↩️	向左彎的右箭頭
↪️	向右彎的左箭頭
⌚️	手錶, 錶
⌛️	沙漏
⌨️	鍵盤, 電腦
⏏️	按鈕, 退出
⏱️	時鐘, 碼錶
⏲️	時鐘, 計時器
⏳️	沙漏, 流動的沙漏
⏸️	按鈕, 暫停
⏹️	停止, 停止播放, 按鈕
⏺️	按鈕, 錄製
Ⓜ️	M
▪️	方形, 黑色小方塊
▫️	方形, 白色小方塊
◻️	方形, 白色中方塊
◼️	方形, 黑色中方塊
◽️	方形, 白色中小型方塊
◾️	方形, 黑色中小型方塊
☀️	太陽
☁️	天氣, 雲
☂️	傘, 雨傘
☃️	雪中的雪人, 雪人
☄️	慧星
☎️	市話, 電話
☑️	勾號, 勾選
☔️	傘, 雨中的傘
☕️	咖啡, 熱飲, 茶
☘️	三葉草, 草
☝️	提示, 注意
☠️	交叉骷髏頭, 骷髏頭
☢️	放射性, 標誌
☣️	危害生物, 對生物有害
☦️	十字架, 東正教十字架
☪️	伊斯蘭教星月, 星月
☮️	和平
☯️	陰陽
☸️	法輪
☹️	不滿意, 不爽, 皺眉
☺️	放鬆一笑, 輕鬆笑臉
♀️	女
♂️	男
♈️	星座, 牡羊座
♉️	星座, 金牛座
♊️	星座, 雙子座
♋️	巨蟹座, 星座
♌️	星座, 獅子座
♍️	星座, 處女座
♎️	天秤座, 星座
♏️	天蠍座, 星座
♐️	射手座, 星座
♑️	摩羯座, 星座
♒️	星座, 水瓶座
♓️	星座, 雙魚座
♟️	卒, 戰略, 棋子, 鬥智
♠️	紙牌, 黑桃
♣️	梅花, 紙牌
♥️	紅心, 紙牌
♦️	方塊, 紙牌
♨️	泡湯, 溫泉
♻️	可回收資源, 回收
♾️	全體, 永遠, 無限, 無限大
♿️	無障礙空間, 行動不便者, 身障人士
⚒️	十字鎬, 鎚子, 鎚子和十字鎬
⚓️	船錨, 錨
⚔️	劍
⚕️	醫療符號
⚖️	天平
⚗️	化學, 蒸餾, 蒸餾器
⚙️	齒輪
⚛️	原子
⚠️	警告
⚡️	閃電, 電, 高壓電
⚪️	圓形, 白色圓形
⚫️	圓形, 黑色圓形
⚰️	棺木, 棺材
⚱️	骨灰甕, 骨灰罈
⚽️	球, 足球
⚾️	棒球, 球
⛄️	雪人
⛅️	天氣, 陰天
⛈️	天氣, 雷雨
⛏️	十字鎬, 鑿
⛑️	安全帽, 工程安全帽
⛓️	鍊子, 鍊條
⛔️	禁止通行, 禁止進入, 禁行
⛩️	神社, 鳥居
⛪️	教堂
⛰️	山, 山峰
⛱️	傘, 遮陽傘
⛲️	噴水池, 噴泉
⛳️	高爾夫
⛴️	渡輪, 船
⛵️	帆船
⛷️	滑雪, 滑雪者
⛸️	溜冰, 溜冰鞋
⛹️	打球, 球
⛺️	帳篷, 露營
⛽️	加油, 加油站
✂️	剪, 剪刀, 工具
✈️	飛機
✉️	信, 郵件
✌️	勝利, 耶
✍️	寫, 書寫, 記錄
✏️	鉛筆
✒️	鋼筆, 鋼筆頭
✔️	勾號, 打勾
✖️	叉, 打叉
✝️	十字架, 拉丁十字架
✡️	六芒星, 六角星
✳️	八芒星
✴️	八角星
❄️	雪花
❇️	火花
❓️	問號, 標點
❗️	標點, 驚嘆號
❣️	心嘆號, 心型驚嘆號
❤️	心型, 愛心
➡️	向右箭頭, 方向
⤴️	右上旋轉箭頭
⤵️	右下旋轉箭頭
⬅️	向左箭頭, 方向
⬆️	向上箭頭, 方向
⬇️	向下箭頭, 方向
⬛️	方形, 黑色大方塊
⬜️	方形, 白色大方塊
⭐️	星星
⭕️	圓圈
〰️	標點, 波浪線
〽️	歌唱, 歌記號
㊗️	祝
㊙️	秘
🀄️	紅中, 麻將
🅰️	A型, 血型
🅱️	B型, 血型
🅾️	O型, 血型
🅿️	P, p, 停車
🈂️	sa, 日文服務區, 日語, 片假名
🌎️	地球, 美洲
🌕️	月亮, 望月, 滿月
🌜️	下弦月, 彎月臉朝右, 月亮
🌡️	溫度計
🌤️	天氣, 晴偶有雲
🌥️	天氣, 晴時多雲
🌦️	天氣, 晴時有雨
🌧️	天氣, 雨天
🌨️	下雪, 天氣
🌩️	天氣, 閃電
🌪️	天氣, 龍捲風
🌫️	天氣, 有霧
🌬️	刮風, 天氣
🌶️	蔬菜, 辣椒
🍸️	酒, 雞尾酒
🍽️	刀叉餐盤, 餐具
🎓️	畢業帽
🎖️	勳章, 軍事獎章
🎗️	絲帶, 黃絲帶
🎙️	錄音室麥克風, 麥克風
🎚️	調整桿
🎛️	控制旋鈕, 旋鈕
🎞️	膠卷, 電影膠卷
🎟️	入場券, 票券
🎧️	耳機, 音樂
🎬️	場記板
🎭️	戲劇, 面具
🎮️	電動, 電玩
🏂️	滑雪, 滑雪板
🏄️	衝浪
🏆️	獎盃
🏊️	游泳
🏋️	舉重
🏌️	打高爾夫, 高爾夫
🏍️	摩托車, 機車
🏎️	賽車
🏔️	雪山, 雪峰
🏕️	帳篷露營, 露營
🏖️	海灘, 海灘陽傘
🏗️	施工, 施工中
🏘️	屋舍, 房屋建築
🏙️	城市, 都市風景
🏚️	廢墟, 荒宅
🏛️	古典建築, 古蹟
🏜️	沙漠
🏝️	沙灘小島, 熱帶小島
🏞️	公園, 國家公園
🏟️	圓形競技場, 競技場
🏠️	家, 房子
🏭️	工廠, 廠房
🏳️	白旗
🏵️	花, 花朵
🏷️	吊牌, 標籤
🐈️	貓
🐕️	狗
🐟️	魚
🐦️	鳥
🐿️	松鼠, 花栗鼠
👁️	眼睛, 身體部位
👂️	耳朵, 身體部位
👆️	上, 手, 指
👇️	下, 手, 指
👈️	左, 手, 指
👉️	右, 手, 指
👍️	好棒, 讚
👎️	好爛, 遜
👓️	眼鏡
👪️	家庭, 親子
👽️	ET, 外星人
💣️	地雷, 炸彈, 雷區
💰️	錢, 錢袋
💳️	信用卡, 刷卡
💻️	筆記型電腦, 筆電
💿️	CD, 光碟
📋️	寫字夾板
📚️	書, 書本, 書籍
📟️	BB call, 呼叫器
📤️	寄件匣
📥️	收件匣
📦️	包裹, 紙箱
📪️	信箱, 無待收郵件
📫️	信箱, 有待收郵件
📬️	信箱, 有新郵件
📭️	信箱, 沒有新郵件
📷️	相機
📹️	攝影機, 錄影
📺️	電視
📻️	收音機
📽️	放映機, 電影放映機
🔈️	喇叭
🔒️	上鎖, 鎖
🔓️	開鎖
🕉️	唵, 梵文
🕊️	飛鳥, 鳥
🕐️	一點
🕑️	兩點
🕒️	三點
🕓️	四點
🕔️	五點
🕕️	六點
🕖️	七點
🕗️	八點
🕘️	九點
🕙️	十點
🕚️	十一點
🕛️	十二點
🕯️	蠟燭
🕰️	座鐘, 時鐘
🕳️	坑洞, 洞
🕴️	穿著正式, 穿西裝的人
🕵️	偵探
🕶️	墨鏡, 太陽眼鏡
🕷️	蜘蛛
🕸️	蛛網, 蜘蛛網
🕹️	搖桿, 操控桿
🖇️	回紋針, 相連的回紋針
🖊️	筆
🖋️	鋼筆
🖌️	畫筆
🖍️	蠟筆
🖐️	停止, 對外張開五指
🖥️	桌上型電腦, 桌機, 電腦
🖨️	列表機, 印表機
🖱️	滑鼠, 電腦
🖲️	軌跡球
🖼️	畫, 裱框畫
🗂️	索引板, 索引隔板
🗃️	卡片目錄盒, 目錄盒
🗄️	檔案櫃
🗑️	廢紙簍
🗒️	筆記本, 線圈筆記本
🗓️	日曆, 線圈日曆
🗜️	壓縮, 壓縮機
🗝️	老鑰匙, 鑰匙
🗡️	匕首
🗣️	說話, 說話的人影
🗨️	對話框, 黑色對話框
🗯️	對話框, 爆炸對話框
🗳️	投票箱, 票箱
🗺️	世界, 世界地圖, 地圖
😐️	無語, 表情
🚇️	地鐵, 捷運
🚍️	公共汽車, 公車
🚑️	救護車
🚔️	警察車, 警車
🚘️	汽車, 轎車
🚭️	禁止吸煙, 禁煙
🚲️	腳踏車, 自行車
🚹️	男廁
🚺️	女廁
🚼️	嬰兒, 寶寶
🛋️	沙發, 沙發和立燈, 立燈
🛍️	紙袋, 購物袋
🛎️	服務鈴
🛏️	床, 睡覺
🛠️	扳手, 鎚子, 鎚子和扳手
🛡️	盾牌
🛢️	油桶
🛣️	公路, 高速公路
🛤️	鐵軌, 鐵道
🛥️	汽艇, 船
🛩️	小型飛機, 小飛機
🛰️	衛星
🛳️	客船, 船
