‾	надчеркивание
🤙🏿	жест, жест "позвони мне", жест «позвони мне», жест «позвони мне»: очень темный тон кожи, очень темный тон кожи, позвони, позвони мне, рука
👈️	влево, налево, палец, указательный, указывающий налево палец
👈🏻	влево, налево, очень светлый тон кожи, палец, указательный, указывающий налево палец, указывающий налево палец: очень светлый тон кожи
👈🏼	влево, налево, палец, светлый тон кожи, указательный, указывающий налево палец, указывающий налево палец: светлый тон кожи
👈🏽	влево, налево, палец, средний тон кожи, указательный, указывающий налево палец, указывающий налево палец: средний тон кожи
👈🏾	влево, налево, палец, темный тон кожи, указательный, указывающий налево палец, указывающий налево палец: темный тон кожи
👈🏿	влево, налево, очень темный тон кожи, палец, указательный, указывающий налево палец, указывающий налево палец: очень темный тон кожи
👉️	вправо, направо, палец, указательный, указывающий направо палец
👉🏻	вправо, направо, очень светлый тон кожи, палец, указательный, указывающий направо палец, указывающий направо палец: очень светлый тон кожи
👉🏼	вправо, направо, палец, светлый тон кожи, указательный, указывающий направо палец, указывающий направо палец: светлый тон кожи
👉🏽	вправо, направо, палец, средний тон кожи, указательный, указывающий направо палец, указывающий направо палец: средний тон кожи
👉🏾	вправо, направо, палец, темный тон кожи, указательный, указывающий направо палец, указывающий направо палец: темный тон кожи
👉🏿	вправо, направо, очень темный тон кожи, палец, указательный, указывающий направо палец, указывающий направо палец: очень темный тон кожи
👆️	вверх, наверх, палец, указательный, указывающий вверх палец
👆🏻	вверх, наверх, очень светлый тон кожи, палец, указательный, указывающий вверх палец, указывающий вверх палец: очень светлый тон кожи
👆🏼	вверх, наверх, палец, светлый тон кожи, указательный, указывающий вверх палец, указывающий вверх палец: светлый тон кожи
👆🏽	вверх, наверх, палец, средний тон кожи, указательный, указывающий вверх палец, указывающий вверх палец: средний тон кожи
👆🏾	вверх, наверх, палец, темный тон кожи, указательный, указывающий вверх палец, указывающий вверх палец: темный тон кожи
👆🏿	вверх, наверх, очень темный тон кожи, палец, указательный, указывающий вверх палец, указывающий вверх палец: очень темный тон кожи
🖕	жест, палец, рука, средний, средний палец
🖕🏻	жест, очень светлый тон кожи, палец, рука, средний, средний палец: очень светлый тон кожи
🖕🏼	жест, палец, рука, светлый тон кожи, средний, средний палец: светлый тон кожи
🖕🏽	жест, палец, рука, средний, средний палец: средний тон кожи, средний тон кожи
🖕🏾	жест, палец, рука, средний, средний палец: темный тон кожи, темный тон кожи
🖕🏿	жест, очень темный тон кожи, палец, рука, средний, средний палец: очень темный тон кожи
👇️	вниз, палец, указательный, указывающий вниз палец
👇🏻	вниз, очень светлый тон кожи, палец, указательный, указывающий вниз палец, указывающий вниз палец: очень светлый тон кожи
👇🏼	вниз, палец, светлый тон кожи, указательный, указывающий вниз палец, указывающий вниз палец: светлый тон кожи
👇🏽	вниз, палец, средний тон кожи, указательный, указывающий вниз палец, указывающий вниз палец: средний тон кожи
👇🏾	вниз, палец, темный тон кожи, указательный, указывающий вниз палец, указывающий вниз палец: темный тон кожи
👇🏿	вниз, очень темный тон кожи, палец, указательный, указывающий вниз палец, указывающий вниз палец: очень темный тон кожи
☝️	вверх, направление, палец, рука, указательный, указательный палец вверх
☝🏻	вверх, направление, очень светлый тон кожи, палец, рука, указательный, указательный палец вверх: очень светлый тон кожи
☝🏼	вверх, направление, палец, рука, светлый тон кожи, указательный, указательный палец вверх: светлый тон кожи
☝🏽	вверх, направление, палец, рука, средний тон кожи, указательный, указательный палец вверх: средний тон кожи
☝🏾	вверх, направление, палец, рука, темный тон кожи, указательный, указательный палец вверх: темный тон кожи
☝🏿	вверх, направление, очень темный тон кожи, палец, рука, указательный, указательный палец вверх: очень темный тон кожи
🫵	ты, указательный палец, указательный палец на себя, указывать
🫵🏻	очень светлый тон кожи, ты, указательный палец, указательный палец на себя, указательный палец на себя: очень светлый тон кожи, указывать
🫵🏼	светлый тон кожи, ты, указательный палец, указательный палец на себя, указательный палец на себя: светлый тон кожи, указывать
🫵🏽	средний тон кожи, ты, указательный палец, указательный палец на себя, указательный палец на себя: средний тон кожи, указывать
🫵🏾	темный тон кожи, ты, указательный палец, указательный палец на себя, указательный палец на себя: темный тон кожи, указывать
🫵🏿	очень темный тон кожи, ты, указательный палец, указательный палец на себя, указательный палец на себя: очень темный тон кожи, указывать
👍️	большой палец вверх, вверх, нравится, одобрение, палец, рука, хорошо
👍🏻	большой палец вверх, большой палец вверх: очень светлый тон кожи, вверх, нравится, одобрение, очень светлый тон кожи, палец, рука, хорошо
👍🏼	большой палец вверх, большой палец вверх: светлый тон кожи, вверх, нравится, одобрение, палец, рука, светлый тон кожи, хорошо
👍🏽	большой палец вверх, большой палец вверх: средний тон кожи, вверх, нравится, одобрение, палец, рука, средний тон кожи, хорошо
👍🏾	большой палец вверх, большой палец вверх: темный тон кожи, вверх, нравится, одобрение, палец, рука, темный тон кожи, хорошо
👍🏿	большой палец вверх, большой палец вверх: очень темный тон кожи, вверх, нравится, одобрение, очень темный тон кожи, палец, рука, хорошо
👎️	большой палец вниз, вниз, палец, плохо, порицание, рука
👎🏻	большой палец вниз, большой палец вниз: очень светлый тон кожи, вниз, очень светлый тон кожи, палец, плохо, порицание, рука
👎🏼	большой палец вниз, большой палец вниз: светлый тон кожи, вниз, палец, плохо, порицание, рука, светлый тон кожи
👎🏽	большой палец вниз, большой палец вниз: средний тон кожи, вниз, палец, плохо, порицание, рука, средний тон кожи
👎🏾	большой палец вниз, большой палец вниз: темный тон кожи, вниз, палец, плохо, порицание, рука, темный тон кожи
👎🏿	большой палец вниз, большой палец вниз: очень темный тон кожи, вниз, очень темный тон кожи, палец, плохо, порицание, рука
✊	кулак, пальцы, поднятый кулак, рука, удар
✊🏻	кулак, очень светлый тон кожи, пальцы, поднятый кулак, поднятый кулак: очень светлый тон кожи, рука, удар
✊🏼	кулак, пальцы, поднятый кулак, поднятый кулак: светлый тон кожи, рука, светлый тон кожи, удар
✊🏽	кулак, пальцы, поднятый кулак, поднятый кулак: средний тон кожи, рука, средний тон кожи, удар
✊🏾	кулак, пальцы, поднятый кулак, поднятый кулак: темный тон кожи, рука, темный тон кожи, удар
✊🏿	кулак, очень темный тон кожи, пальцы, поднятый кулак, поднятый кулак: очень темный тон кожи, рука, удар
👊	кулак, опасность, рука, удар, удар кулаком
👊🏻	кулак, кулак: очень светлый тон кожи, опасность, очень светлый тон кожи, рука, удар, удар кулаком
👊🏼	кулак, кулак: светлый тон кожи, опасность, рука, светлый тон кожи, удар, удар кулаком
👊🏽	кулак, кулак: средний тон кожи, опасность, рука, средний тон кожи, удар, удар кулаком
👊🏾	кулак, кулак: темный тон кожи, опасность, рука, темный тон кожи, удар, удар кулаком
👊🏿	кулак, кулак: очень темный тон кожи, опасность, очень темный тон кожи, рука, удар, удар кулаком
🤛	влево, кулак, кулак влево
🤛🏻	влево, кулак, кулак влево: очень светлый тон кожи, очень светлый тон кожи
🤛🏼	влево, кулак, кулак влево: светлый тон кожи, светлый тон кожи
🤛🏽	влево, кулак, кулак влево: средний тон кожи, средний тон кожи
🤛🏾	влево, кулак, кулак влево: темный тон кожи, темный тон кожи
🤛🏿	влево, кулак, кулак влево: очень темный тон кожи, очень темный тон кожи
🤜	вправо, кулак, кулак вправо
🤜🏻	вправо, кулак, кулак вправо: очень светлый тон кожи, очень светлый тон кожи
🤜🏼	вправо, кулак, кулак вправо: светлый тон кожи, светлый тон кожи
🤜🏽	вправо, кулак, кулак вправо: средний тон кожи, средний тон кожи
🤜🏾	вправо, кулак, кулак вправо: темный тон кожи, темный тон кожи
🤜🏿	вправо, кулак, кулак вправо: очень темный тон кожи, очень темный тон кожи
👏	аплодисменты, движение, жест, овация, рука, хлопать
👏🏻	аплодисменты, аплодисменты: очень светлый тон кожи, движение, жест, овация, очень светлый тон кожи, рука, хлопать
👏🏼	аплодисменты, аплодисменты: светлый тон кожи, движение, жест, овация, рука, светлый тон кожи, хлопать
👏🏽	аплодисменты, аплодисменты: средний тон кожи, движение, жест, овация, рука, средний тон кожи, хлопать
👏🏾	аплодисменты, аплодисменты: темный тон кожи, движение, жест, овация, рука, темный тон кожи, хлопать
👏🏿	аплодисменты, аплодисменты: очень темный тон кожи, движение, жест, овация, очень темный тон кожи, рука, хлопать
🙌	вверх, жест, класс, отлично, победа, руки, ура
🙌🏻	вверх, жест, класс, отлично, очень светлый тон кожи, победа, руки, ура, ура: очень светлый тон кожи
🙌🏼	вверх, жест, класс, отлично, победа, руки, светлый тон кожи, ура, ура: светлый тон кожи
🙌🏽	вверх, жест, класс, отлично, победа, руки, средний тон кожи, ура, ура: средний тон кожи
🙌🏾	вверх, жест, класс, отлично, победа, руки, темный тон кожи, ура, ура: темный тон кожи
🙌🏿	вверх, жест, класс, отлично, очень темный тон кожи, победа, руки, ура, ура: очень темный тон кожи
🫶	жест, жест «сердце», любовь, руки, сердце
🫶🏻	жест, жест «сердце», жест «сердце»: очень светлый тон кожи, любовь, очень светлый тон кожи, руки, сердце
🫶🏼	жест, жест «сердце», жест «сердце»: светлый тон кожи, любовь, руки, светлый тон кожи, сердце
🫶🏽	жест, жест «сердце», жест «сердце»: средний тон кожи, любовь, руки, сердце, средний тон кожи
🫶🏾	жест, жест «сердце», жест «сердце»: темный тон кожи, любовь, руки, сердце, темный тон кожи
🫶🏿	жест, жест «сердце», жест «сердце»: очень темный тон кожи, любовь, очень темный тон кожи, руки, сердце
👐	врозь, ладони, ладони в стороны, открытые, рука
👐🏻	врозь, ладони, ладони в стороны, ладони в стороны: очень светлый тон кожи, открытые, очень светлый тон кожи, рука
👐🏼	врозь, ладони, ладони в стороны, ладони в стороны: светлый тон кожи, открытые, рука, светлый тон кожи
👐🏽	врозь, ладони, ладони в стороны, ладони в стороны: средний тон кожи, открытые, рука, средний тон кожи
👐🏾	врозь, ладони, ладони в стороны, ладони в стороны: темный тон кожи, открытые, рука, темный тон кожи
👐🏿	врозь, ладони, ладони в стороны, ладони в стороны: очень темный тон кожи, открытые, очень темный тон кожи, рука
🤲	вверх, вместе, ладони, ладони лодочкой, ладони, сложенные лодочкой, молитва, руки
🤲🏻	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: очень светлый тон кожи, ладони, сложенные лодочкой, молитва, очень светлый тон кожи, руки
🤲🏼	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: светлый тон кожи, ладони, сложенные лодочкой, молитва, руки, светлый тон кожи
🤲🏽	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: средний тон кожи, ладони, сложенные лодочкой, молитва, руки, средний тон кожи
🤲🏾	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: темный тон кожи, ладони, сложенные лодочкой, молитва, руки, темный тон кожи
🤲🏿	вверх, вместе, ладони, ладони лодочкой, ладони лодочкой: очень темный тон кожи, ладони, сложенные лодочкой, молитва, очень темный тон кожи, руки
🤝	встреча, договорились, рукопожатие, согласие
🤝🏻	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: очень светлый тон кожи, согласие
🤝🏼	встреча, договорились, рукопожатие, рукопожатие: светлый тон кожи, светлый тон кожи, согласие
🤝🏽	встреча, договорились, рукопожатие, рукопожатие: средний тон кожи, согласие, средний тон кожи
🤝🏾	встреча, договорились, рукопожатие, рукопожатие: темный тон кожи, согласие, темный тон кожи
🤝🏿	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: очень темный тон кожи, согласие
🙏	молитва, пожалуйста, просьба, руки, сложенные руки, умолять
🙏🏻	молитва, очень светлый тон кожи, пожалуйста, просьба, руки, сложенные руки, сложенные руки: очень светлый тон кожи, умолять
🙏🏼	молитва, пожалуйста, просьба, руки, светлый тон кожи, сложенные руки, сложенные руки: светлый тон кожи, умолять
🙏🏽	молитва, пожалуйста, просьба, руки, сложенные руки, сложенные руки: средний тон кожи, средний тон кожи, умолять
🙏🏾	молитва, пожалуйста, просьба, руки, сложенные руки, сложенные руки: темный тон кожи, темный тон кожи, умолять
🙏🏿	молитва, очень темный тон кожи, пожалуйста, просьба, руки, сложенные руки, сложенные руки: очень темный тон кожи, умолять
✍️	бумага, письмо, пишущая рука, рука, ручка
✍🏻	бумага, очень светлый тон кожи, письмо, пишущая рука, пишущая рука: очень светлый тон кожи, рука, ручка
✍🏼	бумага, письмо, пишущая рука, пишущая рука: светлый тон кожи, рука, ручка, светлый тон кожи
✍🏽	бумага, письмо, пишущая рука, пишущая рука: средний тон кожи, рука, ручка, средний тон кожи
✍🏾	бумага, письмо, пишущая рука, пишущая рука: темный тон кожи, рука, ручка, темный тон кожи
✍🏿	бумага, очень темный тон кожи, письмо, пишущая рука, пишущая рука: очень темный тон кожи, рука, ручка
💅	кисть с лаком, лак для ногтей, маникюр, ногти, уход за руками
💅🏻	кисть с лаком, лак для ногтей, маникюр, маникюр: очень светлый тон кожи, ногти, очень светлый тон кожи, уход за руками
💅🏼	кисть с лаком, лак для ногтей, маникюр, маникюр: светлый тон кожи, ногти, светлый тон кожи, уход за руками
💅🏽	кисть с лаком, лак для ногтей, маникюр, маникюр: средний тон кожи, ногти, средний тон кожи, уход за руками
💅🏾	кисть с лаком, лак для ногтей, маникюр, маникюр: темный тон кожи, ногти, темный тон кожи, уход за руками
💅🏿	кисть с лаком, лак для ногтей, маникюр, маникюр: очень темный тон кожи, ногти, очень темный тон кожи, уход за руками
🤳	селфи, снимок, телефон
🤳🏻	очень светлый тон кожи, селфи, селфи: очень светлый тон кожи, снимок, телефон
🤳🏼	светлый тон кожи, селфи, селфи: светлый тон кожи, снимок, телефон
🤳🏽	селфи, селфи: средний тон кожи, снимок, средний тон кожи, телефон
🤳🏾	селфи, селфи: темный тон кожи, снимок, телефон, темный тон кожи
🤳🏿	очень темный тон кожи, селфи, селфи: очень темный тон кожи, снимок, телефон
💪	бицепс, мышцы
💪🏻	бицепс, бицепс: очень светлый тон кожи, мышцы, очень светлый тон кожи
💪🏼	бицепс, бицепс: светлый тон кожи, мышцы, светлый тон кожи
💪🏽	бицепс, бицепс: средний тон кожи, мышцы, средний тон кожи
💪🏾	бицепс, бицепс: темный тон кожи, мышцы, темный тон кожи
💪🏿	бицепс, бицепс: очень темный тон кожи, мышцы, очень темный тон кожи
🦾	инвалид, люди с ограниченными возможностями, механическая рука, ограниченные возможности, протез
🦿	инвалид, люди с ограниченными возможностями, механическая нога, ограниченные возможности, протез
🦵	бедро, нога, пинок
🦵🏻	бедро, нога, нога: очень светлый тон кожи, очень светлый тон кожи, пинок
🦵🏼	бедро, нога, нога: светлый тон кожи, пинок, светлый тон кожи
🦵🏽	бедро, нога, нога: средний тон кожи, пинок, средний тон кожи
🦵🏾	бедро, нога, нога: темный тон кожи, пинок, темный тон кожи
🦵🏿	бедро, нога, нога: очень темный тон кожи, очень темный тон кожи, пинок
🦶	лодыжка, нога, стопа, ступня, щиколотка
🦶🏻	лодыжка, нога, очень светлый тон кожи, стопа, ступня, щиколотка, щиколотка: очень светлый тон кожи
🦶🏼	лодыжка, нога, светлый тон кожи, стопа, ступня, щиколотка, щиколотка: светлый тон кожи
🦶🏽	лодыжка, нога, средний тон кожи, стопа, ступня, щиколотка, щиколотка: средний тон кожи
🦶🏾	лодыжка, нога, стопа, ступня, темный тон кожи, щиколотка, щиколотка: темный тон кожи
🦶🏿	лодыжка, нога, очень темный тон кожи, стопа, ступня, щиколотка, щиколотка: очень темный тон кожи
👂️	тело, ухо, человек
👂🏻	очень светлый тон кожи, тело, ухо, ухо: очень светлый тон кожи, человек
👂🏼	светлый тон кожи, тело, ухо, ухо: светлый тон кожи, человек
👂🏽	средний тон кожи, тело, ухо, ухо: средний тон кожи, человек
👂🏾	тело, темный тон кожи, ухо, ухо: темный тон кожи, человек
👂🏿	очень темный тон кожи, тело, ухо, ухо: очень темный тон кожи, человек
🦻	глухой, глухота, люди с ограниченными возможностями, ограниченные возможности, слабослышащий, слух, ухо со слуховым аппаратом
🦻🏻	глухой, глухота, люди с ограниченными возможностями, ограниченные возможности, очень светлый тон кожи, слабослышащий, слух, ухо со слуховым аппаратом, ухо со слуховым аппаратом: очень светлый тон кожи
🦻🏼	глухой, глухота, люди с ограниченными возможностями, ограниченные возможности, светлый тон кожи, слабослышащий, слух, ухо со слуховым аппаратом, ухо со слуховым аппаратом: светлый тон кожи
🦻🏽	глухой, глухота, люди с ограниченными возможностями, ограниченные возможности, слабослышащий, слух, средний тон кожи, ухо со слуховым аппаратом, ухо со слуховым аппаратом: средний тон кожи
🦻🏾	глухой, глухота, люди с ограниченными возможностями, ограниченные возможности, слабослышащий, слух, темный тон кожи, ухо со слуховым аппаратом, ухо со слуховым аппаратом: темный тон кожи
🦻🏿	глухой, глухота, люди с ограниченными возможностями, ограниченные возможности, очень темный тон кожи, слабослышащий, слух, ухо со слуховым аппаратом, ухо со слуховым аппаратом: очень темный тон кожи
👃	нос, тело, человек
👃🏻	нос, нос: очень светлый тон кожи, очень светлый тон кожи, тело, человек
👃🏼	нос, нос: светлый тон кожи, светлый тон кожи, тело, человек
👃🏽	нос, нос: средний тон кожи, средний тон кожи, тело, человек
👃🏾	нос, нос: темный тон кожи, тело, темный тон кожи, человек
👃🏿	нос, нос: очень темный тон кожи, очень темный тон кожи, тело, человек
🧠	интеллигентный, мозг, мозги, образованный, ум, умный
🫀	кардиология, орган, пульс, сердце, сердце человека, центр
🫁	вдох, выдох, дыхание, легкие, орган
🦷	дантист, зуб, зубной, зубы, стоматолог
🦴	косточка, кость, скелет
👀	глаза, два, тело, человек
👁️	глаз, зрачок, тело, человек
👅	розовый, рот, язык
👄	алые, губы, зубы, красные, рот
🫦	беспокойство, кусать губы, не в своей тарелке, нервный, переживать, страшно, флирт
👶	дитя, карапуз, маленький, младенец, ребенок
👶🏻	дитя, карапуз, маленький, младенец, младенец: очень светлый тон кожи, очень светлый тон кожи, ребенок
👶🏼	дитя, карапуз, маленький, младенец, младенец: светлый тон кожи, ребенок, светлый тон кожи
👶🏽	дитя, карапуз, маленький, младенец, младенец: средний тон кожи, ребенок, средний тон кожи
👶🏾	дитя, карапуз, маленький, младенец, младенец: темный тон кожи, ребенок, темный тон кожи
👶🏿	дитя, карапуз, маленький, младенец, младенец: очень темный тон кожи, очень темный тон кожи, ребенок
🧒	гендерно нейтральный, дитя, малыш, ребенок
🧒🏻	гендерно нейтральный, дитя, малыш, очень светлый тон кожи, ребенок, ребенок: очень светлый тон кожи
🧒🏼	гендерно нейтральный, дитя, малыш, ребенок, ребенок: светлый тон кожи, светлый тон кожи
🧒🏽	гендерно нейтральный, дитя, малыш, ребенок, ребенок: средний тон кожи, средний тон кожи
🧒🏾	гендерно нейтральный, дитя, малыш, ребенок, ребенок: темный тон кожи, темный тон кожи
🧒🏿	гендерно нейтральный, дитя, малыш, очень темный тон кожи, ребенок, ребенок: очень темный тон кожи
👦	дитя, маленький, малыш, мальчик, ребенок
👦🏻	дитя, маленький, малыш, мальчик, мальчик: очень светлый тон кожи, очень светлый тон кожи, ребенок
👦🏼	дитя, маленький, малыш, мальчик, мальчик: светлый тон кожи, ребенок, светлый тон кожи
👦🏽	дитя, маленький, малыш, мальчик, мальчик: средний тон кожи, ребенок, средний тон кожи
👦🏾	дитя, маленький, малыш, мальчик, мальчик: темный тон кожи, ребенок, темный тон кожи
👦🏿	дитя, маленький, малыш, мальчик, мальчик: очень темный тон кожи, очень темный тон кожи, ребенок
👧	девочка, дитя, маленькая, малышка, ребенок
👧🏻	девочка, девочка: очень светлый тон кожи, дитя, маленькая, малышка, очень светлый тон кожи, ребенок
👧🏼	девочка, девочка: светлый тон кожи, дитя, маленькая, малышка, ребенок, светлый тон кожи
👧🏽	девочка, девочка: средний тон кожи, дитя, маленькая, малышка, ребенок, средний тон кожи
👧🏾	девочка, девочка: темный тон кожи, дитя, маленькая, малышка, ребенок, темный тон кожи
👧🏿	девочка, девочка: очень темный тон кожи, дитя, маленькая, малышка, очень темный тон кожи, ребенок
🧑	взрослый, гендерно нейтральный, совершеннолетний
🧑🏻	взрослый, взрослый: очень светлый тон кожи, гендерно нейтральный, очень светлый тон кожи, совершеннолетний
🧑🏼	взрослый, взрослый: светлый тон кожи, гендерно нейтральный, светлый тон кожи, совершеннолетний
🧑🏽	взрослый, взрослый: средний тон кожи, гендерно нейтральный, совершеннолетний, средний тон кожи
🧑🏾	взрослый, взрослый: темный тон кожи, гендерно нейтральный, совершеннолетний, темный тон кожи
🧑🏿	взрослый, взрослый: очень темный тон кожи, гендерно нейтральный, очень темный тон кожи, совершеннолетний
👱	блондин, волосы, светлые, человек, человек со светлыми волосами
👱🏻	блондин, волосы, очень светлый тон кожи, светлые, человек, человек со светлыми волосами, человек со светлыми волосами: очень светлый тон кожи
👱🏼	блондин, волосы, светлые, светлый тон кожи, человек, человек со светлыми волосами, человек со светлыми волосами: светлый тон кожи
👱🏽	блондин, волосы, светлые, средний тон кожи, человек, человек со светлыми волосами, человек со светлыми волосами: средний тон кожи
👱🏾	блондин, волосы, светлые, темный тон кожи, человек, человек со светлыми волосами, человек со светлыми волосами: темный тон кожи
👱🏿	блондин, волосы, очень темный тон кожи, светлые, человек, человек со светлыми волосами, человек со светлыми волосами: очень темный тон кожи
🧑🏻‍❤‍💋‍🧑🏼	взрослый, любовь, очень светлый тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень светлый тон кожи светлый тон кожи, романтика, светлый тон кожи, чувства
🧑🏻‍❤‍💋‍🧑🏽	взрослый, любовь, очень светлый тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень светлый тон кожи средний тон кожи, романтика, средний тон кожи, чувства
🧑🏻‍❤‍💋‍🧑🏾	взрослый, любовь, очень светлый тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень светлый тон кожи темный тон кожи, романтика, темный тон кожи, чувства
🧑🏻‍❤‍💋‍🧑🏿	взрослый, любовь, очень светлый тон кожи, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень светлый тон кожи очень темный тон кожи, романтика, чувства
🧑🏼‍❤‍💋‍🧑🏻	взрослый, любовь, очень светлый тон кожи, пара, поцелуй, поцелуй: взрослый взрослый светлый тон кожи очень светлый тон кожи, романтика, светлый тон кожи, чувства
🧑🏼‍❤‍💋‍🧑🏽	взрослый, любовь, пара, поцелуй, поцелуй: взрослый взрослый светлый тон кожи средний тон кожи, романтика, светлый тон кожи, средний тон кожи, чувства
🧑🏼‍❤‍💋‍🧑🏾	взрослый, любовь, пара, поцелуй, поцелуй: взрослый взрослый светлый тон кожи темный тон кожи, романтика, светлый тон кожи, темный тон кожи, чувства
🧑🏼‍❤‍💋‍🧑🏿	взрослый, любовь, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый светлый тон кожи очень темный тон кожи, романтика, светлый тон кожи, чувства
🧑🏽‍❤‍💋‍🧑🏻	взрослый, любовь, очень светлый тон кожи, пара, поцелуй, поцелуй: взрослый взрослый средний тон кожи очень светлый тон кожи, романтика, средний тон кожи, чувства
🧑🏽‍❤‍💋‍🧑🏼	взрослый, любовь, пара, поцелуй, поцелуй: взрослый взрослый средний тон кожи светлый тон кожи, романтика, светлый тон кожи, средний тон кожи, чувства
🧑🏽‍❤‍💋‍🧑🏾	взрослый, любовь, пара, поцелуй, поцелуй: взрослый взрослый средний тон кожи темный тон кожи, романтика, средний тон кожи, темный тон кожи, чувства
🧑🏽‍❤‍💋‍🧑🏿	взрослый, любовь, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый средний тон кожи очень темный тон кожи, романтика, средний тон кожи, чувства
🧑🏾‍❤‍💋‍🧑🏻	взрослый, любовь, очень светлый тон кожи, пара, поцелуй, поцелуй: взрослый взрослый темный тон кожи очень светлый тон кожи, романтика, темный тон кожи, чувства
🧑🏾‍❤‍💋‍🧑🏼	взрослый, любовь, пара, поцелуй, поцелуй: взрослый взрослый темный тон кожи светлый тон кожи, романтика, светлый тон кожи, темный тон кожи, чувства
🧑🏾‍❤‍💋‍🧑🏽	взрослый, любовь, пара, поцелуй, поцелуй: взрослый взрослый темный тон кожи средний тон кожи, романтика, средний тон кожи, темный тон кожи, чувства
🧑🏾‍❤‍💋‍🧑🏿	взрослый, любовь, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый темный тон кожи очень темный тон кожи, романтика, темный тон кожи, чувства
🧑🏿‍❤‍💋‍🧑🏻	взрослый, любовь, очень светлый тон кожи, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень темный тон кожи очень светлый тон кожи, романтика, чувства
🧑🏿‍❤‍💋‍🧑🏼	взрослый, любовь, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень темный тон кожи светлый тон кожи, романтика, светлый тон кожи, чувства
🧑🏿‍❤‍💋‍🧑🏽	взрослый, любовь, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень темный тон кожи средний тон кожи, романтика, средний тон кожи, чувства
🧑🏿‍❤‍💋‍🧑🏾	взрослый, любовь, очень темный тон кожи, пара, поцелуй, поцелуй: взрослый взрослый очень темный тон кожи темный тон кожи, романтика, темный тон кожи, чувства
🧑🏻‍❤‍🧑🏼	взрослый, влюбленная пара, влюбленная пара: взрослый взрослый очень светлый тон кожи светлый тон кожи, любовь, люди, очень светлый тон кожи, пара, светлый тон кожи, сердце, чувства
🧑🏻‍❤‍🧑🏽	взрослый, влюбленная пара, влюбленная пара: взрослый взрослый очень светлый тон кожи средний тон кожи, любовь, люди, очень светлый тон кожи, пара, сердце, средний тон кожи, чувства
