😀	išsišiepti, išsišiepęs veidas, veidas
🙆🏻	1 ir 2 odos tipai, gerai, gestai, ranka, teigiamas gestas, teigiamas gestas: 1 ir 2 odos tipai
🙆🏼	3 odos tipas, gerai, gestai, ranka, teigiamas gestas, teigiamas gestas: 3 odos tipas
🙆🏽	4 odos tipas, gerai, gestai, ranka, teigiamas gestas, teigiamas gestas: 4 odos tipas
🙆🏾	5 odos tipas, gerai, gestai, ranka, teigiamas gestas, teigiamas gestas: 5 odos tipas
🙆🏿	6 odos tipas, gerai, gestai, ranka, teigiamas gestas, teigiamas gestas: 6 odos tipas
🙆‍♂	gerai, gestas, leidžiantis vyras, ranka, vyras
🙆🏻‍♂	1 ir 2 odos tipai, gerai, gestas, leidžiantis vyras, leidžiantis vyras: 1 ir 2 odos tipai, ranka, vyras
🙆🏼‍♂	3 odos tipas, gerai, gestas, leidžiantis vyras, leidžiantis vyras: 3 odos tipas, ranka, vyras
🙆🏽‍♂	4 odos tipas, gerai, gestas, leidžiantis vyras, leidžiantis vyras: 4 odos tipas, ranka, vyras
🙆🏾‍♂	5 odos tipas, gerai, gestas, leidžiantis vyras, leidžiantis vyras: 5 odos tipas, ranka, vyras
🙆🏿‍♂	6 odos tipas, gerai, gestas, leidžiantis vyras, leidžiantis vyras: 6 odos tipas, ranka, vyras
🙆‍♀	gerai, gestas, leidžianti moteris, moteris, ranka
🙆🏻‍♀	1 ir 2 odos tipai, gerai, gestas, leidžianti moteris, leidžianti moteris: 1 ir 2 odos tipai, moteris, ranka
🙆🏼‍♀	3 odos tipas, gerai, gestas, leidžianti moteris, leidžianti moteris: 3 odos tipas, moteris, ranka
🙆🏽‍♀	4 odos tipas, gerai, gestas, leidžianti moteris, leidžianti moteris: 4 odos tipas, moteris, ranka
🙆🏾‍♀	5 odos tipas, gerai, gestas, leidžianti moteris, leidžianti moteris: 5 odos tipas, moteris, ranka
🙆🏿‍♀	6 odos tipas, gerai, gestas, leidžianti moteris, leidžianti moteris: 6 odos tipas, moteris, ranka
💁	informacija, informacijos skyriaus darbuotojas, pagalba, ranka, įžūlus
💁🏻	1 ir 2 odos tipai, informacija, informacijos skyriaus darbuotojas, informacijos skyriaus darbuotojas: 1 ir 2 odos tipai, pagalba, ranka, įžūlus
💁🏼	3 odos tipas, informacija, informacijos skyriaus darbuotojas, informacijos skyriaus darbuotojas: 3 odos tipas, pagalba, ranka, įžūlus
💁🏽	4 odos tipas, informacija, informacijos skyriaus darbuotojas, informacijos skyriaus darbuotojas: 4 odos tipas, pagalba, ranka, įžūlus
💁🏾	5 odos tipas, informacija, informacijos skyriaus darbuotojas, informacijos skyriaus darbuotojas: 5 odos tipas, pagalba, ranka, įžūlus
💁🏿	6 odos tipas, informacija, informacijos skyriaus darbuotojas, informacijos skyriaus darbuotojas: 6 odos tipas, pagalba, ranka, įžūlus
💁‍♂	gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, vyras
💁🏻‍♂	1 ir 2 odos tipai, gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, lengvai ranką pakėlęs vyras: 1 ir 2 odos tipai, vyras
💁🏼‍♂	3 odos tipas, gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, lengvai ranką pakėlęs vyras: 3 odos tipas, vyras
💁🏽‍♂	4 odos tipas, gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, lengvai ranką pakėlęs vyras: 4 odos tipas, vyras
💁🏾‍♂	5 odos tipas, gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, lengvai ranką pakėlęs vyras: 5 odos tipas, vyras
💁🏿‍♂	6 odos tipas, gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, lengvai ranką pakėlęs vyras: 6 odos tipas, vyras
💁‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris
💁🏻‍♀	1 ir 2 odos tipai, gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: 1 ir 2 odos tipai
💁🏼‍♀	3 odos tipas, gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: 3 odos tipas
💁🏽‍♀	4 odos tipas, gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: 4 odos tipas
💁🏾‍♀	5 odos tipas, gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: 5 odos tipas
💁🏿‍♀	6 odos tipas, gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: 6 odos tipas
🙋	gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką
🙋🏻	1 ir 2 odos tipai, gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: 1 ir 2 odos tipai
🙋🏼	3 odos tipas, gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: 3 odos tipas
🙋🏽	4 odos tipas, gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: 4 odos tipas
🙋🏾	5 odos tipas, gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: 5 odos tipas
🙋🏿	6 odos tipas, gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: 6 odos tipas
🙋‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, vyras
🙋🏻‍♂	1 ir 2 odos tipai, gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: 1 ir 2 odos tipai, vyras
🙋🏼‍♂	3 odos tipas, gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: 3 odos tipas, vyras
🙋🏽‍♂	4 odos tipas, gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: 4 odos tipas, vyras
🙋🏾‍♂	5 odos tipas, gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: 5 odos tipas, vyras
🙋🏿‍♂	6 odos tipas, gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: 6 odos tipas, vyras
🙋‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris
🙋🏻‍♀	1 ir 2 odos tipai, gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: 1 ir 2 odos tipai
🙋🏼‍♀	3 odos tipas, gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: 3 odos tipas
🙋🏽‍♀	4 odos tipas, gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: 4 odos tipas
🙋🏾‍♀	5 odos tipas, gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: 5 odos tipas
🙋🏿‍♀	6 odos tipas, gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: 6 odos tipas
🙇	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus
🙇🏻	1 ir 2 odos tipai, atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: 1 ir 2 odos tipai
🙇🏼	3 odos tipas, atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: 3 odos tipas
🙇🏽	4 odos tipas, atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: 4 odos tipas
🙇🏾	5 odos tipas, atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: 5 odos tipas
🙇🏿	6 odos tipas, atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: 6 odos tipas
🙇‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkimas, paslauga, vyras
🙇🏻‍♂	1 ir 2 odos tipai, apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: 1 ir 2 odos tipai, nusilenkimas, paslauga, vyras
🙇🏼‍♂	3 odos tipas, apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: 3 odos tipas, nusilenkimas, paslauga, vyras
🙇🏽‍♂	4 odos tipas, apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: 4 odos tipas, nusilenkimas, paslauga, vyras
🙇🏾‍♂	5 odos tipas, apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: 5 odos tipas, nusilenkimas, paslauga, vyras
🙇🏿‍♂	6 odos tipas, apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: 6 odos tipas, nusilenkimas, paslauga, vyras
🙇‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkimas, paslauga
🙇🏻‍♀	1 ir 2 odos tipai, apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: 1 ir 2 odos tipai, nusilenkimas, paslauga
🙇🏼‍♀	3 odos tipas, apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: 3 odos tipas, nusilenkimas, paslauga
🙇🏽‍♀	4 odos tipas, apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: 4 odos tipas, nusilenkimas, paslauga
🙇🏾‍♀	5 odos tipas, apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: 5 odos tipas, nusilenkimas, paslauga
🙇🏿‍♀	6 odos tipas, apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: 6 odos tipas, nusilenkimas, paslauga
🤦	beviltiškumas, neįtikėtinumas, o varge, susierzinimas, veidas
🤦🏻	1 ir 2 odos tipai, beviltiškumas, neįtikėtinumas, o varge, o varge: 1 ir 2 odos tipai, susierzinimas, veidas
🤦🏼	3 odos tipas, beviltiškumas, neįtikėtinumas, o varge, o varge: 3 odos tipas, susierzinimas, veidas
🤦🏽	4 odos tipas, beviltiškumas, neįtikėtinumas, o varge, o varge: 4 odos tipas, susierzinimas, veidas
🤦🏾	5 odos tipas, beviltiškumas, neįtikėtinumas, o varge, o varge: 5 odos tipas, susierzinimas, veidas
🤦🏿	6 odos tipas, beviltiškumas, neįtikėtinumas, o varge, o varge: 6 odos tipas, susierzinimas, veidas
🤦‍♂	netikėjimas, susierzinimas, susierzinęs vyras, vyras
🤦🏻‍♂	1 ir 2 odos tipai, netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: 1 ir 2 odos tipai, vyras
🤦🏼‍♂	3 odos tipas, netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: 3 odos tipas, vyras
🤦🏽‍♂	4 odos tipas, netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: 4 odos tipas, vyras
🤦🏾‍♂	5 odos tipas, netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: 5 odos tipas, vyras
🤦🏿‍♂	6 odos tipas, netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: 6 odos tipas, vyras
🤦‍♀	moteris, netikėjimas, susierzinimas, susierzinusi moteris
🤦🏻‍♀	1 ir 2 odos tipai, moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: 1 ir 2 odos tipai
🤦🏼‍♀	3 odos tipas, moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: 3 odos tipas
🤦🏽‍♀	4 odos tipas, moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: 4 odos tipas
🤦🏾‍♀	5 odos tipas, moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: 5 odos tipas
🤦🏿‍♀	6 odos tipas, moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: 6 odos tipas
🤷	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, nežinojimas
🤷🏻	1 ir 2 odos tipai, abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: 1 ir 2 odos tipai, nežinojimas
🤷🏼	3 odos tipas, abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: 3 odos tipas, nežinojimas
🤷🏽	4 odos tipas, abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: 4 odos tipas, nežinojimas
🤷🏾	5 odos tipas, abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: 5 odos tipas, nežinojimas
🤷🏿	6 odos tipas, abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: 6 odos tipas, nežinojimas
🤷‍♂	abejingumas, abejojantis vyras, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷🏻‍♂	1 ir 2 odos tipai, abejingumas, abejojantis vyras, abejojantis vyras: 1 ir 2 odos tipai, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷🏼‍♂	3 odos tipas, abejingumas, abejojantis vyras, abejojantis vyras: 3 odos tipas, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷🏽‍♂	4 odos tipas, abejingumas, abejojantis vyras, abejojantis vyras: 4 odos tipas, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷🏾‍♂	5 odos tipas, abejingumas, abejojantis vyras, abejojantis vyras: 5 odos tipas, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷🏿‍♂	6 odos tipas, abejingumas, abejojantis vyras, abejojantis vyras: 6 odos tipas, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷‍♀	abejingumas, abejojanti moteris, abejonė, moteris, nežinojimas, trūkčioti pečiais
🤷🏻‍♀	1 ir 2 odos tipai, abejingumas, abejojanti moteris, abejojanti moteris: 1 ir 2 odos tipai, abejonė, moteris, nežinojimas, trūkčioti pečiais
🤷🏼‍♀	3 odos tipas, abejingumas, abejojanti moteris, abejojanti moteris: 3 odos tipas, abejonė, moteris, nežinojimas, trūkčioti pečiais
🤷🏽‍♀	4 odos tipas, abejingumas, abejojanti moteris, abejojanti moteris: 4 odos tipas, abejonė, moteris, nežinojimas, trūkčioti pečiais
🤷🏾‍♀	5 odos tipas, abejingumas, abejojanti moteris, abejojanti moteris: 5 odos tipas, abejonė, moteris, nežinojimas, trūkčioti pečiais
🤷🏿‍♀	6 odos tipas, abejingumas, abejojanti moteris, abejojanti moteris: 6 odos tipas, abejonė, moteris, nežinojimas, trūkčioti pečiais
👨‍⚕	gydytojas, medikas, slaugytojas, sveikata, terapeutas, vyras
👨🏻‍⚕	1 ir 2 odos tipai, gydytojas, medikas, medikas: 1 ir 2 odos tipai, slaugytojas, sveikata, terapeutas, vyras
👨🏼‍⚕	3 odos tipas, gydytojas, medikas, medikas: 3 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👨🏽‍⚕	4 odos tipas, gydytojas, medikas, medikas: 4 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👨🏾‍⚕	5 odos tipas, gydytojas, medikas, medikas: 5 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👨🏿‍⚕	6 odos tipas, gydytojas, medikas, medikas: 6 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👩‍⚕	gydytoja, medikė, moteris, seselė, sveikata, terapeutė
👩🏻‍⚕	1 ir 2 odos tipai, gydytoja, medikė, medikė: 1 ir 2 odos tipai, moteris, seselė, sveikata, terapeutė
👩🏼‍⚕	3 odos tipas, gydytoja, medikė, medikė: 3 odos tipas, moteris, seselė, sveikata, terapeutė
👩🏽‍⚕	4 odos tipas, gydytoja, medikė, medikė: 4 odos tipas, moteris, seselė, sveikata, terapeutė
👩🏾‍⚕	5 odos tipas, gydytoja, medikė, medikė: 5 odos tipas, moteris, seselė, sveikata, terapeutė
👩🏿‍⚕	6 odos tipas, gydytoja, medikė, medikė: 6 odos tipas, moteris, seselė, sveikata, terapeutė
👨‍🎓	absolventas, studentas, vyras
👨🏻‍🎓	1 ir 2 odos tipai, absolventas, studentas, studentas: 1 ir 2 odos tipai, vyras
👨🏼‍🎓	3 odos tipas, absolventas, studentas, studentas: 3 odos tipas, vyras
👨🏽‍🎓	4 odos tipas, absolventas, studentas, studentas: 4 odos tipas, vyras
👨🏾‍🎓	5 odos tipas, absolventas, studentas, studentas: 5 odos tipas, vyras
👨🏿‍🎓	6 odos tipas, absolventas, studentas, studentas: 6 odos tipas, vyras
👩‍🎓	absolventė, moteris, studentė
👩🏻‍🎓	1 ir 2 odos tipai, absolventė, moteris, studentė, studentė: 1 ir 2 odos tipai
👩🏼‍🎓	3 odos tipas, absolventė, moteris, studentė, studentė: 3 odos tipas
👩🏽‍🎓	4 odos tipas, absolventė, moteris, studentė, studentė: 4 odos tipas
👩🏾‍🎓	5 odos tipas, absolventė, moteris, studentė, studentė: 5 odos tipas
👩🏿‍🎓	6 odos tipas, absolventė, moteris, studentė, studentė: 6 odos tipas
👨‍🏫	dėstytojas, mokytojas, profesorius, vyras
👨🏻‍🏫	1 ir 2 odos tipai, dėstytojas, mokytojas, mokytojas: 1 ir 2 odos tipai, profesorius, vyras
👨🏼‍🏫	3 odos tipas, dėstytojas, mokytojas, mokytojas: 3 odos tipas, profesorius, vyras
👨🏽‍🏫	4 odos tipas, dėstytojas, mokytojas, mokytojas: 4 odos tipas, profesorius, vyras
👨🏾‍🏫	5 odos tipas, dėstytojas, mokytojas, mokytojas: 5 odos tipas, profesorius, vyras
👨🏿‍🏫	6 odos tipas, dėstytojas, mokytojas, mokytojas: 6 odos tipas, profesorius, vyras
👩‍🏫	dėstytoja, mokytoja, moteris, profesorė
👩🏻‍🏫	1 ir 2 odos tipai, dėstytoja, mokytoja, mokytoja: 1 ir 2 odos tipai, moteris, profesorė
👩🏼‍🏫	3 odos tipas, dėstytoja, mokytoja, mokytoja: 3 odos tipas, moteris, profesorė
👩🏽‍🏫	4 odos tipas, dėstytoja, mokytoja, mokytoja: 4 odos tipas, moteris, profesorė
👩🏾‍🏫	5 odos tipas, dėstytoja, mokytoja, mokytoja: 5 odos tipas, moteris, profesorė
👩🏿‍🏫	6 odos tipas, dėstytoja, mokytoja, mokytoja: 6 odos tipas, moteris, profesorė
👨‍⚖	svarstyklės, teisingumas, teisėjas, vyras
👨🏻‍⚖	1 ir 2 odos tipai, svarstyklės, teisingumas, teisėjas, teisėjas: 1 ir 2 odos tipai, vyras
👨🏼‍⚖	3 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 3 odos tipas, vyras
👨🏽‍⚖	4 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 4 odos tipas, vyras
👨🏾‍⚖	5 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 5 odos tipas, vyras
👨🏿‍⚖	6 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 6 odos tipas, vyras
👩‍⚖	moteris, svarstyklės, teisingumas, teisėja
👩🏻‍⚖	1 ir 2 odos tipai, moteris, svarstyklės, teisingumas, teisėja, teisėja: 1 ir 2 odos tipai
👩🏼‍⚖	3 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 3 odos tipas
👩🏽‍⚖	4 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 4 odos tipas
👩🏾‍⚖	5 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 5 odos tipas
👩🏿‍⚖	6 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 6 odos tipas
👨‍🌾	darbininkas, sodininkas, vyras, ūkininkas
👨🏻‍🌾	1 ir 2 odos tipai, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 1 ir 2 odos tipai
👨🏼‍🌾	3 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 3 odos tipas
👨🏽‍🌾	4 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 4 odos tipas
👨🏾‍🌾	5 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 5 odos tipas
👨🏿‍🌾	6 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 6 odos tipas
👩‍🌾	darbininkė, moteris, sodininkė, ūkininkė
👩🏻‍🌾	1 ir 2 odos tipai, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 1 ir 2 odos tipai
👩🏼‍🌾	3 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 3 odos tipas
👩🏽‍🌾	4 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 4 odos tipas
👩🏾‍🌾	5 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 5 odos tipas
👩🏿‍🌾	6 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 6 odos tipas
👨‍🍳	virėjas, vyras, šefas
👨🏻‍🍳	1 ir 2 odos tipai, virėjas, virėjas: 1 ir 2 odos tipai, vyras, šefas
👨🏼‍🍳	3 odos tipas, virėjas, virėjas: 3 odos tipas, vyras, šefas
👨🏽‍🍳	4 odos tipas, virėjas, virėjas: 4 odos tipas, vyras, šefas
👨🏾‍🍳	5 odos tipas, virėjas, virėjas: 5 odos tipas, vyras, šefas
👨🏿‍🍳	6 odos tipas, virėjas, virėjas: 6 odos tipas, vyras, šefas
👩‍🍳	moteris, virėja, šefė
👩🏻‍🍳	1 ir 2 odos tipai, moteris, virėja, virėja: 1 ir 2 odos tipai, šefė
👩🏼‍🍳	3 odos tipas, moteris, virėja, virėja: 3 odos tipas, šefė
👩🏽‍🍳	4 odos tipas, moteris, virėja, virėja: 4 odos tipas, šefė
👩🏾‍🍳	5 odos tipas, moteris, virėja, virėja: 5 odos tipas, šefė
👩🏿‍🍳	6 odos tipas, moteris, virėja, virėja: 6 odos tipas, šefė
👨‍🔧	elektrikas, mechanikas, prekybininkas, santechnikas, vyras
👨🏻‍🔧	1 ir 2 odos tipai, elektrikas, mechanikas, mechanikas: 1 ir 2 odos tipai, prekybininkas, santechnikas, vyras
👨🏼‍🔧	3 odos tipas, elektrikas, mechanikas, mechanikas: 3 odos tipas, prekybininkas, santechnikas, vyras
👨🏽‍🔧	4 odos tipas, elektrikas, mechanikas, mechanikas: 4 odos tipas, prekybininkas, santechnikas, vyras
👨🏾‍🔧	5 odos tipas, elektrikas, mechanikas, mechanikas: 5 odos tipas, prekybininkas, santechnikas, vyras
👨🏿‍🔧	6 odos tipas, elektrikas, mechanikas, mechanikas: 6 odos tipas, prekybininkas, santechnikas, vyras
👩‍🔧	elektrikė, mechanikė, moteris, prekybininkė, santechnikė
👩🏻‍🔧	1 ir 2 odos tipai, elektrikė, mechanikė, mechanikė: 1 ir 2 odos tipai, moteris, prekybininkė, santechnikė
👩🏼‍🔧	3 odos tipas, elektrikė, mechanikė, mechanikė: 3 odos tipas, moteris, prekybininkė, santechnikė
👩🏽‍🔧	4 odos tipas, elektrikė, mechanikė, mechanikė: 4 odos tipas, moteris, prekybininkė, santechnikė
👩🏾‍🔧	5 odos tipas, elektrikė, mechanikė, mechanikė: 5 odos tipas, moteris, prekybininkė, santechnikė
👩🏿‍🔧	6 odos tipas, elektrikė, mechanikė, mechanikė: 6 odos tipas, moteris, prekybininkė, santechnikė
👨‍🏭	darbuotojas, fabrikas, fabriko darbininkas, gamyba, susirinkimas, vyras
👨🏻‍🏭	1 ir 2 odos tipai, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 1 ir 2 odos tipai, gamyba, susirinkimas, vyras
👨🏼‍🏭	3 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 3 odos tipas, gamyba, susirinkimas, vyras
👨🏽‍🏭	4 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 4 odos tipas, gamyba, susirinkimas, vyras
👨🏾‍🏭	5 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 5 odos tipas, gamyba, susirinkimas, vyras
👨🏿‍🏭	6 odos tipas, darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: 6 odos tipas, gamyba, susirinkimas, vyras
👩‍🏭	darbuotoja, fabrikas, fabriko darbininkė, gamyba, moteris, susirinkimas
👩🏻‍🏭	1 ir 2 odos tipai, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 1 ir 2 odos tipai, gamyba, moteris, susirinkimas
👩🏼‍🏭	3 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 3 odos tipas, gamyba, moteris, susirinkimas
👩🏽‍🏭	4 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 4 odos tipas, gamyba, moteris, susirinkimas
👩🏾‍🏭	5 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 5 odos tipas, gamyba, moteris, susirinkimas
👩🏿‍🏭	6 odos tipas, darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: 6 odos tipas, gamyba, moteris, susirinkimas
👨‍💼	architektas, biuras, biuro darbuotojas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏻‍💼	1 ir 2 odos tipai, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 1 ir 2 odos tipai, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏼‍💼	3 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 3 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏽‍💼	4 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 4 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏾‍💼	5 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 5 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏿‍💼	6 odos tipas, architektas, biuras, biuro darbuotojas, biuro darbuotojas: 6 odos tipas, darbas įstaigoje, vadybininkas, verslas, vyras
👩‍💼	architektė, biuro darbuotoja, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏻‍💼	1 ir 2 odos tipai, architektė, biuro darbuotoja, biuro darbuotoja: 1 ir 2 odos tipai, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏼‍💼	3 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 3 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏽‍💼	4 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 4 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏾‍💼	5 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 5 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏿‍💼	6 odos tipas, architektė, biuro darbuotoja, biuro darbuotoja: 6 odos tipas, darbas įstaigoje, moteris, vadybininkė, verslas
👨‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, vyras
👨🏻‍🔬	1 ir 2 odos tipai, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 1 ir 2 odos tipai, vyras
👨🏼‍🔬	3 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 3 odos tipas, vyras
👨🏽‍🔬	4 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 4 odos tipas, vyras
👨🏾‍🔬	5 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 5 odos tipas, vyras
👨🏿‍🔬	6 odos tipas, biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: 6 odos tipas, vyras
