🏻	peau claire
🈺	idéogramme, japonais, ouvert, symbole japonais signifiant « ouvert », 営
🈵	complet, idéogramme, japonais, symbole japonais signifiant « complet », 満
🔴	cercle, géométrie, rond, rouge, sphère
🔵	rond bleu
🔶	grand losange, géométrie, orange
🔷	bleu, grand losange, géométrie
🔸	géométrie, orange, petit losange
🔹	bleu, géométrie, petit losange
🔺	géométrie, rouge, triangle qui pointe vers le haut, triangle rouge qui pointe vers le haut
🔻	géométrie, rouge, triangle qui pointe vers le bas, triangle rouge qui pointe vers le bas
🔲	bouton, bouton représentant un carré noir, carré noir, géométrie
🔳	bouton, bouton représentant un carré blanc, carré blanc, géométrie
©️	copyright
‼️	double, point d’exclamation, ponctuation
⁉️	point d’exclamation, point d’interrogation, ponctuation, question
™️	marque de commerce, marque déposée, md
ℹ️	i, informations
↔️	droite gauche, flèche, flèche pointant à gauche et à droite, gauche droite, à droite et à gauche, à gauche et à droite
↕️	bas haut, en bas et en haut, en haut et en bas, flèche, flèche pointant vers le haut et vers le bas, haut bas
↖️	direction, en haut à gauche, flèche, flèche pointant vers le haut à gauche, nord-ouest, point intercardinal
↗️	direction, en haut à droite, flèche, flèche pointant vers le haut à droite, nord-est, point intercardinal
↘️	direction, en bas à droite, flèche pointant vers le bas à droite, lèche, point intercardinal, sud-est
↙️	direction, en bas à gauche, flèche, flèche pointant vers le bas à gauche, point intercardinal, sud-ouest
↩️	courbe vers la gauche, flèche, flèche courbe vers la gauche
↪️	courbe vers la droite, flèche, flèche courbe vers la droite
⏲️	heure, minuteur
⏳️	en cours, minuteur, sable, sablier
⏸️	barres, double, pause, vertical
⏹️	bouton, carré, stop
⏺️	bouton, cercle, enregistrement
◻️	carré blanc de taille moyenne, forme, géométrie
◼️	carré noir de taille moyenne, forme, géométrie
◽️	carré blanc de taille intermédiaire, forme, géométrie
◾️	carré noir de taille intermédiaire, forme, géométrie
☂️	parapluie, pluie, vêtement
☃️	bonhomme de neige, bonhomme de neige avec flocons, flocons, froid, neige
☔️	gouttes, parapluie, parapluie avec gouttes de pluie, pluie
☕️	boisson chaude, café, thé
☘️	plante, trois feuilles, trèfle, trèfle à trois feuilles
☝️	index pointant vers le haut
☣️	biologique, danger
☦️	chrétien, croix, orthodoxe, réligion
☪️	croissant, islam, musulman, religion, étoile, étoile et croissant de lune
☺️	visage souriant
♈️	Bélier zodiaque, bélier, zodiaque
♉️	Taureau, zodiaque
♊️	Gémeaux, zodiaque
♋️	Cancer, zodiaque
♌️	Lion, zodiaque
♍️	Vierge, zodiaque
♎️	Balance, zodiaque
♏️	Scorpion, Scorpion zodiaque, zodiaque
♐️	Sagittaire, zodiaque
♑️	Capricorne, zodiaque
♒️	Verseau, zodiaque
♓️	Poissons, zodiaque
♟️	duper, pion, sacrifiable, échec
♣️	carte, couleur, jeu, trèfle
♥️	carte, couleur, cœur, jeu
♨️	source, sources thermales, thermale
♻️	recyclage, symbole de recyclage
♿️	accès handicapés, symbole de fauteuil roulant
⚒️	marteau, marteau et pic, pic
⚕️	symbole la médecine
⚖️	balance, balance à poids, zodiaque
⚙️	engrenage, outil
⚠️	avertissement
⚡️	danger, haute tension, électricité
⚪️	rond blanc
⚫️	rond noir
⚽️	ballon, ballon de soccer, foot, football, soccer
⚾️	balle, baseball
⛄️	bonhomme de neige, froid, neige, sans
⛅️	nuage, nuageux, soleil, soleil derrière un nuage
⛈️	nuage, nuage avec éclair et pluie, pluie, éclair
⛏️	mine, outil, pic
⛑️	casque, casque avec une croix blanche, chapeau, croix, secours, visage
⛩️	sanctuaire, shinto
⛱️	météo, parapluie, parasol, pluie, soleil
⛳️	drapeau, golf, trou
⛴️	bateau, passager, traversier
⛵️	bateau, mer, voile, voilier, yacht
⛷️	ski, skier, skieur, sport
⛸️	glace, patin
⛹️	ballon, personne qui fait rebondir un ballon, rebond, rebondir
⛽️	carburant, diesel, essence, pompe, station
✈️	avion
✉️	courriel, courrier, enveloppe, lettre
✌️	V de la victoire, ciseaux, victoire
✍️	main, écrire
✒️	plume noire, stylo
✔️	coche, coche noire, marque
✖️	annuler, fois, multiplication, multiplier, signe de multiplication, x
✳️	astérique, astérique à huit branches, huit branches
✴️	huit branches, étoile, étoile à huit branches
❄️	flocon, flocon de neige, froid, neige
❣️	cœur, exclamation, point
❤️	cœur, rouge
➡️	direction, est, flèche, flèche pointant vers la droite, point cardinal, à droite
⤴️	courbe vers le haut, flèche, flèche courbe vers le haut
⤵️	courbe vers le bas, flèche, flèche courbe vers le bas
⬅️	direction, flèche, flèche pointant vers la gauche, ouest, point cardinal, à gauche
⬆️	direction, en haut, flèche, flèche pointant vers le haut, nord, point cardinal
⬇️	direction, en bas, flèche, flèche pointant vers le bas, point cardinal, sud
⭐️	étoile, étoile blanche moyenne
⭕️	cercle, grand cercle épais
〽️	début de la musique, japonais, marque, partition, symbole, symbole japonais indiquant le début de la musique
㊗️	félicitations, idéogramme, japonais, symbole japonais signifiant « félicitations », 祝
㊙️	idéogramme, japonais, secret, symbole japonais signifiant « secret », 秘
🀄️	dragon, mahjong, rouge
🅰️	a, groupe sanguin
🅱️	ab, groupe sanguin
🅾️	groupe sanguin, o
🅿️	icône Stationnement, parking, stationnement
🈂️	japonais, katakana, payant, service, symbole japonais signifiant « service » ou « service payant », サ
🌎️	amérique, globe, globe qui montre l’Amérique, monde
🌕️	lune, pleine
🌜️	dernier quartier, dernier quartier de lune avec visage, lune, visage
🌤️	nuage, petit nuage, soleil, soleil derrière un petit nuage
🌥️	gros nuage, nuage, soleil, soleil derrière un gros nuage
🌦️	nuage, nuage de pluie, soleil, soleil derrière un nuage de pluie
🌧️	nuage, nuage de pluie, pluie
🌨️	flocons, neige, nuage, nuage avec de la neige
🌩️	nuage, nuage avec un éclair, éclair
🌪️	nuage, tornade, tourbillon
🌫️	brouillard, nuage
🌬️	météo, souffle, vent, visage, visage qui souffle du vent
🍽️	assiette, couteau, couverts, fourchette
🎓️	chapeau, chapeau de diplômé, diplômé, mortier, remise de diplômes, vêtements
🎖️	décoration, militaire, médaille
🎗️	commémoratif, ruban, ruban commémoratif, souvenir
🎟️	billet, entrée, spectacle
🎧️	casque d’écoute, écouteur
🎭️	art, arts du spectacle, masque, spectacle, théâtre
🏂️	neige, planche de neige, planchiste, ski
🏄️	personne, personne qui fait du surf, surf
🏊️	nager, natation, personne qui nage
🏋️	haltère, haltérophilie, lever, levée, poids
🏎️	course, voiture
🏔️	enneigée, montagne, neige
🏖️	parasol, plage, plage et parasol
🏗️	bâtiment, construction
🏙️	bâtiment, paysage urbain, ville
🏚️	abandonnée, maison, ruine
🏛️	classique, monument
🏝️	déserte, île
🏞️	national, parc
🐈️	animal, chat, compagnie, domestique
🐕️	animal, chien, compagnie, domestique
🐦️	oiseau
🐿️	tamia
👆️	dos de la main avec index pointant vers le haut, haut, index, main
👇️	bas, dos de la main avec index pointant vers le bas, index, main
👈️	dos de la main avec index pointant vers la gauche, gauche, index, main
👉️	dos de la main avec index pointant vers la droite, droite, index, main
👍️	OK, génial, oui, pouce vers le haut, super
👎️	non, nul, négatif, pouce vers le bas
👽️	alien, créature, extraterrestre, fantastique, ovni, visage
💣️	bande dessinée, bombe
💳️	argent, carte, carte de crédit, crédit
💿️	CD, disque, ordinateur
📋️	fournitures, presse-papiers
📟️	pager, téléavertisseur
📪️	boîte aux lettres, boîte aux lettres fermée, boîte aux lettres fermée avec drapeau baissé, courrier, drapeau baissé
📫️	boîte aux lettres, boîte aux lettres fermée, boîte aux lettres fermée avec drapeau levé, courrier, drapeau levé
📬️	boîte aux lettres, boîte aux lettres ouverte, boîte aux lettres ouverte avec drapeau levé, courrier, drapeau levé
📭️	boîte aux lettres, boîte aux lettres ouverte, boîte aux lettres ouverte avec drapeau baissé, courrier, drapeau baissé
📺️	TV, télé, téléviseur, télévision, vidéo
📽️	cinéma, film, projecteur, vidéo
🔈️	son bas, volume bas, volume faible
🔒️	cadenas, fermé, verrouiller, verrouillé
🔓️	cadenas, déverrouiller, déverrouillé, ouvert
🕛️	0 h, 12 h, midi, minuit
🕰️	horloge, pendule de cheminée
🕴️	affaires, complet, homme, lévitation
🕷️	araignée
🕸️	araignée, toile
🖇️	fournitures, trombones accrochés
🖋️	stylo, stylo-plume
🖍️	crayon de cire, crayon pastel
🖐️	doigts écartés, main, main aux doigts écartés
🖲️	boule de commande
🗄️	classeur, dossier
🗑️	corbeille
🗜️	serre-joint
🗣️	parler, parole, silhouette, visage
🗨️	bande dessinée, bulle, bulle de parole à gauche, dialogue, parole, à gauche
🗯️	bande dessinée, bulle, bulle de colère à droite, dialogue, parole, à droite
🗺️	carte, monde
😐️	visage neutre
🚍️	autobus, bus, de face, à l’arrivée
🚔️	de face, police, voiture
🚘️	automobile, char, de face, voiture
🚭️	fumer, interdiction, interdit, non fumeur
🚲️	bicyclette, vélo
🚹️	sanitaires, toilettes, toilettes pour hommes
🚺️	sanitaires, toilettes, toilettes pour femmes
🚼️	symbole bébé
🛋️	canapé, divan, lampe, sofa, sofa et lampe
🛍️	hôtel, magasinage, sac, sacs de magasinage, shopping
🛎️	cloche, comptoir, hôtel
🛠️	clé à molette, marteau
🛢️	baril, pétrole
🛣️	autoroute, route, voie publique
🛤️	chemin de fer, train, voie ferrée
🛥️	bateau, moteur
🛩️	avion, petit
