😀	Gesiicht, Grinsen, Grinsgesiicht
👩🏻‍❤‍💋‍👨🏽	Fra, Koppel, Kuss, Kuss: Fra, Mann, hell Hautfaarf, mëttel Hautfaarf, Mann, hell Hautfaarf, mëttel Hautfaarf
👩🏻‍❤‍💋‍👨🏾	Fra, Koppel, Kuss, Kuss: Fra, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏻‍❤‍💋‍👨🏿	Fra, Koppel, Kuss, Kuss: Fra, Mann, hell Hautfaarf, däischter Hautfaarf, Mann, däischter Hautfaarf, hell Hautfaarf
👩🏼‍❤‍💋‍👨🏻	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttelhell Hautfaarf, hell Hautfaarf, Mann, hell Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👨🏼	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttelhell Hautfaarf, Mann, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👨🏽	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttelhell Hautfaarf, mëttel Hautfaarf, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👨🏾	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👨🏿	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttelhell Hautfaarf, däischter Hautfaarf, Mann, däischter Hautfaarf, mëttelhell Hautfaarf
👩🏽‍❤‍💋‍👨🏻	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttel Hautfaarf, hell Hautfaarf, Mann, hell Hautfaarf, mëttel Hautfaarf
👩🏽‍❤‍💋‍👨🏼	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf
👩🏽‍❤‍💋‍👨🏽	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttel Hautfaarf, Mann, mëttel Hautfaarf
👩🏽‍❤‍💋‍👨🏾	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏽‍❤‍💋‍👨🏿	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëttel Hautfaarf, däischter Hautfaarf, Mann, däischter Hautfaarf, mëttel Hautfaarf
👩🏾‍❤‍💋‍👨🏻	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëtteldäischter Hautfaarf, hell Hautfaarf, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏾‍❤‍💋‍👨🏼	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏾‍❤‍💋‍👨🏽	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëtteldäischter Hautfaarf, mëttel Hautfaarf, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏾‍❤‍💋‍👨🏾	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëtteldäischter Hautfaarf, Mann, mëtteldäischter Hautfaarf
👩🏾‍❤‍💋‍👨🏿	Fra, Koppel, Kuss, Kuss: Fra, Mann, mëtteldäischter Hautfaarf, däischter Hautfaarf, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏿‍❤‍💋‍👨🏻	Fra, Koppel, Kuss, Kuss: Fra, Mann, däischter Hautfaarf, hell Hautfaarf, Mann, däischter Hautfaarf, hell Hautfaarf
👩🏿‍❤‍💋‍👨🏼	Fra, Koppel, Kuss, Kuss: Fra, Mann, däischter Hautfaarf, mëttelhell Hautfaarf, Mann, däischter Hautfaarf, mëttelhell Hautfaarf
👩🏿‍❤‍💋‍👨🏽	Fra, Koppel, Kuss, Kuss: Fra, Mann, däischter Hautfaarf, mëttel Hautfaarf, Mann, däischter Hautfaarf, mëttel Hautfaarf
👩🏿‍❤‍💋‍👨🏾	Fra, Koppel, Kuss, Kuss: Fra, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏿‍❤‍💋‍👨🏿	Fra, Koppel, Kuss, Kuss: Fra, Mann, däischter Hautfaarf, Mann, däischter Hautfaarf
👩🏻‍❤‍💋‍👩🏻	Fra, Koppel, Kuss, Kuss: Fra, Fra, hell Hautfaarf, hell Hautfaarf
👩🏻‍❤‍💋‍👩🏼	Fra, Koppel, Kuss, Kuss: Fra, Fra, hell Hautfaarf, mëttelhell Hautfaarf, hell Hautfaarf, mëttelhell Hautfaarf
👩🏻‍❤‍💋‍👩🏽	Fra, Koppel, Kuss, Kuss: Fra, Fra, hell Hautfaarf, mëttel Hautfaarf, hell Hautfaarf, mëttel Hautfaarf
👩🏻‍❤‍💋‍👩🏾	Fra, Koppel, Kuss, Kuss: Fra, Fra, hell Hautfaarf, mëtteldäischter Hautfaarf, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏻‍❤‍💋‍👩🏿	Fra, Koppel, Kuss, Kuss: Fra, Fra, hell Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, hell Hautfaarf
👩🏼‍❤‍💋‍👩🏻	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttelhell Hautfaarf, hell Hautfaarf, hell Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👩🏼	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttelhell Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👩🏽	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttelhell Hautfaarf, mëttel Hautfaarf, mëttel Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👩🏾	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏼‍❤‍💋‍👩🏿	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttelhell Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, mëttelhell Hautfaarf
👩🏽‍❤‍💋‍👩🏻	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttel Hautfaarf, hell Hautfaarf, hell Hautfaarf, mëttel Hautfaarf
👩🏽‍❤‍💋‍👩🏼	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttel Hautfaarf, mëttelhell Hautfaarf, mëttel Hautfaarf, mëttelhell Hautfaarf
👩🏽‍❤‍💋‍👩🏽	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttel Hautfaarf, mëttel Hautfaarf
👩🏽‍❤‍💋‍👩🏾	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttel Hautfaarf, mëtteldäischter Hautfaarf, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏽‍❤‍💋‍👩🏿	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëttel Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, mëttel Hautfaarf
👩🏾‍❤‍💋‍👩🏻	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëtteldäischter Hautfaarf, hell Hautfaarf, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏾‍❤‍💋‍👩🏼	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏾‍❤‍💋‍👩🏽	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëtteldäischter Hautfaarf, mëttel Hautfaarf, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏾‍❤‍💋‍👩🏾	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏾‍❤‍💋‍👩🏿	Fra, Koppel, Kuss, Kuss: Fra, Fra, mëtteldäischter Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏿‍❤‍💋‍👩🏻	Fra, Koppel, Kuss, Kuss: Fra, Fra, däischter Hautfaarf, hell Hautfaarf, däischter Hautfaarf, hell Hautfaarf
👩🏿‍❤‍💋‍👩🏼	Fra, Koppel, Kuss, Kuss: Fra, Fra, däischter Hautfaarf, mëttelhell Hautfaarf, däischter Hautfaarf, mëttelhell Hautfaarf
👩🏿‍❤‍💋‍👩🏽	Fra, Koppel, Kuss, Kuss: Fra, Fra, däischter Hautfaarf, mëttel Hautfaarf, däischter Hautfaarf, mëttel Hautfaarf
👩🏿‍❤‍💋‍👩🏾	Fra, Koppel, Kuss, Kuss: Fra, Fra, däischter Hautfaarf, mëtteldäischter Hautfaarf, däischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏿‍❤‍💋‍👩🏿	Fra, Koppel, Kuss, Kuss: Fra, Fra, däischter Hautfaarf, däischter Hautfaarf
👩🏻‍❤‍👨🏻	Fra, Koppel, Léift, Mann, hell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, hell Hautfaarf
👩🏻‍❤‍👨🏼	Fra, Koppel, Léift, Mann, hell Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, hell Hautfaarf, mëttelhell Hautfaarf
👩🏻‍❤‍👨🏽	Fra, Koppel, Léift, Mann, hell Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, hell Hautfaarf, mëttel Hautfaarf
👩🏻‍❤‍👨🏾	Fra, Koppel, Léift, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏻‍❤‍👨🏿	Fra, Koppel, Léift, Mann, däischter Hautfaarf, hell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, hell Hautfaarf, däischter Hautfaarf
👩🏼‍❤‍👨🏻	Fra, Koppel, Léift, Mann, hell Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttelhell Hautfaarf, hell Hautfaarf
👩🏼‍❤‍👨🏼	Fra, Koppel, Léift, Mann, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttelhell Hautfaarf
👩🏼‍❤‍👨🏽	Fra, Koppel, Léift, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttelhell Hautfaarf, mëttel Hautfaarf
👩🏼‍❤‍👨🏾	Fra, Koppel, Léift, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf
👩🏼‍❤‍👨🏿	Fra, Koppel, Léift, Mann, däischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttelhell Hautfaarf, däischter Hautfaarf
👩🏽‍❤‍👨🏻	Fra, Koppel, Léift, Mann, hell Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttel Hautfaarf, hell Hautfaarf
👩🏽‍❤‍👨🏼	Fra, Koppel, Léift, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf
👩🏽‍❤‍👨🏽	Fra, Koppel, Léift, Mann, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttel Hautfaarf
👩🏽‍❤‍👨🏾	Fra, Koppel, Léift, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏽‍❤‍👨🏿	Fra, Koppel, Léift, Mann, däischter Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëttel Hautfaarf, däischter Hautfaarf
👩🏾‍❤‍👨🏻	Fra, Koppel, Léift, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëtteldäischter Hautfaarf, hell Hautfaarf
👩🏾‍❤‍👨🏼	Fra, Koppel, Léift, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏾‍❤‍👨🏽	Fra, Koppel, Léift, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëtteldäischter Hautfaarf, mëttel Hautfaarf
👩🏾‍❤‍👨🏾	Fra, Koppel, Léift, Mann, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëtteldäischter Hautfaarf
👩🏾‍❤‍👨🏿	Fra, Koppel, Léift, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, mëtteldäischter Hautfaarf, däischter Hautfaarf
👩🏿‍❤‍👨🏻	Fra, Koppel, Léift, Mann, däischter Hautfaarf, hell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, däischter Hautfaarf, hell Hautfaarf
👩🏿‍❤‍👨🏼	Fra, Koppel, Léift, Mann, däischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, däischter Hautfaarf, mëttelhell Hautfaarf
👩🏿‍❤‍👨🏽	Fra, Koppel, Léift, Mann, däischter Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, däischter Hautfaarf, mëttel Hautfaarf
👩🏿‍❤‍👨🏾	Fra, Koppel, Léift, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏿‍❤‍👨🏿	Fra, Koppel, Léift, Mann, däischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Mann, däischter Hautfaarf
👩🏻‍❤‍👩🏻	Fra, Koppel, Léift, hell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, hell Hautfaarf
👩🏻‍❤‍👩🏼	Fra, Koppel, Léift, hell Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, hell Hautfaarf, mëttelhell Hautfaarf
👩🏻‍❤‍👩🏽	Fra, Koppel, Léift, hell Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, hell Hautfaarf, mëttel Hautfaarf
👩🏻‍❤‍👩🏾	Fra, Koppel, Léift, hell Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏻‍❤‍👩🏿	Fra, Koppel, Léift, däischter Hautfaarf, hell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, hell Hautfaarf, däischter Hautfaarf
👩🏼‍❤‍👩🏻	Fra, Koppel, Léift, hell Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, hell Hautfaarf
👩🏼‍❤‍👩🏼	Fra, Koppel, Léift, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttelhell Hautfaarf
👩🏼‍❤‍👩🏽	Fra, Koppel, Léift, mëttel Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, mëttel Hautfaarf
👩🏼‍❤‍👩🏾	Fra, Koppel, Léift, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf
👩🏼‍❤‍👩🏿	Fra, Koppel, Léift, däischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, däischter Hautfaarf
👩🏽‍❤‍👩🏻	Fra, Koppel, Léift, hell Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttel Hautfaarf, hell Hautfaarf
👩🏽‍❤‍👩🏼	Fra, Koppel, Léift, mëttel Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttel Hautfaarf, mëttelhell Hautfaarf
👩🏽‍❤‍👩🏽	Fra, Koppel, Léift, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttel Hautfaarf
👩🏽‍❤‍👩🏾	Fra, Koppel, Léift, mëttel Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏽‍❤‍👩🏿	Fra, Koppel, Léift, däischter Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëttel Hautfaarf, däischter Hautfaarf
👩🏾‍❤‍👩🏻	Fra, Koppel, Léift, hell Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, hell Hautfaarf
👩🏾‍❤‍👩🏼	Fra, Koppel, Léift, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏾‍❤‍👩🏽	Fra, Koppel, Léift, mëttel Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, mëttel Hautfaarf
👩🏾‍❤‍👩🏾	Fra, Koppel, Léift, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf
👩🏾‍❤‍👩🏿	Fra, Koppel, Léift, däischter Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, däischter Hautfaarf
👩🏿‍❤‍👩🏻	Fra, Koppel, Léift, däischter Hautfaarf, hell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, däischter Hautfaarf, hell Hautfaarf
👩🏿‍❤‍👩🏼	Fra, Koppel, Léift, däischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, däischter Hautfaarf, mëttelhell Hautfaarf
👩🏿‍❤‍👩🏽	Fra, Koppel, Léift, däischter Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, däischter Hautfaarf, mëttel Hautfaarf
👩🏿‍❤‍👩🏾	Fra, Koppel, Léift, däischter Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, däischter Hautfaarf, mëtteldäischter Hautfaarf
👩🏿‍❤‍👩🏿	Fra, Koppel, Léift, däischter Hautfaarf, verléift Koppel, verléift Koppel: Fra, Fra, däischter Hautfaarf
🧓	al, eeleren Erwuessenen, neutral
🧓🏻	al, eeleren Erwuessenen, eeleren Erwuessenen: hell Hautfaarf, hell Hautfaarf, neutral
🧓🏼	al, eeleren Erwuessenen, eeleren Erwuessenen: mëttelhell Hautfaarf, mëttelhell Hautfaarf, neutral
🧓🏽	al, eeleren Erwuessenen, eeleren Erwuessenen: mëttel Hautfaarf, mëttel Hautfaarf, neutral
🧓🏾	al, eeleren Erwuessenen, eeleren Erwuessenen: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, neutral
🧓🏿	al, däischter Hautfaarf, eeleren Erwuessenen, eeleren Erwuessenen: däischter Hautfaarf, neutral
👴	Mann, al, ale Mann
👴🏻	Mann, al, ale Mann, ale Mann: hell Hautfaarf, hell Hautfaarf
👴🏼	Mann, al, ale Mann, ale Mann: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👴🏽	Mann, al, ale Mann, ale Mann: mëttel Hautfaarf, mëttel Hautfaarf
👴🏾	Mann, al, ale Mann, ale Mann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👴🏿	Mann, al, ale Mann, ale Mann: däischter Hautfaarf, däischter Hautfaarf
👵	Fra, al, al Fra
👵🏻	Fra, al, al Fra: hell Hautfaarf, hell Hautfaarf
👵🏼	Fra, al, al Fra: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👵🏽	Fra, al, al Fra: mëttel Hautfaarf, mëttel Hautfaarf
👵🏾	Fra, al, al Fra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👵🏿	Fra, al, al Fra: däischter Hautfaarf, däischter Hautfaarf
🙍	Geste, Stir, d’Stir fronzend Persoun, fronzen
🙍🏻	Geste, Stir, d’Stir fronzend Persoun, d’Stir fronzend Persoun: hell Hautfaarf, fronzen, hell Hautfaarf
🙍🏼	Geste, Stir, d’Stir fronzend Persoun, d’Stir fronzend Persoun: mëttelhell Hautfaarf, fronzen, mëttelhell Hautfaarf
🙍🏽	Geste, Stir, d’Stir fronzend Persoun, d’Stir fronzend Persoun: mëttel Hautfaarf, fronzen, mëttel Hautfaarf
🙍🏾	Geste, Stir, d’Stir fronzend Persoun, d’Stir fronzend Persoun: mëtteldäischter Hautfaarf, fronzen, mëtteldäischter Hautfaarf
🙍🏿	Geste, Stir, däischter Hautfaarf, d’Stir fronzend Persoun, d’Stir fronzend Persoun: däischter Hautfaarf, fronzen
🙍‍♂	Geste, Mann, Stir, d’Stir fronzende Mann, fronzen
🙍🏻‍♂	Geste, Mann, Stir, d’Stir fronzende Mann, d’Stir fronzende Mann: hell Hautfaarf, fronzen, hell Hautfaarf
🙍🏼‍♂	Geste, Mann, Stir, d’Stir fronzende Mann, d’Stir fronzende Mann: mëttelhell Hautfaarf, fronzen, mëttelhell Hautfaarf
🙍🏽‍♂	Geste, Mann, Stir, d’Stir fronzende Mann, d’Stir fronzende Mann: mëttel Hautfaarf, fronzen, mëttel Hautfaarf
🙍🏾‍♂	Geste, Mann, Stir, d’Stir fronzende Mann, d’Stir fronzende Mann: mëtteldäischter Hautfaarf, fronzen, mëtteldäischter Hautfaarf
🙍🏿‍♂	Geste, Mann, Stir, däischter Hautfaarf, d’Stir fronzende Mann, d’Stir fronzende Mann: däischter Hautfaarf, fronzen
🙍‍♀	Fra, Geste, Stir, d’Stir fronzend Fra, fronzen
🙍🏻‍♀	Fra, Geste, Stir, d’Stir fronzend Fra, d’Stir fronzend Fra: hell Hautfaarf, fronzen, hell Hautfaarf
🙍🏼‍♀	Fra, Geste, Stir, d’Stir fronzend Fra, d’Stir fronzend Fra: mëttelhell Hautfaarf, fronzen, mëttelhell Hautfaarf
🙍🏽‍♀	Fra, Geste, Stir, d’Stir fronzend Fra, d’Stir fronzend Fra: mëttel Hautfaarf, fronzen, mëttel Hautfaarf
🙍🏾‍♀	Fra, Geste, Stir, d’Stir fronzend Fra, d’Stir fronzend Fra: mëtteldäischter Hautfaarf, fronzen, mëtteldäischter Hautfaarf
🙍🏿‍♀	Fra, Geste, Stir, däischter Hautfaarf, d’Stir fronzend Fra, d’Stir fronzend Fra: däischter Hautfaarf, fronzen
🙎	Geste, motzen, motzend Persoun
🙎🏻	Geste, hell Hautfaarf, motzen, motzend Persoun, motzend Persoun: hell Hautfaarf
🙎🏼	Geste, motzen, motzend Persoun, motzend Persoun: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🙎🏽	Geste, motzen, motzend Persoun, motzend Persoun: mëttel Hautfaarf, mëttel Hautfaarf
🙎🏾	Geste, motzen, motzend Persoun, motzend Persoun: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🙎🏿	Geste, däischter Hautfaarf, motzen, motzend Persoun, motzend Persoun: däischter Hautfaarf
🙎‍♂	Geste, Mann, motzend, motzende Mann
🙎🏻‍♂	Geste, Mann, hell Hautfaarf, motzend, motzende Mann, motzende Mann: hell Hautfaarf
🙎🏼‍♂	Geste, Mann, motzend, motzende Mann, motzende Mann: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🙎🏽‍♂	Geste, Mann, motzend, motzende Mann, motzende Mann: mëttel Hautfaarf, mëttel Hautfaarf
🙎🏾‍♂	Geste, Mann, motzend, motzende Mann, motzende Mann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🙎🏿‍♂	Geste, Mann, däischter Hautfaarf, motzend, motzende Mann, motzende Mann: däischter Hautfaarf
🙎‍♀	Fra, Geste, motzen, motzend Fra
🙎🏻‍♀	Fra, Geste, hell Hautfaarf, motzen, motzend Fra, motzend Fra: hell Hautfaarf
🙎🏼‍♀	Fra, Geste, motzen, motzend Fra, motzend Fra: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🙎🏽‍♀	Fra, Geste, motzen, motzend Fra, motzend Fra: mëttel Hautfaarf, mëttel Hautfaarf
🙎🏾‍♀	Fra, Geste, motzen, motzend Fra, motzend Fra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🙎🏿‍♀	Fra, Geste, däischter Hautfaarf, motzen, motzend Fra, motzend Fra: däischter Hautfaarf
🙅	Geste, Hand, Persoun, déi NEEN weist, Verbueden, neen, net
🙅🏻	Geste, Hand, Persoun, déi NEEN weist, Persoun, déi NEEN weist: hell Hautfaarf, Verbueden, hell Hautfaarf, neen, net
🙅🏼	Geste, Hand, Persoun, déi NEEN weist, Persoun, déi NEEN weist: mëttelhell Hautfaarf, Verbueden, mëttelhell Hautfaarf, neen, net
🙅🏽	Geste, Hand, Persoun, déi NEEN weist, Persoun, déi NEEN weist: mëttel Hautfaarf, Verbueden, mëttel Hautfaarf, neen, net
🙅🏾	Geste, Hand, Persoun, déi NEEN weist, Persoun, déi NEEN weist: mëtteldäischter Hautfaarf, Verbueden, mëtteldäischter Hautfaarf, neen, net
🙅🏿	Geste, Hand, Persoun, déi NEEN weist, Persoun, déi NEEN weist: däischter Hautfaarf, Verbueden, däischter Hautfaarf, neen, net
🙅‍♂	Geste, Hand, Mann, Mann, deen NEEN weist, neen, net, verbueden
🙅🏻‍♂	Geste, Hand, Mann, Mann, deen NEEN weist, Mann, deen NEEN weist: hell Hautfaarf, hell Hautfaarf, neen, net, verbueden
🙅🏼‍♂	Geste, Hand, Mann, Mann, deen NEEN weist, Mann, deen NEEN weist: mëttelhell Hautfaarf, mëttelhell Hautfaarf, neen, net, verbueden
🙅🏽‍♂	Geste, Hand, Mann, Mann, deen NEEN weist, Mann, deen NEEN weist: mëttel Hautfaarf, mëttel Hautfaarf, neen, net, verbueden
🙅🏾‍♂	Geste, Hand, Mann, Mann, deen NEEN weist, Mann, deen NEEN weist: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, neen, net, verbueden
🙅🏿‍♂	Geste, Hand, Mann, Mann, deen NEEN weist, Mann, deen NEEN weist: däischter Hautfaarf, däischter Hautfaarf, neen, net, verbueden
🙅‍♀	Fra, Fra, déi NEEN weist, Geste, Hand, neen, net, verbueden
🙅🏻‍♀	Fra, Fra, déi NEEN weist, Fra, déi NEEN weist: hell Hautfaarf, Geste, Hand, hell Hautfaarf, neen, net, verbueden
🙅🏼‍♀	Fra, Fra, déi NEEN weist, Fra, déi NEEN weist: mëttelhell Hautfaarf, Geste, Hand, mëttelhell Hautfaarf, neen, net, verbueden
🙅🏽‍♀	Fra, Fra, déi NEEN weist, Fra, déi NEEN weist: mëttel Hautfaarf, Geste, Hand, mëttel Hautfaarf, neen, net, verbueden
