🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
🧚🏽	Oberon, Puck, Titania, ton mediu al pielii, zână, zână: ton mediu al pielii
🧚🏾	Oberon, Puck, Titania, ton semi‑închis al pielii, zână, zână: ton semi‑închis al pielii
🧚🏿	Oberon, Puck, Titania, ton închis al pielii, zână, zână: ton închis al pielii
🧚🏻‍♀	Titania, femeie zână, femeie zână: ton deschis al pielii, ton deschis al pielii
🧚🏼‍♀	Titania, femeie zână, femeie zână: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧚🏽‍♀	Titania, femeie zână, femeie zână: ton mediu al pielii, ton mediu al pielii
🧚🏾‍♀	Titania, femeie zână, femeie zână: ton semi‑închis al pielii, ton semi‑închis al pielii
🧚🏿‍♀	Titania, femeie zână, femeie zână: ton închis al pielii, ton închis al pielii
🧚🏻‍♂	Oberon, Puck, bărbat zână, bărbat zână: ton deschis al pielii, ton deschis al pielii
🧚🏼‍♂	Oberon, Puck, bărbat zână, bărbat zână: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧚🏽‍♂	Oberon, Puck, bărbat zână, bărbat zână: ton mediu al pielii, ton mediu al pielii
🧚🏾‍♂	Oberon, Puck, bărbat zână, bărbat zână: ton semi‑închis al pielii, ton semi‑închis al pielii
🧚🏿‍♂	Oberon, Puck, bărbat zână, bărbat zână: ton închis al pielii, ton închis al pielii
🧛🏻	Dracula, strigoi, ton deschis al pielii, vampir, vampir: ton deschis al pielii
🧛🏼	Dracula, strigoi, ton semi‑deschis al pielii, vampir, vampir: ton semi‑deschis al pielii
🧛🏽	Dracula, strigoi, ton mediu al pielii, vampir, vampir: ton mediu al pielii
🧛🏾	Dracula, strigoi, ton semi‑închis al pielii, vampir, vampir: ton semi‑închis al pielii
🧛🏿	Dracula, strigoi, ton închis al pielii, vampir, vampir: ton închis al pielii
🧛🏻‍♀	femeie vampir, femeie vampir: ton deschis al pielii, strigoaie, ton deschis al pielii
🧛🏼‍♀	femeie vampir, femeie vampir: ton semi‑deschis al pielii, strigoaie, ton semi‑deschis al pielii
🧛🏽‍♀	femeie vampir, femeie vampir: ton mediu al pielii, strigoaie, ton mediu al pielii
🧛🏾‍♀	femeie vampir, femeie vampir: ton semi‑închis al pielii, strigoaie, ton semi‑închis al pielii
🧛🏿‍♀	femeie vampir, femeie vampir: ton închis al pielii, strigoaie, ton închis al pielii
🧛🏻‍♂	Dracula, bărbat vampir, bărbat vampir: ton deschis al pielii, strigoi, ton deschis al pielii
🧛🏼‍♂	Dracula, bărbat vampir, bărbat vampir: ton semi‑deschis al pielii, strigoi, ton semi‑deschis al pielii
🧛🏽‍♂	Dracula, bărbat vampir, bărbat vampir: ton mediu al pielii, strigoi, ton mediu al pielii
🧛🏾‍♂	Dracula, bărbat vampir, bărbat vampir: ton semi‑închis al pielii, strigoi, ton semi‑închis al pielii
🧛🏿‍♂	Dracula, bărbat vampir, bărbat vampir: ton închis al pielii, strigoi, ton închis al pielii
🧜🏻	persoană sirenă, persoană sirenă: ton deschis al pielii, sirene, sirenă, ton deschis al pielii
🧜🏼	persoană sirenă, persoană sirenă: ton semi‑deschis al pielii, sirene, sirenă, ton semi‑deschis al pielii
🧜🏽	persoană sirenă, persoană sirenă: ton mediu al pielii, sirene, sirenă, ton mediu al pielii
🧜🏾	persoană sirenă, persoană sirenă: ton semi‑închis al pielii, sirene, sirenă, ton semi‑închis al pielii
🧜🏿	persoană sirenă, persoană sirenă: ton închis al pielii, sirene, sirenă, ton închis al pielii
🧜🏻‍♀	sirenă, sirenă: ton deschis al pielii, ton deschis al pielii
🧜🏼‍♀	sirenă, sirenă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧜🏽‍♀	sirenă, sirenă: ton mediu al pielii, ton mediu al pielii
🧜🏾‍♀	sirenă, sirenă: ton semi‑închis al pielii, ton semi‑închis al pielii
🧜🏿‍♀	sirenă, sirenă: ton închis al pielii, ton închis al pielii
🧜🏻‍♂	Triton, bărbat sirenă, bărbat sirenă: ton deschis al pielii, ton deschis al pielii
🧜🏼‍♂	Triton, bărbat sirenă, bărbat sirenă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🧜🏽‍♂	Triton, bărbat sirenă, bărbat sirenă: ton mediu al pielii, ton mediu al pielii
🧜🏾‍♂	Triton, bărbat sirenă, bărbat sirenă: ton semi‑închis al pielii, ton semi‑închis al pielii
🧜🏿‍♂	Triton, bărbat sirenă, bărbat sirenă: ton închis al pielii, ton închis al pielii
🧝🏻	elf, elf: ton deschis al pielii, magie, ton deschis al pielii
🧝🏼	elf, elf: ton semi‑deschis al pielii, magie, ton semi‑deschis al pielii
🧝🏽	elf, elf: ton mediu al pielii, magie, ton mediu al pielii
🧝🏾	elf, elf: ton semi‑închis al pielii, magie, ton semi‑închis al pielii
🧝🏿	elf, elf: ton închis al pielii, magie, ton închis al pielii
🧝🏻‍♀	elfă, femeie elf, femeie elf: ton deschis al pielii, magie, ton deschis al pielii
🧝🏼‍♀	elfă, femeie elf, femeie elf: ton semi‑deschis al pielii, magie, ton semi‑deschis al pielii
🧝🏽‍♀	elfă, femeie elf, femeie elf: ton mediu al pielii, magie, ton mediu al pielii
🧝🏾‍♀	elfă, femeie elf, femeie elf: ton semi‑închis al pielii, magie, ton semi‑închis al pielii
🧝🏿‍♀	elfă, femeie elf, femeie elf: ton închis al pielii, magie, ton închis al pielii
🧝🏻‍♂	bărbat elf, bărbat elf: ton deschis al pielii, magie, ton deschis al pielii
🧝🏼‍♂	bărbat elf, bărbat elf: ton semi‑deschis al pielii, magie, ton semi‑deschis al pielii
🧝🏽‍♂	bărbat elf, bărbat elf: ton mediu al pielii, magie, ton mediu al pielii
🧝🏾‍♂	bărbat elf, bărbat elf: ton semi‑închis al pielii, magie, ton semi‑închis al pielii
🧝🏿‍♂	bărbat elf, bărbat elf: ton închis al pielii, magie, ton închis al pielii
🙍🏻	gest, persoană întristată, persoană întristată: ton deschis al pielii, supărare, ton deschis al pielii, întristare
🙍🏼	gest, persoană întristată, persoană întristată: ton semi‑deschis al pielii, supărare, ton semi‑deschis al pielii, întristare
🙍🏽	gest, persoană întristată, persoană întristată: ton mediu al pielii, supărare, ton mediu al pielii, întristare
🙍🏾	gest, persoană întristată, persoană întristată: ton semi‑închis al pielii, supărare, ton semi‑închis al pielii, întristare
🙍🏿	gest, persoană întristată, persoană întristată: ton închis al pielii, supărare, ton închis al pielii, întristare
🙍🏻‍♂	bărbat întristat, bărbat întristat: ton deschis al pielii, gest, supărare, ton deschis al pielii, întristare
🙍🏼‍♂	bărbat întristat, bărbat întristat: ton semi‑deschis al pielii, gest, supărare, ton semi‑deschis al pielii, întristare
🙍🏽‍♂	bărbat întristat, bărbat întristat: ton mediu al pielii, gest, supărare, ton mediu al pielii, întristare
🙍🏾‍♂	bărbat întristat, bărbat întristat: ton semi‑închis al pielii, gest, supărare, ton semi‑închis al pielii, întristare
🙍🏿‍♂	bărbat întristat, bărbat întristat: ton închis al pielii, gest, supărare, ton închis al pielii, întristare
🙍🏻‍♀	femeie întristată, femeie întristată: ton deschis al pielii, gest, supărare, ton deschis al pielii, întristare
🙍🏼‍♀	femeie întristată, femeie întristată: ton semi‑deschis al pielii, gest, supărare, ton semi‑deschis al pielii, întristare
🙍🏽‍♀	femeie întristată, femeie întristată: ton mediu al pielii, gest, supărare, ton mediu al pielii, întristare
🙍🏾‍♀	femeie întristată, femeie întristată: ton semi‑închis al pielii, gest, supărare, ton semi‑închis al pielii, întristare
🙍🏿‍♀	femeie întristată, femeie întristată: ton închis al pielii, gest, supărare, ton închis al pielii, întristare
🙎🏻	expresie facială, persoană bosumflată, persoană bosumflată: ton deschis al pielii, ton deschis al pielii, îmbufnare
🙎🏼	expresie facială, persoană bosumflată, persoană bosumflată: ton semi‑deschis al pielii, ton semi‑deschis al pielii, îmbufnare
🙎🏽	expresie facială, persoană bosumflată, persoană bosumflată: ton mediu al pielii, ton mediu al pielii, îmbufnare
🙎🏾	expresie facială, persoană bosumflată, persoană bosumflată: ton semi‑închis al pielii, ton semi‑închis al pielii, îmbufnare
🙎🏿	expresie facială, persoană bosumflată, persoană bosumflată: ton închis al pielii, ton închis al pielii, îmbufnare
🙎🏻‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton deschis al pielii, gest, ton deschis al pielii, îmbufnare
🙎🏼‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton semi‑deschis al pielii, gest, ton semi‑deschis al pielii, îmbufnare
🙎🏽‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton mediu al pielii, gest, ton mediu al pielii, îmbufnare
🙎🏾‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton semi‑închis al pielii, gest, ton semi‑închis al pielii, îmbufnare
🙎🏿‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton închis al pielii, gest, ton închis al pielii, îmbufnare
🙎🏻‍♀	femeie, femeie bosumflată, femeie bosumflată: ton deschis al pielii, gest, ton deschis al pielii, îmbufnare
🙎🏼‍♀	femeie, femeie bosumflată, femeie bosumflată: ton semi‑deschis al pielii, gest, ton semi‑deschis al pielii, îmbufnare
🙎🏽‍♀	femeie, femeie bosumflată, femeie bosumflată: ton mediu al pielii, gest, ton mediu al pielii, îmbufnare
🙎🏾‍♀	femeie, femeie bosumflată, femeie bosumflată: ton semi‑închis al pielii, gest, ton semi‑închis al pielii, îmbufnare
🙎🏿‍♀	femeie, femeie bosumflată, femeie bosumflată: ton închis al pielii, gest, ton închis al pielii, îmbufnare
🙅🏻	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton deschis al pielii, ton deschis al pielii
🙅🏼	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🙅🏽	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton mediu al pielii, ton mediu al pielii
🙅🏾	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton semi‑închis al pielii, ton semi‑închis al pielii
🙅🏿	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton închis al pielii, ton închis al pielii
🙅🏻‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton deschis al pielii, gest, interzis, mâini, nu, ton deschis al pielii
🙅🏼‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton semi‑deschis al pielii, gest, interzis, mâini, nu, ton semi‑deschis al pielii
🙅🏽‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton mediu al pielii, gest, interzis, mâini, nu, ton mediu al pielii
🙅🏾‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton semi‑închis al pielii, gest, interzis, mâini, nu, ton semi‑închis al pielii
🙅🏿‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton închis al pielii, gest, interzis, mâini, nu, ton închis al pielii
🙅🏻‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton deschis al pielii, gest, interzis, mâini, nu, ton deschis al pielii
🙅🏼‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton semi‑deschis al pielii, gest, interzis, mâini, nu, ton semi‑deschis al pielii
🙅🏽‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton mediu al pielii, gest, interzis, mâini, nu, ton mediu al pielii
🙅🏾‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton semi‑închis al pielii, gest, interzis, mâini, nu, ton semi‑închis al pielii
🙅🏿‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton închis al pielii, gest, interzis, mâini, nu, ton închis al pielii
🙆🏻	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton deschis al pielii, ton deschis al pielii
🙆🏼	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🙆🏽	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton mediu al pielii, ton mediu al pielii
🙆🏾	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton semi‑închis al pielii, ton semi‑închis al pielii
🙆🏿	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton închis al pielii, ton închis al pielii
🙆🏻‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton deschis al pielii, gest, mâini, ok, ton deschis al pielii
🙆🏼‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton semi‑deschis al pielii, gest, mâini, ok, ton semi‑deschis al pielii
🙆🏽‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton mediu al pielii, gest, mâini, ok, ton mediu al pielii
🙆🏾‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton semi‑închis al pielii, gest, mâini, ok, ton semi‑închis al pielii
🙆🏿‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton închis al pielii, gest, mâini, ok, ton închis al pielii
🙆🏻‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton deschis al pielii, gest, mâini, ok, ton deschis al pielii
🙆🏼‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton semi‑deschis al pielii, gest, mâini, ok, ton semi‑deschis al pielii
🙆🏽‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton mediu al pielii, gest, mâini, ok, ton mediu al pielii
🙆🏾‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton semi‑închis al pielii, gest, mâini, ok, ton semi‑închis al pielii
🙆🏿‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton închis al pielii, gest, mâini, ok, ton închis al pielii
💁🏻	ajutor, asistență, informații, persoană care explică, persoană care explică: ton deschis al pielii, ton deschis al pielii
💁🏼	ajutor, asistență, informații, persoană care explică, persoană care explică: ton semi‑deschis al pielii, ton semi‑deschis al pielii
💁🏽	ajutor, asistență, informații, persoană care explică, persoană care explică: ton mediu al pielii, ton mediu al pielii
💁🏾	ajutor, asistență, informații, persoană care explică, persoană care explică: ton semi‑închis al pielii, ton semi‑închis al pielii
💁🏿	ajutor, asistență, informații, persoană care explică, persoană care explică: ton închis al pielii, ton închis al pielii
💁🏻‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton deschis al pielii, informații, ton deschis al pielii
💁🏼‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton semi‑deschis al pielii, informații, ton semi‑deschis al pielii
💁🏽‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton mediu al pielii, informații, ton mediu al pielii
💁🏾‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton semi‑închis al pielii, informații, ton semi‑închis al pielii
💁🏿‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton închis al pielii, informații, ton închis al pielii
💁🏻‍♀	asistență, femeie, femeie care explică, femeie care explică: ton deschis al pielii, informații, ton deschis al pielii
💁🏼‍♀	asistență, femeie, femeie care explică, femeie care explică: ton semi‑deschis al pielii, informații, ton semi‑deschis al pielii
💁🏽‍♀	asistență, femeie, femeie care explică, femeie care explică: ton mediu al pielii, informații, ton mediu al pielii
💁🏾‍♀	asistență, femeie, femeie care explică, femeie care explică: ton semi‑închis al pielii, informații, ton semi‑închis al pielii
💁🏿‍♀	asistență, femeie, femeie care explică, femeie care explică: ton închis al pielii, informații, ton închis al pielii
🙋🏻	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton deschis al pielii, ridicat, ton deschis al pielii, veselie
🙋🏼	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton semi‑deschis al pielii, ridicat, ton semi‑deschis al pielii, veselie
🙋🏽	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton mediu al pielii, ridicat, ton mediu al pielii, veselie
🙋🏾	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton semi‑închis al pielii, ridicat, ton semi‑închis al pielii, veselie
🙋🏿	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton închis al pielii, ridicat, ton închis al pielii, veselie
🙋🏻‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton deschis al pielii, gest, mână ridicată, ton deschis al pielii
🙋🏼‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton semi‑deschis al pielii, gest, mână ridicată, ton semi‑deschis al pielii
🙋🏽‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton mediu al pielii, gest, mână ridicată, ton mediu al pielii
🙋🏾‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton semi‑închis al pielii, gest, mână ridicată, ton semi‑închis al pielii
🙋🏿‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton închis al pielii, gest, mână ridicată, ton închis al pielii
🙋🏻‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton deschis al pielii, gest, mână ridicată, ton deschis al pielii
🙋🏼‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton semi‑deschis al pielii, gest, mână ridicată, ton semi‑deschis al pielii
🙋🏽‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton mediu al pielii, gest, mână ridicată, ton mediu al pielii
🙋🏾‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton semi‑închis al pielii, gest, mână ridicată, ton semi‑închis al pielii
🙋🏿‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton închis al pielii, gest, mână ridicată, ton închis al pielii
🙇🏻	persoană care se înclină, persoană care se înclină: ton deschis al pielii, respect, scuză, ton deschis al pielii, înclinare
🙇🏼	persoană care se înclină, persoană care se înclină: ton semi‑deschis al pielii, respect, scuză, ton semi‑deschis al pielii, înclinare
🙇🏽	persoană care se înclină, persoană care se înclină: ton mediu al pielii, respect, scuză, ton mediu al pielii, înclinare
🙇🏾	persoană care se înclină, persoană care se înclină: ton semi‑închis al pielii, respect, scuză, ton semi‑închis al pielii, înclinare
🙇🏿	persoană care se înclină, persoană care se înclină: ton închis al pielii, respect, scuză, ton închis al pielii, înclinare
🙇🏻‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton deschis al pielii, favoare, gest, iertare, scuză, ton deschis al pielii, înclinare
🙇🏼‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton semi‑deschis al pielii, favoare, gest, iertare, scuză, ton semi‑deschis al pielii, înclinare
🙇🏽‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton mediu al pielii, favoare, gest, iertare, scuză, ton mediu al pielii, înclinare
🙇🏾‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton semi‑închis al pielii, favoare, gest, iertare, scuză, ton semi‑închis al pielii, înclinare
🙇🏿‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton închis al pielii, favoare, gest, iertare, scuză, ton închis al pielii, înclinare
🙇🏻‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton deschis al pielii, gest, iertare, scuză, ton deschis al pielii, înclinare
🙇🏼‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton semi‑deschis al pielii, gest, iertare, scuză, ton semi‑deschis al pielii, înclinare
🙇🏽‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton mediu al pielii, gest, iertare, scuză, ton mediu al pielii, înclinare
🙇🏾‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton semi‑închis al pielii, gest, iertare, scuză, ton semi‑închis al pielii, înclinare
🙇🏿‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton închis al pielii, gest, iertare, scuză, ton închis al pielii, înclinare
🤦🏻	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton deschis al pielii, ton deschis al pielii
🤦🏼	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🤦🏽	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton mediu al pielii, ton mediu al pielii
🤦🏾	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton semi‑închis al pielii, ton semi‑închis al pielii
🤦🏿	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton închis al pielii, ton închis al pielii
🤦🏻‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton deschis al pielii, exasperare, incredibil, palmă peste față, ton deschis al pielii
🤦🏼‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton semi‑deschis al pielii, exasperare, incredibil, palmă peste față, ton semi‑deschis al pielii
🤦🏽‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton mediu al pielii, exasperare, incredibil, palmă peste față, ton mediu al pielii
🤦🏾‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton semi‑închis al pielii, exasperare, incredibil, palmă peste față, ton semi‑închis al pielii
🤦🏿‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton închis al pielii, exasperare, incredibil, palmă peste față, ton închis al pielii
🤦🏻‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton deschis al pielii, incredibil, palmă peste față, ton deschis al pielii
🤦🏼‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton semi‑deschis al pielii, incredibil, palmă peste față, ton semi‑deschis al pielii
🤦🏽‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton mediu al pielii, incredibil, palmă peste față, ton mediu al pielii
🤦🏾‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton semi‑închis al pielii, incredibil, palmă peste față, ton semi‑închis al pielii
🤦🏿‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton închis al pielii, incredibil, palmă peste față, ton închis al pielii
🤷🏻	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton deschis al pielii, ridicare din umeri, ton deschis al pielii, îndoială
🤷🏼	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton semi‑deschis al pielii, ridicare din umeri, ton semi‑deschis al pielii, îndoială
🤷🏽	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton mediu al pielii, ridicare din umeri, ton mediu al pielii, îndoială
🤷🏾	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton semi‑închis al pielii, ridicare din umeri, ton semi‑închis al pielii, îndoială
🤷🏿	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton închis al pielii, ridicare din umeri, ton închis al pielii, îndoială
🤷🏻‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton deschis al pielii, îndoială
🤷🏼‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton semi‑deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑deschis al pielii, îndoială
🤷🏽‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton mediu al pielii, ignoranță, indiferență, ridicare din umeri, ton mediu al pielii, îndoială
🤷🏾‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton semi‑închis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑închis al pielii, îndoială
🤷🏿‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton închis al pielii, ignoranță, indiferență, ridicare din umeri, ton închis al pielii, îndoială
🤷🏻‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton deschis al pielii, îndoială
🤷🏼‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton semi‑deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑deschis al pielii, îndoială
🤷🏽‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton mediu al pielii, ignoranță, indiferență, ridicare din umeri, ton mediu al pielii, îndoială
🤷🏾‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton semi‑închis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑închis al pielii, îndoială
🤷🏿‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton închis al pielii, ignoranță, indiferență, ridicare din umeri, ton închis al pielii, îndoială
💆🏻	masaj, masaj facial, persoană care primește un masaj facial, persoană care primește un masaj facial: ton deschis al pielii, relaxare, salon, ton deschis al pielii
💆🏼	masaj, masaj facial, persoană care primește un masaj facial, persoană care primește un masaj facial: ton semi‑deschis al pielii, relaxare, salon, ton semi‑deschis al pielii
💆🏽	masaj, masaj facial, persoană care primește un masaj facial, persoană care primește un masaj facial: ton mediu al pielii, relaxare, salon, ton mediu al pielii
💆🏾	masaj, masaj facial, persoană care primește un masaj facial, persoană care primește un masaj facial: ton semi‑închis al pielii, relaxare, salon, ton semi‑închis al pielii
💆🏿	masaj, masaj facial, persoană care primește un masaj facial, persoană care primește un masaj facial: ton închis al pielii, relaxare, salon, ton închis al pielii
💆🏻‍♂	bărbat, bărbat care primește un masaj facial, bărbat care primește un masaj facial: ton deschis al pielii, față, masaj facial, ton deschis al pielii
💆🏼‍♂	bărbat, bărbat care primește un masaj facial, bărbat care primește un masaj facial: ton semi‑deschis al pielii, față, masaj facial, ton semi‑deschis al pielii
💆🏽‍♂	bărbat, bărbat care primește un masaj facial, bărbat care primește un masaj facial: ton mediu al pielii, față, masaj facial, ton mediu al pielii
💆🏾‍♂	bărbat, bărbat care primește un masaj facial, bărbat care primește un masaj facial: ton semi‑închis al pielii, față, masaj facial, ton semi‑închis al pielii
💆🏿‍♂	bărbat, bărbat care primește un masaj facial, bărbat care primește un masaj facial: ton închis al pielii, față, masaj facial, ton închis al pielii
💆🏻‍♀	față, femeie, femeie care primește un masaj facial, femeie care primește un masaj facial: ton deschis al pielii, masaj facial, ton deschis al pielii
💆🏼‍♀	față, femeie, femeie care primește un masaj facial, femeie care primește un masaj facial: ton semi‑deschis al pielii, masaj facial, ton semi‑deschis al pielii
💆🏽‍♀	față, femeie, femeie care primește un masaj facial, femeie care primește un masaj facial: ton mediu al pielii, masaj facial, ton mediu al pielii
💆🏾‍♀	față, femeie, femeie care primește un masaj facial, femeie care primește un masaj facial: ton semi‑închis al pielii, masaj facial, ton semi‑închis al pielii
💆🏿‍♀	față, femeie, femeie care primește un masaj facial, femeie care primește un masaj facial: ton închis al pielii, masaj facial, ton închis al pielii
💇🏻	coafat, coafor, frizerie, frumusețe, persoană care de tunde, persoană care de tunde: ton deschis al pielii, salon, ton deschis al pielii, tuns, tunsoare
💇🏼	coafat, coafor, frizerie, frumusețe, persoană care de tunde, persoană care de tunde: ton semi‑deschis al pielii, salon, ton semi‑deschis al pielii, tuns, tunsoare
💇🏽	coafat, coafor, frizerie, frumusețe, persoană care de tunde, persoană care de tunde: ton mediu al pielii, salon, ton mediu al pielii, tuns, tunsoare
💇🏾	coafat, coafor, frizerie, frumusețe, persoană care de tunde, persoană care de tunde: ton semi‑închis al pielii, salon, ton semi‑închis al pielii, tuns, tunsoare
