🏻	peau, peau claire
🏜	désert
🏝	île, île déserte
🏞	nature, parc national
🏟	stade
🏛	monument, monument classique
🏗	construction, construction d’un bâtiment
🧱	argile, brique, briques, mortier, mur
🏘	bâtiments, maisons
🏚	maison, maison abandonnée
🏠	bâtiment, maison, pavillon
🏡	jardin, maison, maison avec jardin
🏢	immeuble, immeuble de bureaux
🏣	Japon, bureau de poste japonais, bâtiment, poste
🏤	bureau de poste, poste
🏥	bâtiment, hôpital
🏦	banque, bâtiment
🏨	bâtiment, hôtel
🏩	bâtiment, love hotel
🏪	magasin, supérette, épicerie
🏫	bâtiment, école
🏬	grand magasin, magasin
🏭	bâtiment, usine
🏯	bâtiment, château japonais
🏰	bâtiment, château, européen
💒	amour, chapelle, mariage, église
🗼	Tokyo, tour, tour de Tokyo
🗽	statue, statue de la Liberté
⛪	bâtiment, chrétien, croix, religion, église
🕌	islam, mosquée, musulman, religion
🕍	juif, juive, religion, synagogue, temple
⛩	sanctuaire shinto, shinto
🕋	islam, kaaba, musulman, religion
⛲	fontaine
⛺	camping, tente
🌁	brouillard, brume
🌃	nuit, nuit étoilée, étoiles
🏙	bâtiment, ville
🌄	soleil, soleil levant derrière les montagnes
🌅	soleil, soleil levant
🌆	soleil, ville au crépuscule
🌇	coucher de soleil, soleil
🌉	pont, pont de nuit
♨	source, sources chaudes
🌌	espace, voie lactée
🎠	cheval, cheval de manège, manège
🎡	grande roue, roue
🎢	montagnes, montagnes russes, russes
💈	barbier, coiffure, enseigne, enseigne de barbier
🎪	chapiteau, cirque
🚂	locomotive, train
🚃	chemin de fer, train, voiture, wagon
🚄	TGV, train
🚅	train, train à grande vitesse
🚆	chemin de fer, train
🚇	métro
🚈	métro, métro léger
🚉	gare, train
🚊	tramway
🚝	monorail, véhicule
🚞	train, train de montagne
🚋	tram, trolleybus, voiture, wagon de tramway
🚌	bus, véhicule
🚍	bus, bus de face
🚎	bus, trolley, trolleybus
🚐	bus, minibus
🚑	ambulance, véhicule
🚒	camion de pompier, pompier
🚓	police, voiture de police
🚔	police, voiture de police de face
🚕	taxi, véhicule
🚖	taxi, taxi de face
🚗	automobile, voiture
🚘	automobile, voiture de face
🚙	loisirs, voiture, véhicule utilitaire sport
🚚	camion, camion de livraison
🚛	camion, poids lourd, semi, semi-remorque
🚜	tracteur, véhicule
🚲	vélo
🛴	trottinette
🛹	planche, planche à roulettes
🛵	scooter
🚏	arrêt de bus, bus
🛣	autoroute, route
🛤	train, voie ferrée
🛢	baril de pétrole, pétrole
⛽	essence, pompe à essence, station
🚨	gyrophare, lumière, police, voiture
🚥	feu, feu tricolore horizontal, tricolore
🚦	feu, feu tricolore vertical, tricolore
🛑	signe, stop
🚧	barrière, travaux
⚓	ancre, bateau, outil
⛵	bateau, mer, voilier, yacht
🛶	bateau, canoë
🚤	bateau, hors-bord
🛳	bateau, paquebot
⛴	bateau, ferry
🛥	bateau, bateau à moteur
🚢	bateau, navire
✈	avion, véhicule
🛩	avion, petit avion
🛫	avion, avion au décollage
🛬	avion, avion à l’atterrissage
💺	fauteuil, siège
🚁	hélicoptère, véhicule
🚟	train, train suspendu
🚠	montagne, télécabine, téléphérique
🚡	tramway, tramway aérien, télécabine
🛰	espace, satellite
🚀	espace, fusée
🛸	OVNI, soucoupe volante
🛎	cloche, cloche de comptoir, hôtel
🧳	bagage, valise, voyage
⌛	minuteur, sable, sablier
⏳	sablier, sablier avec sable qui coule
⌚	heure, montre
⏰	alarme, heure, réveil
⏱	chronomètre, heure
⏲	heure, horloge, minuteur
🕰	horloge, pendule
🕛	0 h, 12 h, midi/minuit
🕧	00 h 30, 12 h 30, midi/minuit et demie
🕐	1 h, 13 h, une heure
🕜	1 h 30, 13 h 30, une heure et demie
🕑	14 h, 2 h, deux heures
🕝	14 h 30, 2 h 30, deux heures et demie
🕒	15 h, 3 h, trois heures
🕞	15 h 30, 3 h 30, trois heures et demie
🕓	16 h, 4 h, quatre heures
🕟	16 h 30, 4 h 30, quatre heures et demie
🕔	17 h, 5 h, cinq heures
🕠	17 h 30, 5 h 30, cinq heures et demie
🕕	18 h, 6 h, six heures
🕡	18 h 30, 6 h 30, six heures et demie
🕖	19 h, 7 h, sept heures
🕢	19 h 30, 7 h 30, sept heures et demie
🕗	20 h, 8 h, huit heures
🕣	20 h 30, 8 h 30, huit heures et demie
🕘	21 h, 9 h, neuf heures
🕤	21 h 30, 9 h 30, neuf heures et demie
🕙	10 h, 22 h, dix heures
🕥	10 h 30, 22 h 30, dix heures et demie
🕚	11 h, 23 h, onze heures
🕦	11 h 30, 23 h 30, onze heures et demie
🌑	lune, nouvelle lune
🌒	lune, lune croissante
🌓	lune, premier quartier de lune
🌔	lune, lune gibbeuse croissante
🌕	lune, pleine lune
🌖	lune, lune gibbeuse décroissante
🌗	dernier quartier, lune
🌘	lune, lune décroissante
🌙	croissant de lune, lune
🌚	lune, nouvelle lune avec visage
🌛	lune, premier quartier de lune avec visage
🌜	dernier quartier de lune avec visage, lune
🌡	météo, thermomètre
☀	brillant, météo, rayons, soleil
🌝	lune, pleine lune avec visage
🌞	soleil, soleil avec visage
⭐	étoile
🌟	étoile, étoile brillante
🌠	étoile, étoile filante
☁	météo, nuage
⛅	nuageux, soleil, soleil derrière les nuages
⛈	nuage, nuage avec éclair et pluie
🌤	nuage, soleil derrière un petit nuage
🌥	nuage, soleil derrière un gros nuage
🌦	nuage, soleil derrière un nuage de pluie
🌧	nuage, nuage avec pluie
🌨	nuage, nuage avec neige
🌩	nuage, nuage avec éclair
🌪	météo, nuage, tornade, tourbillon
🌫	brouillard, météo, nuage
🌬	météo, souffle, vent, vent avec visage, visage
🌀	cyclone, tourbillon
🌈	arc-en-ciel, météo, pluie
🌂	parapluie, parapluie fermé
☂	parapluie, parapluie ouvert
☔	parapluie, parapluie avec gouttes de pluie
⛱	météo, parapluie, parasol sur le sol, pluie, soleil
⚡	danger, haute tension, symbole de haute tension
❄	flocon, neige
☃	bonhomme de neige, neige
⛄	bonhomme de neige sans neige, neige
☄	comète, espace
🔥	feu, flamme
💧	goutte d’eau, sueur
🌊	mer, océan, vague
🎃	citrouille, citrouille lanterne, halloween
🎄	Noël, arbre, fête, sapin de Noël
🎆	artifice, feu d’artifice
🎇	cierge magique, feu d’artifice, fête, étincelle
🧨	dynamite, explosif, feu d’artifice, pétard
✨	étincelle, étincelles, étoile, étoiles
🎈	ballon gonflable, fête
🎉	cotillons, fête
🎊	confettis, fête
🎋	arbre, arbre à vœux, vœux
🎍	bambou, bambou décoratif, fête, japonais, plante
🎎	poupées, poupées japonaises
🎏	carpe, fête, koinobori
🎐	carillon, carillon éolien, clochette, fête, vent
🎑	cérémonie, cérémonie de la lune, lune
🧧	argent, bonne chance, cadeau, enveloppe rouge, hóngbāo, lai see
🎀	fête, ruban
🎁	anniversaire, cadeau, fête
🎗	ruban, ruban de mémoire
🎟	billet d’entrée, spectacle
🎫	billet, spectacle
🎖	médaille, médaille militaire
🏆	prix, trophée
🏅	médaille, médaille sportive
🥇	1er, médaille, médaille d’or, or
🥈	2e, argent, médaille, médaille d’argent
🥉	3e, bronze, médaille, médaille de bronze
⚽	ballon, ballon de football, football, sport
⚾	balle, baseball, sport
🥎	balle, gant, par le dessous, softball
🏀	ballon, basket, panier, sport
🏐	ballon, match, sport, volley-ball
🏈	ballon, football américain, sport
🏉	ballon, rugby, sport
🎾	balle, sport, tennis
🥏	disque-volant, sport, ultimate
🎳	boule, bowling, jeu, partie
🏏	balle, batte, cricket, match, sport
🏑	balle, crosse, hockey, hockey sur gazon, sport
🏒	crosse, hockey, hockey sur glace, palet, sport
🥍	balle, but, crosse, sport
🏓	partie, ping-pong, raquette, sport, tennis de table
🏸	badminton, match, raquette, sport, volant
🥊	boxe, gant, gant de boxe, sport
🥋	arts martiaux, judo, karaté, sport, taekwondo, tenue, tenue d’arts martiaux
🥅	cage, filet, sport
⛳	drapeau de golf, golf, sport, trou
⛸	glace, patin, patin à glace, sport
🎣	pêche, pêche à la ligne
🎽	maillot de course, sport
🎿	ski, sport
🛷	luge, traîneau
🥌	granit, match, partie, pierre de curling, sport
🎯	cible, dans le mille
🎱	billard, jeu
🔮	boule de cristal, cristal
🧿	amulette, mauvais œil, nazar, perle, talisman
🎮	jeu vidéo, manette
🕹	jeu, jeu vidéo, joystick, manette de jeu
🎰	jeu, machine à sous
🎲	dés, jeu
🧩	assemblage, indice, pièce, pièce de puzzle, puzzle
🧸	jeu, jouet, ours en peluche, peluche
♠	carte, couleur, jeu, pique
♥	couleur, cœur, cœur cartes, jeu
♦	carreau, carreaux, carte, couleur, jeu
♣	couleur, jeu, trèfle, trèfle cartes
♟	duper, pion d’échec, sacrifiable, échec
🃏	Joker, carte Joker, jeu
🀄	dragon rouge mahjong, jeu, mahjong, rouge
🎴	carte, fleur, japonais, jeu, jeu des fleurs
🎭	art, masque, spectacle, spectacle vivant, théâtre
🖼	art, cadre avec image, image, musée, peinture
🎨	art, musée de peinture, palette de peinture, peinture
🧵	aiguille, bobine, bobine de fil, couture, ficelle
🧶	boule, crochet, fil, tricot
🔇	muet, silence, son
🔈	son, volume des enceintes faible
🔉	son, volume des enceintes moyen
🔊	son, volume des enceintes élevé
📢	haut-parleur, son
📣	manifestation, mégaphone, porte-voix
📯	cor postal, facteur
🔔	cloche
🔕	alarme désactivée, barrée, cloche, silence
🎼	musique, partition
🎵	musique, note, note de musique
🎶	musique, note, notes, notes de musique
🎙	micro, micro de studio
🎚	curseur, curseur de niveau, musique, niveau
🎛	boutons, boutons de commande, boutons de réglage
🎤	karaoke, micro
🎧	casque, écouteurs
📻	radio, vidéo
🎷	instrument, musique, saxophone
🎸	guitare, instrument, musique
🎹	clavier, instrument, musique, piano
🎺	instrument, musique, trompette
🎻	instrument, musique, violon
🥁	baguettes, batterie, musique, tambour
📱	téléphone, téléphone portable
📲	appel, appel entrant
☎	téléphone
📞	combiné téléphonique, téléphone
📟	bipeur, pager
📠	fax, télécopieur
🔋	pile
🔌	câble avec fiche électrique, prise
💻	ordinateur, ordinateur portable
🖥	ordinateur, ordinateur de bureau
🖨	imprimante, ordinateur
⌨	clavier, ordinateur
🖱	souris, souris d’ordinateur
🖲	boule de commande, ordinateur, souris à boule
💽	disque, disque d’ordinateur
💾	disque, disquette, ordinateur
💿	CD, disque
📀	DVD, disque
🧮	abaque, calcul
🎥	caméra, cinéma, film
🎞	bande, cinéma, film, pellicule
📽	projecteur, projecteur cinématographique
🎬	clap, film
📺	TV, téléviseur, télévision
📷	appareil photo, vidéo
📸	appareil photo, appareil photo avec flash
📹	caméra, caméscope, vidéo
📼	cassette vidéo, vhs, vidéocassette
🔍	loupe, loupe orientée à gauche, recherche
🔎	loupe, loupe orientée à droite, recherche
🕯	bougie, lumière
💡	ampoule, dessin, idée, lumière
🔦	lumière, torche
🏮	japonais, lampion rouge, lanterne, lumière, rouge
📔	carnet, carnet avec couverture
📕	livre, livre fermé
📖	livre, livre ouvert
📗	livre, livre vert
📘	livre, livre bleu
📙	livre, livre orange
📚	livre, livres
📓	carnet
📒	carnet de compte, grand livre
📃	page, page enroulée
📜	papier, parchemin
📄	document, page
📰	actualités, journal
🗞	journal, journal roulé
📑	marque, marqueur, onglets, signet, signets
🔖	marque-page, marqueur
🏷	étiquette
💰	argent, dollar, sac, sac d’argent, sac plein d’argent
💴	billet, billet en yens
💵	billet, billet en dollars
💶	billet, billet en euros
💷	billet, billet en livres
💸	billet, billet avec des ailes
💳	bancaire, carte, carte bancaire
🧾	comptabilité, justificatif, preuve, reçu
💹	banque, courbe avec yen en hausse, graphique, hausse, monnaie
💱	argent, banque, change, conversion, conversion de devise, devise
💲	argent, dollar
✉	courrier électronique, e-mail, enveloppe
📧	courrier électronique, e-mail, message
📨	courrier électronique, e-mail, message, message reçu
📩	courrier électronique, e-mail, enveloppe avec flèche, message
📤	boîte d’envoi, courrier électronique, e-mail, message
📥	boîte de réception, courrier électronique, e-mail, message
📦	colis, paquet
📫	boîte aux lettres fermée drapeau levé, courrier
📪	boîte aux lettres fermée drapeau baissé, courrier
📬	boîte aux lettres ouverte drapeau levé, courrier
📭	boîte aux lettres ouverte drapeau baissé, courrier
📮	boîte aux lettres, courrier
🗳	urne, urne électorale
✏	crayon
✒	stylo, stylo plume noir
🖋	stylo, stylo plume
🖊	stylo, stylo bille
🖌	peinture, pinceau
🖍	crayon pastel, pastel
📝	crayon, mémo
💼	porte-documents
📁	dossier, fichier
📂	dossier, dossier ouvert
🗂	classement, index, intercalaire, intercalaires
📅	calendrier, date
📆	calendrier, date, éphéméride
🗒	bloc-notes à spirale, notes
🗓	calendrier, calendrier à spirale
📇	carnet d’adresses, fiche, index, rolodex
📈	graphique, graphique en hausse, hausse, tendance
📉	baisse, graphique, graphique en baisse, tendance
📊	graphique, graphiques à barres
📋	fournitures, porte-bloc
📌	fournitures, punaise
📍	fournitures, épingle
📎	fournitures, trombone
🖇	fournitures, trombones
📏	fournitures, règle
📐	fournitures, équerre
✂	ciseaux, fournitures
🗃	boîte à dossiers, dossier
🗄	classement, classer, dossier, meuble, meuble à dossiers
🗑	corbeille, corbeille à papiers
🔒	cadenas, cadenas fermé, verrouillé
🔓	cadenas, cadenas ouvert
🔏	cadenas fermé avec stylo, verrouillé
🔐	cadenas fermé avec clé, sécurisé
🔑	clé, mot de passe, serrure
🗝	clé, clé ancienne, serrure
🔨	marteau, outil
⛏	mine, outil, pioche
⚒	marteau, marteau et pioche, outil, pioche
🛠	clé, clé à molette, marteau, marteau et clé à molette, outil
🗡	arme, couteau, dague, poignard
⚔	arme, croisées, épées, épées croisées
🔫	arme, arme à feu, pistolet, revolver
🏹	Sagittaire, arc, arc et flèche, archer, flèche
🛡	arme, bouclier
🔧	clé, clé à molette, outil
🔩	outil, vis, vis et écrou, écrou
⚙	engrenage, outil, roue dentée
🗜	outil, serre-joint
⚖	balance, balance à poids, justice
🔗	chaînons, maillons
⛓	chaîne, chaînes
🧰	boîte à outils, coffre, mécanique, outil
🧲	aimant, attraction, fer à cheval, magnétique
⚗	alambic, chimie, outil
🧪	chimie, chimiste, expérience, labo, sciences, tube à essai
🧫	bactérie, biologie, biologiste, boîte de pétri, culture, labo
🧬	adn, biologiste, gène, génétique, vie, évolution
🔬	microscope, outil, science
🔭	outil, science, télescope
📡	antenne, antenne parabolique, antenne satellite, parabole
💉	aiguille, docteur, malade, médecine, seringue
💊	docteur, malade, médecine, pilule
🚪	porte
🛏	dormir, hôtel, lit
🛋	canapé, canapé et lampe, lampe
🚽	toilettes
🚿	douche, eau
🛁	baignoire, bain
🧴	bouteille de lotion, crème hydratante, crème solaire, flacon, lotion, shampooing
🧷	couche, lange, punk rock, épingle de sûreté
🧹	balai, balayage, nettoyage, sorcière
🧺	agriculture, linge, panier, pique-nique
🧻	essuie-tout, papier hygiénique, papier toilette, rouleau de papier
🧼	bain, lavage, mousse, pain, savon, soapdish
🧽	absorbante, nettoyage, poreuse, éponge
🧯	extincteur, feu, incendie, éteindre
🛒	chariot, panier, shopping
🚬	cigarette, fumeur
⚰	cercueil, mort
⚱	urne, urne funéraire
🗿	moai, statue
🏧	argent, dab, distributeur de billets
🚮	icône Poubelle, poubelle
🚰	eau, eau potable
♿	accès handicapés, symbole Accès handicapés
🚹	WC, homme, symbole Toilettes hommes, toilettes
🚺	WC, femme, symbole Toilettes femmes, toilettes
🚻	WC, panneau Toilettes, toilettes
🚼	bébé, espace de change, symbole Bébé
🚾	WC, toilettes
🛂	contrôle, contrôle des passeports, passeport
🛃	douane
🛄	bagages, retrait des bagages
🛅	bagages, consigne
⚠	avertissement, symbole d’avertissement
🚸	enfants, piétons, traversée d’enfants, école
⛔	entrée interdite, interdiction, interdit, sens interdit
🚫	interdiction, interdit, symbole d’interdiction
🚳	interdiction, interdit, vélo, vélos interdits
🚭	fumer, interdiction, interdiction de fumer, interdit
🚯	déchets, dépôt d’ordures interdit, interdiction, interdit
🚱	eau, eau non potable
🚷	interdiction, interdit, interdit aux piétons
📵	interdiction, interdit, portable, téléphone, téléphones portables interdits
🔞	18 ans et plus, dix-huit, interdiction, interdit, mineur
☢	radioactif, symbole
☣	danger, danger biologique, symbole
⬆	direction, flèche, flèche haut, nord
↗	direction, flèche, flèche haut droite, nord-est
➡	direction, est, flèche, flèche droite
↘	direction, flèche, flèche bas droite, sud-est
⬇	direction, flèche, flèche bas, sud
↙	direction, flèche, flèche bas gauche, sud-ouest
⬅	direction, flèche, flèche gauche, ouest
↖	direction, flèche, flèche haut gauche, nord-ouest
↕	flèche, flèche haut bas
↔	flèche, flèche gauche droite
↩	flèche, flèche courbe gauche
↪	flèche, flèche courbe droite
⤴	flèche, flèche courbe haut
⤵	flèche, flèche courbe bas
🔃	flèche, flèches dans le sens horaire, sens horaire, symbole Recharger
🔄	flèche, flèches dans le sens antihoraire, sens antihoraire
🔙	flèche, flèche Retour
🔚	flèche, flèche Fin
🔛	flèche, flèche Activé
🔜	flèche, flèche Bientôt
🔝	flèche, flèche En haut
🛐	culte, lieu de culte, religion
⚛	athée, atome, symbole de l’atome
🕉	hindou, om, religion
✡	étoile, étoile de David, étoile de david
☸	bouddhiste, dharma, religion, roue, roue du Dharma
☯	religion, tao, yang, yin, yin yang
✝	chrétien, croix, croix latine, religion
☦	chrétien, croix, croix orthodoxe, religion
☪	lune, lune et étoile, musulman, religion, étoile
☮	paix, symbole de paix
🕎	chandelier, chandelier à sept branches, menora, religion
🔯	chance, étoile, étoile à 6 branches
♈	bélier zodiaque, zodiaque
♉	taureau, zodiaque
♊	gémeaux, zodiaque
♋	cancer, zodiaque
♌	lion, zodiaque
♍	vierge, zodiaque
♎	balance, zodiaque
♏	scorpion zodiaque, zodiaque
♐	sagittaire, zodiaque
♑	capricorne, zodiaque
♒	verseau, zodiaque
♓	poissons, zodiaque
⛎	ophiuchus, serpentaire, zodiaque
🔀	bouton lecture aléatoire, flèche, flèches croisées
🔁	bouton répétition, flèche, flèches en cercle, sens horaire
🔂	bouton répétition de la piste, flèche, flèches en cercle avec n°1, sens horaire
▶	bouton lecture, flèche, lecture, triangle
⏩	avance, avance rapide, bouton avance rapide, double flèche
⏭	bouton piste suivante, piste suivante, scène suivante, suivant, triangle
⏯	bouton lecture/pause, flèche, lecture, pause, triangle
◀	bouton marche arrière, bouton retour, retour
⏪	bouton retour rapide, flèche, retour, retour rapide
⏮	bouton piste précédente, piste précédente, précédent, scène précédente, triangle
🔼	flèche, petit triangle haut
⏫	flèche vers le haut, haut
🔽	flèche, petit triangle bas
⏬	bas, flèche vers le bas
⏸	bouton pause, pause
⏹	bouton stop, carré, stop
⏺	bouton enregistrer, cercle, enregistrer
⏏	bouton éjecter, éjecter
🎦	caméra, cinéma, film
🔅	luminosité, luminosité faible
🔆	luminosité, luminosité élevée
📶	barres de réseau, portable, réseau, téléphone
📳	mode vibreur, portable, téléphone, vibreur
📴	portable, téléphone, téléphone éteint
♀	femme, symbole de la femme
♂	homme, symbole de l’homme
⚕	caducée, médecine, personnel
♾	illimité, infini, universel, éternité
♻	recyclage, symbole Recyclage
⚜	fleur de lys
🔱	ancre, bateau, trident
📛	badge, badge nominatif, nom
🔰	débutant, symbole japonais de débutant
⭕	cercle, gros cercle
✅	coche blanche, marque, sélection
☑	case cochée, coche
✔	coche, coche noire
✖	annuler, croix noire, multiplication, multiplier, x
❌	annuler, croix rouge, multiplication, multiplier, x
❎	bouton croix, croix
➕	plus, signe Plus
➖	moins, signe Moins
➗	division, signe Diviser
➰	boucle, bouclette
➿	boucle, double boucle
〽	alternance, symbole
✳	astérique, astérique huit branches
✴	étoile, étoile huit branches
❇	éclat
‼	double point d’exclamation, exclamation, ponctuation
⁉	exclamation, points d’exclamation et d’interrogation, ponctuation, question
❓	point d’interrogation, ponctuation, question
❔	point d’interrogation blanc, ponctuation, question
❕	exclamation, point d’exclamation blanc, ponctuation
❗	exclamation, point d’exclamation, ponctuation
〰	ligne ondulée, ponctuation, trait d’union ondulé, vague
©	copyright, symbole Copyright
®	marque déposée
™	marque commerciale déposée, marque déposée
💯	cent, cent points
🔠	lettres, lettres latines, majuscules, saisie
🔡	lettres, lettres latines, minuscules, saisie
🔢	1234, chiffres, saisie, saisie de chiffres
🔣	saisie, saisie de symboles, symboles
🔤	alphabet, alphabet latin, lettres, saisie
🅰	A, groupe sanguin, groupe sanguin A
🆎	AB, groupe sanguin, groupe sanguin AB
🅱	B, groupe sanguin, groupe sanguin B
🆑	bouton Effacer, effacer
🆒	bouton Cool, cool
🆓	bouton Gratuit, gratuit
ℹ	i, informations, source d’informations
🆔	bouton Identifiant, identifiant
Ⓜ	cercle, m, m encerclé
🆕	bouton Nouveau, nouveau
🆖	bouton Pas bien, interdit, mauvais
🅾	O, groupe sanguin, groupe sanguin O
🆗	OK, bouton OK
🅿	bouton P, parking
🆘	SOS, bouton SOS
🆙	bouton Vers le haut, nouveau, nouveauté
🆚	bouton VS, contre, versus, vs
🈁	bouton ici en japonais, ici, japonais
🈂	bouton frais de service en japonais, frais de service, japonais
🈷	bouton montant mensuel en japonais, japonais, montant mensuel
🈶	bouton pas gratuit en japonais, japonais, pas gratuit, payant
🈯	bouton réservé en japonais, japonais, réservé
🉐	bonne affaire, bouton bonne affaire en japonais, japonais
🈹	bouton réduction en japonais, japonais, rabais, réduction
🈚	bouton gratuit en japonais, gratuit, japonais
🈲	bouton interdit en japonais, japonais
🉑	accepter, bouton accepter en japonais, japonais
🈸	application, bouton application en japonais, japonais
🈴	bouton note pour réussir en japonais, japonais, note pour réussir
🈳	bouton chambres disponibles en japonais, chambres disponibles, japonais
㊗	bouton félicitations en japonais, félicitations, japonais
㊙	bouton secret en japonais, japonais, secret
🈺	bouton ouvert pour affaires en japonais, japonais, ouvert pour affaires
🈵	bouton complet en japonais, complet, japonais
🔴	cercle, disque rouge, forme géométrique, géométrie, rond, rouge
🔵	bleu, cercle, disque bleu, forme géométrique, géométrie, rond
⚪	blanc, cercle, disque blanc, forme géométrique, géométrie, rond
⚫	cercle, disque noir, forme géométrique, géométrie, noir, rond
⬜	forme, grand carré blanc, géométrie
⬛	carré, forme géométrique, grand carré noir
◼	carré, carré moyen noir, forme géométrique
◻	carré, carré moyen blanc, forme géométrique
◽	carré, carré petit moyen blanc, forme, géométrie
◾	carré, carré petit moyen noir, forme, géométrie
▫	carré, forme géométrique, petit carré blanc
▪	carré, forme géométrique, petit carré noir
🔶	forme géométrique, grand losange orange, losange
🔷	forme géométrique, grand losange bleu, grand losange orange, losange
🔸	forme géométrique, losange, petit losange orange
🔹	forme géométrique, losange, petit losange bleu
🔺	forme géométrique, rouge, triangle rouge pointant vers le haut
🔻	flèche, forme, géométrie, triangle rouge pointant vers le bas
💠	dessin, diamant, diamant avec un point, géométrique, intérieur
🔘	bouton, bouton radio, forme, géométrie, radio
🔲	bouton, carré, carré noir, forme, géométrie
🔳	bouton, carré, carré blanc, forme, géométrie
🏁	drapeau, drapeau à damier
🚩	drapeau, drapeau triangulaire, fanion
🎌	drapeaux, drapeaux croisés
🏴	drapeau, drapeau noir
🏳	drapeau, drapeau blanc
🏳‍🌈	arc-en-ciel, drapeau, drapeau arc-en-ciel
🏴‍☠	drapeau de pirate, pillage, piller, pirate, trésor
